 ,Time,Time,Place,Place,Place,Place,Place,Place,Place,Environment,Environment,Environment,Environment,Environment,Environment,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Component,Component,Component,Component,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Events,Events,Events,Events,Events,Events,Assessments,Assessments,Report 1,Report 1,Report 2,Report 2,Report 1,
ACN,Date,Local Time Of Day,Locale Reference,State Reference,Relative Position.Angle.Radial,Relative Position.Distance.Nautical Miles,Altitude.AGL.Single Value,Altitude.MSL.Single Value,Latitude / Longitude (UAS),Flight Conditions,Weather Elements / Visibility,Work Environment Factor,Light,Ceiling,RVR.Single Value,ATC / Advisory,Aircraft Operator,Make Model Name,Aircraft Zone,Crew Size,Operating Under FAR Part,Flight Plan,Mission,Nav In Use,Flight Phase,Route In Use,Airspace,Maintenance Status.Maintenance Deferred,Maintenance Status.Records Complete,Maintenance Status.Released For Service,Maintenance Status.Required / Correct Doc On Board,Maintenance Status.Maintenance Type,Maintenance Status.Maintenance Items Involved,Cabin Lighting,Number Of Seats.Number,Passengers On Board.Number,Crew Size Flight Attendant.Number Of Crew,Airspace Authorization Provider (UAS),Operating Under Waivers / Exemptions / Authorizations (UAS),Waivers / Exemptions / Authorizations (UAS),Airworthiness Certification (UAS),Weight Category (UAS),Configuration (UAS),Flight Operated As (UAS),Flight Operated with Visual Observer (UAS),Control Mode (UAS),Flying In / Near / Over (UAS),Passenger Capable (UAS),Type (UAS),Number of UAS Being Controlled (UAS),Aircraft Component,Manufacturer,Aircraft Reference,Problem,ATC / Advisory,Aircraft Operator,Make Model Name,Aircraft Zone,Crew Size,Operating Under FAR Part,Flight Plan,Mission,Nav In Use,Flight Phase,Route In Use,Airspace,Maintenance Status.Maintenance Deferred,Maintenance Status.Records Complete,Maintenance Status.Released For Service,Maintenance Status.Required / Correct Doc On Board,Maintenance Status.Maintenance Type,Maintenance Status.Maintenance Items Involved,Cabin Lighting,Number Of Seats.Number,Passengers On Board.Number,Crew Size Flight Attendant.Number Of Crew,Airspace Authorization Provider (UAS),Operating Under Waivers / Exemptions / Authorizations (UAS),Waivers / Exemptions / Authorizations (UAS),Airworthiness Certification (UAS),Weight Category (UAS),Configuration (UAS),Flight Operated As (UAS),Flight Operated with Visual Observer (UAS),Control Mode (UAS),Flying In / Near / Over (UAS),Passenger Capable (UAS),Type (UAS),Number of UAS Being Controlled (UAS),Location Of Person,Location In Aircraft,Reporter Organization,Function,Qualification,Experience,Cabin Activity,Human Factors,Communication Breakdown,UAS Communication Breakdown,ASRS Report Number.Accession Number,Location Of Person,Location In Aircraft,Reporter Organization,Function,Qualification,Experience,Cabin Activity,Human Factors,Communication Breakdown,UAS Communication Breakdown,ASRS Report Number.Accession Number,Anomaly,Miss Distance,Were Passengers Involved In Event,Detector,When Detected,Result,Contributing Factors / Situations,Primary Problem,Narrative,Callback,Narrative,Callback,Synopsis,

1961438,202301,0601-1200,TPA.Airport,FL,,,0,,,IMC,Fog,,,,,Ground TPA,Air Carrier,Commercial Fixed Wing,,2,Part 121,IFR,Passenger,,Taxi,,Class B TPA,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ground TPA,Air Carrier,Commercial Fixed Wing,,2,Part 121,IFR,,,Taxi,,Class B TPA,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,First Officer; Pilot Not Flying,Flight Crew Multiengine; Flight Crew Air Transport Pilot (ATP); Flight Crew Instrument,Flight Crew Last 90 Days 154; Flight Crew Total 171; Flight Crew Type 171,,Communication Breakdown,Party1 Flight Crew; Party2 ATC,,1961438,,,,,,,,,,,,ATC Issue All Types; Conflict Ground Conflict; Critical; Ground Event / Encounter Weather / Turbulence,,,Person Flight Crew,Taxi,Flight Crew Took Evasive Action,Weather; Procedure; Human Factors,Human Factors,"The weather at TPA on the arrival was 1/4 SM and FG with RVR values shifting between 300 and 1200. We had to hold on the localizer at LAGOO until RVR values improved to above our required minimums; and we began calculating and refining Divert BINGO fuel and coordinating with dispatch to develop a plan if RVR values remained below minimums. After approximately 5 minutes in holding; ATC announced RVR values above our minimums and we commenced the ILS CAT III auto land to Runway 1L. After landing Tower instructed us to exit the W5 high speed and turn left onto Taxiway Whiskey. They also advised us to report leaving the runway. There was an Air Carrier on final approach behind us on the same approach. As we were rolling out on W5 I noticed a dark silhouette of an aircraft that appeared to be moving directly at us. It was extremely difficult to see; but I yelled 'STOP' to the Captain; 'the aircraft is going to hit us.' Because of the dense fog; the aircraft was still hard to see but it continued moving towards us from Taxiway V4. We applied maximum brakes; and the Captain moved to the left edge of W5 to avoid the collision. The other aircraft never slowed down; and if we would have noticed it a second later we would have collided. There was a second aircraft following the first; and it did not slow down either; and it passed our wingtips within ft. We immediately told Tower we still weren't clear of the runway on Taxiway W5; advised them of the near ground collisions; and continued taxing as instructed on Taxiway W. The remainder of the low visibility taxi to our gate went without incident. After we were safely parked and shutdown at the gate; the Captain called the ATC facility; and asked what happened. They stated that the two aircraft that almost hit us were 'not supposed to be there.'",,,,"Air Carrier First Officer reported a ground conflict during taxi to gate at TPA airport.",
1961497,202301,0601-1200,,,,,0,,,,,,,,,,Air Carrier,B737 Undifferentiated or Other Model,,2,Part 121,IFR,Passenger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,Captain; Pilot Flying,Flight Crew Air Transport Pilot (ATP); Flight Crew Instrument; Flight Crew Multiengine,Flight Crew Last 90 Days 183; Flight Crew Total 2280,,Communication Breakdown,Party1 Flight Crew; Party2 Ground Personnel,,1961497,,,,,,,,,,,,Deviation / Discrepancy - Procedural Hazardous Material Violation; Deviation / Discrepancy - Procedural Published Material / Policy; Deviation / Discrepancy - Procedural FAR,,,Person Flight Crew,Aircraft In Service At Gate,Aircraft Equipment Problem Dissipated; Flight Crew Overcame Equipment Problem; General Flight Cancelled / Delayed,Human Factors,Human Factors,"A Ramp Agent brought me a battery powered wheelchair form.  The only box that was checked was the one next to Lithium ION Battery.  I asked the Agent to send whoever loaded the wheelchair to come back up to the cockpit.  When the Ground Agent arrived and I asked him about the subsequent selections in the Lithium Ion Battery box he said he only checks that top box; signs the bottom and that is it.  When I attempted to point out that there were additional conditions that need to be met before transporting the battery; he said he would get a Supervisor.  When the Supervisor arrived; I had to explain to him how the form works and that there was a checklist to follow.  He went and talked to the customer and came back up and said the customer had the battery with them in the cabin; (crew members were not informed) so he circled B on the form; but still did not verify any of the subsequent conditions.  When I asked him to verify that those 4 conditions were met; he went back to speak with the customer again; and discovered that Lithium battery was over 400WH which exceeds the cabin allowance.  At that time; it was determined that we could only take the battery if was taken to the wheelchair and was securely attached to the wheelchair.  The battery was finally transported in accordance with company procedures after a delay to rectify the improper loading.",,,,"B737 Captain reported a Lithium Ion battery powered wheelchair was incorrectly configured for transport. After conferring with ground personnel the Lithium Ion battery was securely attached to the wheelchair and required documents provided to the Captain; the aircraft departed safely.",
1961532,202301,0001-0600,SCT.TRACON,CA,,,,1800,,VMC,,,,,,Tower SNA,Air Carrier,Large Transport; Low Wing; 2 Turbojet Eng,,2,Part 121,IFR,Passenger,,Final Approach,,Class C SNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UAV: Unpiloted Aerial Vehicle,,1,,,,,,,Class C SNA,,,,,,,,,,,,,,,,,,,,Aircraft / UAS; Airport / Aerodrome / Heliport,,,,Aircraft X,Flight Deck,Air Carrier,Pilot Flying; First Officer,Flight Crew Multiengine; Flight Crew Instrument; Flight Crew Air Transport Pilot (ATP),Flight Crew Last 90 Days 170; Flight Crew Total 3607; Flight Crew Type 2785,,Workload,,,1961532,,,,,,,,,,,,Conflict NMAC; Deviation / Discrepancy - Procedural FAR; Deviation / Discrepancy - Procedural Published Material / Policy,Vertical 100,,Person Flight Crew,In-flight,Flight Crew Requested ATC Assistance / Clarification,Human Factors,Human Factors,"I was hand flying the ILS 20R into SNA and was just outside the FAF when I saw a black and white drone ahead and slightly right of us. It moved up and we passed about 100 ft. below it. It seemed it was hovering between the clouds and watching us. I pointed it out to the Captain and he reported it to air traffic control. We landed without incident.",,,,"Air carrier First Officer reported spotting a UAS close to the aircraft on final approach.",
1961538,202301,,ZZZ.Airport,US,,,0,,,,,,,,,,Air Carrier,Commercial Fixed Wing,,2,Part 121,IFR,Passenger,,Taxi; Parked,,,,,,,,,,,,,,,,,,,,,,,,,,External Power,,X,Malfunctioning; Improperly Operated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gate / Ramp / Line,,Air Carrier,Ramp,,,,Troubleshooting; Human-Machine Interface; Communication Breakdown; Confusion; Situational Awareness,Party1 Ground Personnel; Party2 Flight Crew,,1961538,,,,,,,,,,,,Aircraft Equipment Problem Critical; Deviation / Discrepancy - Procedural Maintenance; Deviation / Discrepancy - Procedural Published Material / Policy; Flight Deck / Cabin / Aircraft Event Smoke / Fire / Fumes / Odor; Ground Event / Encounter Ground Equipment Issue,,N,Person Flight Crew; Person Ground Personnel,Aircraft In Service At Gate,General Flight Cancelled / Delayed; General Maintenance Action,Procedure; Aircraft; Human Factors,Human Factors,"Aircraft X from ZZZZ blocked into Gate X at XA:39 in ZZZ. Lead ramp agent plugged in the ground power as normal and turned it on. Upon pressing the button; the GPU panel immediately made a popping noise and smoke and sparks were visible coming out. The lead ramp agent immediately shut off the power and call the Supervisor to the Gate. Upon asking the Captain if anything was wrong with the ground power panel; they simply stated that some sort of small fire issue in ZZZZ and that the GPU outlet was deferred. After closer inspection; there was one INOP sticker positioned in such a way it was not immediately visible inside the ground power panel. But with a risk of electrical fire; I do not believe a small 1 inch INOP sticker is sufficient in warning of the potential shock/fire hazard. Lead ramp agent says no burn evidence on the panel or receptacle upon arrival. Further; no communication was made between Company Maintenance/Flight Crew/ZZZZ to any ramp personnel; Managers; Supervisors; etc. about the hazard. A completely avoidable situation with some simple communication. Please see attachment pictures for aftermath. Of note are the additional stickers Company. Maintenance added after the fact; and the on.",,,,"Ramp Agent reported a failure in the external power connector when ground power was applied to the aircraft. A loud popping noise was accompanied by smoke and sparks. The ground power was disconnected and the external power cable was placarded INOP.",
1961571,202301,1801-2400,ZZZ.Airport,US,,,0,,,VMC,,,Night,,,,Air Carrier,B737-800,,2,Part 121,IFR,Passenger,,Parked,,,,,,,,,,,,,,,,,,,,,,,,,,Wing Spar,,X,Improperly Operated; Malfunctioning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,First Officer; Pilot Flying,Flight Crew Multiengine; Flight Crew Instrument; Flight Crew Air Transport Pilot (ATP),,,Situational Awareness; Human-Machine Interface; Confusion,,,1961571,Aircraft X,Flight Deck,Air Carrier,Pilot Not Flying; Captain,Flight Crew Instrument; Flight Crew Multiengine; Flight Crew Air Transport Pilot (ATP),,,Confusion; Human-Machine Interface; Situational Awareness,,,1962115,Aircraft Equipment Problem Critical; Deviation / Discrepancy - Procedural Maintenance; Deviation / Discrepancy - Procedural Published Material / Policy; Deviation / Discrepancy - Procedural FAR,,Y,Person Passenger,Routine Inspection; Aircraft In Service At Gate,Aircraft Aircraft Damaged; General Maintenance Action; General Release Refused / Aircraft Not Accepted; General Flight Cancelled / Delayed,Procedure; Human Factors; Aircraft,Procedure,"While awaiting push back; a Passenger identified and presented to a Flight Attendant an upper wing surface panel that was not flush. The Flight Attendant took a picture and presented to us. I had not noticed it on the preflight. Maintenance could not see it from the ground without a ladder. After dropping the flaps for a better view; Maintenance inspection revealed loose connections and a missing spar. We refused the aircraft. Although fortunate that a passenger identified the issue; this should have been discovered during the preflight walk around. My normal routine included a cursory glance at the top of the wing for abnormalities and contamination. I have since changed my routine to more thoroughly inspect the top of the wing while under the tail; providing a better view of any non-flush surfaces.",,"We were completing the before start checklist. Flight Attendant (FA) advised a Passenger was concerned about something on the wing. I had the FA get a photograph of what was concerning. The photo showed a panel on the left upper wing between the inboard and outboard spoilers was not flush with the wing surface; as it should be. I had Maintenance look at the panel. We lowered the flaps to assist their inspection. The panel was not secure from underneath the wing. Bolts were loose. Parts of the structure were worn out where the bolts were supposed to hold the panel in place; allowing unacceptable movement of the panel. I refused the aircraft for flight. Further investigation by Maintenance showed an additional support structural spar was missing entirely. Cause unknown on my part. What is very concerning to me is that our procedures do not readily assist in seeing this type of loose panel on a routine walk around. A ladder would have been required to see the panel was loose. Adding to my concern is that the final chance to find this issue fell to an excessively observant passenger. This passenger brought a concern to our attention; we investigated; a structural failure was discovered. This aircraft would have flown had a passenger not intervened. The FO demonstrated a habit of meticulous scrutiny of the aircraft during his prior walk arounds during this sequence. We were both surprised this loose panel could be overlooked during a walk around. I'd recommend a more intensive preflight with maintenance and aircrew coordination to prevent this from occurring again.",,"B737-800 flight crew reported receiving a report from a passenger that was relayed by the Flight Attendant of a wing access panel not flush. Maintenance was called to inspect and found the panel attaching hardware loose and worn; with a wing support piece missing. The aircraft was then refused.",
1961929,202301,0001-0600,ZZZ.Airport,US,,,,4000,,VMC,10,,Night,14000,,TRACON ZZZ,Air Carrier,Regional Jet 200 ER/LR (CRJ200),,,Part 121,IFR,Passenger,,Initial Approach,Vectors,Class E ZZZ,,,,,,,,,,,,,,,,,,,,,,,,Trailing Edge Flap,,X,Failed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,First Officer; Pilot Not Flying,Flight Crew Air Transport Pilot (ATP); Flight Crew Flight Instructor,Flight Crew Last 90 Days 170; Flight Crew Total 1630; Flight Crew Type 433,,Distraction; Troubleshooting,,,1961929,,,,,,,,,,,,Aircraft Equipment Problem Critical; Deviation / Discrepancy - Procedural Published Material / Policy; Deviation / Discrepancy - Procedural Clearance,,,Person Flight Crew,In-flight,Air Traffic Control Provided Assistance; Flight Crew Executed Go Around / Missed Approach; Flight Crew Overcame Equipment Problem; General Maintenance Action,Aircraft,Aircraft,"On the morning of Date; we encountered a flap fail at 6 degrees while on the ILS XXC into ZZZ. I was the PM and the Captain was the PF. We were level at 4;000 feet getting vectored off the ZZZZZ6 arrival and had intercepted the localizer for XXC. Approach control told us to fly 'speed our discretion' and to contact tower at the FAF. We were decelerating to 200 KIAS. Once below 200; the Captain called for Flaps 8; 180. I moved the flap lever to 8 degrees and we received a caution chime and message for 'Flap Fail'. Both the Captain and I saw that the flaps failed at 6.I made contact with the approach controller informing him that we have an issue with the flaps; we would need to cancel the approach; and requested box vectors to stay near the airport. He responded by asking if we would be [requesting priority handling]. The Captain and I agreed that we would be and I relayed that to ATC. Approach responded by telling us to climb and maintain 5;000. The controller then asked for fuel remaining and souls on board and I replied with 'XX souls; 3;880 lbs of fuel'.Once on our vectors; the Captain called for the Flap Fail QRH. I read through the notes and we accomplished each step as we got to it. The Captain sent an ACARS message to dispatch letting them know of our situation. Dispatch responded with a landing distance of 7;150 feet. I calculated our Vref speed using the 47;000 lb card at flaps 0 which came out to 171 KIAS. I asked the Captain if he would like to review anything we had just done and we both agreed we were ready to rejoin the approach.The Captain informed the flight attendant of the situation and followed that up with an announcement to the passengers. I informed ATC that we were ready to rejoin the approach and to pass along to the tower controller that we would roll to the end of the runway to have ARFF inspect us there if needed. The approach and landing continued with no other incident. I made contact with the rescue vehicles and informed them that no assistance was necessary. BTMS were all indicating green. They then followed us to the gate and we shut down as normal. On the post flight inspection; I did not notice any damage to the flaps.",,,,"CRJ-200 pilot reported failure of flaps to extend normally during approach.",
1962006,202301,0601-1200,ZZZ.ARTCC,US,180,8,,10000,,VMC,,,Daylight,,,,Air Carrier,B737-700,,2,Part 121,IFR,Passenger,,Climb,Vectors,,,,,,,,,,,,,,,,,,,,,,,,,Turbine Engine,,X,Malfunctioning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,Captain; Pilot Flying,Flight Crew Multiengine; Flight Crew Air Transport Pilot (ATP); Flight Crew Instrument,Flight Crew Last 90 Days 135; Flight Crew Type 10000,,Situational Awareness; Confusion; Troubleshooting,,,1962006,,,,,,,,,,,,Aircraft Equipment Problem Critical; Deviation / Discrepancy - Procedural Clearance,,N,Automation Aircraft Other Automation; Person Flight Crew,In-flight,Air Traffic Control Provided Assistance; Flight Crew Returned To Departure Airport; Flight Crew Landed As Precaution; Flight Crew Requested ATC Assistance / Clarification; General Flight Cancelled / Delayed; General Maintenance Action,Aircraft; Human Factors,Aircraft,"Passing 10;000 ft. on climb from ZZZ; we accelerated to programmed climb speed of 319 KIAS and pitched to an attitude that produced a 4;000 FPM rate of climb. The aircraft had 26 Passengers onboard and was pretty light with fuel. As airspeed passed 300 KIAS; the aircraft began to oscillate in an up/down motion. Very steady and cyclic. Each movement was identical. It felt as though we were passing over very symmetrical chop on water. At first we thought it was turbulence but realized this was not the case due to the uniformity of the motion. After an assessment and some conversation between the two of us; we thought we could have a problem with the aircraft. We reduced airspeed to 280 KIAS and pitch to 1;000 FPM. When the aircraft decelerated through 290 KIAS; the movement ceased. Engine vibration showed no more than 1.7 and was less when power was increased to try and continue climb. At this point the oscillation began again and was just as steady as the first time. No vibration was felt through this entire event. Just the steady oscillation/up & down bumping. We both agreed that we were uncomfortable continuing to ZZZ1 as a serious airframe or flight control problem could exist. We made the decision and requested priority handling with ZZZ Center; and they gave us expedited handling back to ZZZ. We also notified Dispatch via ACARS; and they provided us with landing data that we cross referenced with performance data. No adverse issues were encountered during descent and uneventful landing at ZZZ. Maintenance met aircraft at Gate; and we briefed them on what the problem was. Logbook write up was made by me; and Maintence verified the write up had the information they needed while we all discussed the issue in the jet way. Aircraft was towed off the gate and taken to hangar; and we continued on to ZZZ1 in a replacement aircraft.",,,,"B737 Captain reported uncontrollable oscillation in flight followed by engine vibrations. An air turn back and precautionary landing were made at the departure airport.",
1962037,202301,,ZZZZ.ARTCC,FO,,,,2500,,VMC,,,,,,Center ZZZZ,Air Carrier,B787 Dreamliner Undifferentiated or Other Model,,2,Part 121,IFR,Passenger,,Final Approach,Vectors,,,,,,,,,,,,,,,,,,,,,,,,,Autothrottle/Speed Control,,X,Malfunctioning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,Pilot Flying; Captain,Flight Crew Multiengine; Flight Crew Instrument; Flight Crew Air Transport Pilot (ATP),Flight Crew Last 90 Days 102; Flight Crew Total 14554; Flight Crew Type 406,,Situational Awareness; Troubleshooting; Confusion; Human-Machine Interface,,,1962037,,,,,,,,,,,,Aircraft Equipment Problem Critical; Deviation - Speed All Types; Deviation / Discrepancy - Procedural Published Material / Policy,,N,Automation Aircraft Other Automation; Person Flight Crew,In-flight,Air Traffic Control Provided Assistance; Flight Crew Requested ATC Assistance / Clarification; Flight Crew Landed As Precaution; Flight Crew Executed Go Around / Missed Approach; General Flight Cancelled / Delayed; General Maintenance Action,Aircraft; Human Factors,Aircraft,"Auto Throttle failed to capture target speed; no AUTO ACTIVATION; no AIRSPEED LOW. ZZZZ; ZZZZZ Arrival; to ILS Runway XX. Hard altitude 2;500 ft. placed at ZZZZZ1 and FAF; APP armed. Used FLCH SPD transitioning to ALT at 2;500 ft. / ZZZZZ1. Leveling at 2;500 ft. outside the FAF; Aircraft was being slowed to TGT speed; flaps changing 25 to 30. With the Autopilot successfully leveling off the Auto Throttle remained at Idle and allowed the Aircraft to slow below MIN MANEUVERING SPEED. The confluence of above events seemed to overwhelm the auto-throttle computer: NOTE: NO AIRSPEED LOW was annunciated from the aircraft while the speed went below min maneuvering speed. NOTE: NO auto-throttle AUTOMATIC Aircraft/ wake-up happened to maintain MIN MANEUVERING SPEED. Captain monitoring pushed throttles that were at idle; as did the First Officer; to arrest the deceleration below min maneuvering speed. Deceleration was successfully stopped above stick shaker. With under wing engines the Aircraft pitched up slightly; the approximately 60 foot climb in landing configuration slowing recovery. By the FAF / descent segment all was back to normal; stabilized and a normal landing proceeded. Entered a Maintenance report and verbally described the problem to a Maintenance Technician.",,,,"B787 Captain reported an Auto Throttle failure and the associated Indication and Warning Systems allowed the aircraft's airspeed to become dangerously low. The flight crew took immediate action upon recognizing the threat and was able to continue the approach to landing at the destination airport.",
