 ,Time,Time,Place,Place,Place,Place,Place,Place,Place,Environment,Environment,Environment,Environment,Environment,Environment,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Component,Component,Component,Component,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Events,Events,Events,Events,Events,Events,Assessments,Assessments,Report 1,Report 1,Report 2,Report 2,Report 1,
ACN,Date,Local Time Of Day,Locale Reference,State Reference,Relative Position.Angle.Radial,Relative Position.Distance.Nautical Miles,Altitude.AGL.Single Value,Altitude.MSL.Single Value,Latitude / Longitude (UAS),Flight Conditions,Weather Elements / Visibility,Work Environment Factor,Light,Ceiling,RVR.Single Value,ATC / Advisory,Aircraft Operator,Make Model Name,Aircraft Zone,Crew Size,Operating Under FAR Part,Flight Plan,Mission,Nav In Use,Flight Phase,Route In Use,Airspace,Maintenance Status.Maintenance Deferred,Maintenance Status.Records Complete,Maintenance Status.Released For Service,Maintenance Status.Required / Correct Doc On Board,Maintenance Status.Maintenance Type,Maintenance Status.Maintenance Items Involved,Cabin Lighting,Number Of Seats.Number,Passengers On Board.Number,Crew Size Flight Attendant.Number Of Crew,Airspace Authorization Provider (UAS),Operating Under Waivers / Exemptions / Authorizations (UAS),Waivers / Exemptions / Authorizations (UAS),Airworthiness Certification (UAS),Weight Category (UAS),Configuration (UAS),Flight Operated As (UAS),Flight Operated with Visual Observer (UAS),Control Mode (UAS),Flying In / Near / Over (UAS),Passenger Capable (UAS),Type (UAS),Number of UAS Being Controlled (UAS),Aircraft Component,Manufacturer,Aircraft Reference,Problem,ATC / Advisory,Aircraft Operator,Make Model Name,Aircraft Zone,Crew Size,Operating Under FAR Part,Flight Plan,Mission,Nav In Use,Flight Phase,Route In Use,Airspace,Maintenance Status.Maintenance Deferred,Maintenance Status.Records Complete,Maintenance Status.Released For Service,Maintenance Status.Required / Correct Doc On Board,Maintenance Status.Maintenance Type,Maintenance Status.Maintenance Items Involved,Cabin Lighting,Number Of Seats.Number,Passengers On Board.Number,Crew Size Flight Attendant.Number Of Crew,Airspace Authorization Provider (UAS),Operating Under Waivers / Exemptions / Authorizations (UAS),Waivers / Exemptions / Authorizations (UAS),Airworthiness Certification (UAS),Weight Category (UAS),Configuration (UAS),Flight Operated As (UAS),Flight Operated with Visual Observer (UAS),Control Mode (UAS),Flying In / Near / Over (UAS),Passenger Capable (UAS),Type (UAS),Number of UAS Being Controlled (UAS),Location Of Person,Location In Aircraft,Reporter Organization,Function,Qualification,Experience,Cabin Activity,Human Factors,Communication Breakdown,UAS Communication Breakdown,ASRS Report Number.Accession Number,Location Of Person,Location In Aircraft,Reporter Organization,Function,Qualification,Experience,Cabin Activity,Human Factors,Communication Breakdown,UAS Communication Breakdown,ASRS Report Number.Accession Number,Anomaly,Miss Distance,Were Passengers Involved In Event,Detector,When Detected,Result,Contributing Factors / Situations,Primary Problem,Narrative,Callback,Narrative,Callback,Synopsis,

986836,201201,1801-2400,ZDV.ARTCC,CO,,,,35000,,,Turbulence,,Night,,,Center ZDV,Air Carrier,A320,,2,Part 121,IFR,Passenger,FMS Or FMC,Cruise,,Class A ZDV,,,,,,,,,,,,,,,,,,,,,,,,FMS/FMC,,X,Malfunctioning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,Captain; Pilot Not Flying,Flight Crew Air Transport Pilot (ATP),Flight Crew Last 90 Days 150; Flight Crew Total 14100; Flight Crew Type 2572,,Situational Awareness; Confusion; Human-Machine Interface,,,986836,,,,,,,,,,,,Aircraft Equipment Problem Critical; Deviation - Track / Heading All Types; Deviation / Discrepancy - Procedural Clearance,,,Person Air Traffic Control; Person Flight Crew,In-flight,Air Traffic Control Issued New Clearance; Flight Crew Became Reoriented; Flight Crew Took Evasive Action,Aircraft; Human Factors,Aircraft,"Early in the Cruise Phase; First Officer was pilot flying. It was brought to my attention by the First Officer that his ND was displaying 'Map Not Available' in red color; no map was displayed on the number 2 ND. Seconds later a level 2 ECAM (single chime) with the message of CAB PR LDG ELEV FAULT; which was then accompanied by another fault; the lower ECAM GW display was amber XX LBS. As the pilot not flying I began to troubleshoot what seemed to be the most critical aspect of the multiple failures. At the time it seemed that the Cabin Pressurization was the most critical; not to mention; it was that problem that triggered the Level 2 caution. Once I determined that the integrity of the pressurization system was not compromised; I moved on to the other issue; the lack of the map display on the First Officer side. It seemed that the number 2 FMGC had failed; however; the PFD indications were consistent with no failures. FMA's displayed MACH ALT CRZ NAV all in green; no mode reversions had occurred. Even the FD mode was 1FD2. Yet; as I scanned over to my display; I realized the aircraft failed to make a turn upon passing the previous fix so I immediately went to HEADING Mode turning the aircraft back to re-intercept the course and engage AP1. The deviation was 6.1 NM left of course. At that moment; ATC had queried our position and asked what our next FIX was; I told ATC what our next fix was. I then requested DIRECT; and was cleared direct. This lateral deviation would have been avoided had the aircraft been equipped with a lateral deviation alert similar to altitude deviation alerts that most aircraft are equipped with. Although flying the airplane is the priority at all times; it was very deceiving to the pilots when the aircraft indicated that it is flying based on what the PFD FMA's were displaying. As a former instructor on this airplane; I always used to tell my students to believe what the FMA displays. In this case; it lied about its NAV capability; even though it displayed a normal green NAV display; it wasn't. There must be a communication link between the ND and the PFD.","The Reporter stated that the disparity between the green FMA status indications and the FMGC failure to correctly guide the autopilot could not be reconciled. The FMGC faults should have triggered a transition to the default heading mode along with an appropriate FMA change. The only indication the crew saw; other than the ECAM; was the ND2's MAP display fault and on further investigation both FMGC's displayed amber INDEPENDENT OPERATION in small letters at the bottom of the screen. The autopilot was selected to number one and functioned normally to landing. All systems were operating normally even with the FMGC anomalies. After landing the systems reset and operated normally.",,,"An A320 number 2 ND MAP failed and the autopilot did not track correctly causing a track deviation although the FMA indications remained green and the FMGCs entered independent operations.",
986867,201201,0601-1200,ZZZ.Airport,US,,,,33000,,,,,Dawn,,,Center ZZZ,Air Carrier,B737-400,,2,Part 121,IFR,Passenger,,Cruise,,Class A ZZZ,,,Y,,,,,,,,,,,,,,,,,,,,,Pressurization System,,X,Malfunctioning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,Pilot Not Flying; Captain,Flight Crew Air Transport Pilot (ATP),,,Communication Breakdown,Party1 Flight Crew; Party2 ATC,,986867,Aircraft X,Flight Deck,Air Carrier,First Officer; Pilot Flying,Flight Crew Air Transport Pilot (ATP),,,,,,986866,Aircraft Equipment Problem Critical,,N,Person Flight Crew,In-flight,Flight Crew Returned To Departure Airport; General Declared Emergency,Aircraft,Aircraft,"Approximately 5 minutes after level off at FL330; an intermittent [cabin altitude] warning horn sounded. QRC items were accomplished; but unable to control cabin altitude in standby. Cabin altitude [was] at approximately 11;000 FT.Informed ATC of problem and requested descent to 10;000 FT and were told to stand by. We were able to see the mountain visually in the sunrise and on our terrain display well to the south; so we requested and were denied descent again.Since we could observe no traffic below us on TCAS we declared an emergency and commenced emergency descent to 10;000 FT. We regained control of the cabin after leveling at 10;000 FT in manual AC mode. Flight attendants notified and reported feeling light headed. We decided to return to our departure airport where we made a normal landing.",,"[Narrative #2 had no additional information.]",,"When ATC failed to clear them for their requested descent to 10;000 FT; the flight crew of a B737-400; unable to control their pressurization; declared an emergency and initiated their descent.",
986906,201201,,ZZZ.Airport,US,,,0,,,,,,,,,,Air Carrier,B757-200,,2,Part 121,,Passenger,,Parked,,,,,,,,,,,,,,,,,,,,,,,,,,Exterior Pax/Crew Door,,X,Malfunctioning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Door Area,Air Carrier,Flight Attendant (On Duty); Flight Attendant In Charge,Flight Attendant Current,,Deplaning,Communication Breakdown,Party1 Flight Attendant; Party2 Flight Crew,,986906,,,,,,,,,,,,Aircraft Equipment Problem Less Severe; Deviation / Discrepancy - Procedural Published Material / Policy,,,Person Flight Attendant,Aircraft In Service At Gate,General Maintenance Action,Aircraft; Human Factors,Aircraft,"After the announcement was made by me to disarm doors and crosscheck standby for interphone confirmation; I made the call. Door 1 and 2 were confirmed as disarmed and crosschecked; but door 4 indicated that 4 right was disarmed but 4 left was jammed with all arming indicators showing disarmed. I notified the cockpit of the jamming and it was written up for maintenance. When the Mechanic got on board he indicated that the door was already open. It was discovered that door 4 right was written up as jammed. Door 4 right was the door that was opened by catering. The door that was jammed was actually 4 left. We left the door once mechanics were on board to fix the problem.",,,,"B757 Flight Attendant reports a jammed rear entry door during gate arrival and attempted disarming. When mechanics arrive it is discovered that the wrong door may have been written up in the maintenance log.",
987083,201201,1201-1800,ZZZ.Airport,US,,,,,,,,,Daylight,,,Tower ZZZ,Air Carrier,B737-800,,2,Part 121,IFR,Passenger,,Climb,,Class C ZZZ,,,,,,,,,,,,,,,,,,,,,,,,Elevator Trim System,,X,Failed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,First Officer; Pilot Not Flying,Flight Crew Air Transport Pilot (ATP),,,Situational Awareness; Training / Qualification,,,987083,Aircraft X,Flight Deck,Air Carrier,Captain; Pilot Flying,Flight Crew Air Transport Pilot (ATP),,,Training / Qualification; Situational Awareness,,,987085,Aircraft Equipment Problem Critical,,,Person Flight Crew,In-flight,Flight Crew Returned To Departure Airport; Flight Crew Landed in Emergency Condition; General Declared Emergency; General Maintenance Action,Aircraft,Aircraft,"Electric stabilizer trim fail. We completed the required checklists in the QRH; declared an emergency; utilized ATC to provide delay vectors so the checklists could be properly completed. All normal and non-normal checklists and procedures were completed; an overweight landing was executed without further event.",,"[Narrative #2 had no additional information.]",,"A B737-800's Electric Horizontal Stabilizer Trim was inoperative after takeoff so an emergency was declared; the QRH procedure completed and the aircraft returned to the departure airport.",
987223,201201,1201-1800,ZZZ.Airport,US,,,0,,,,,,Daylight,,,Ground ZZZ,Air Carrier,B737-300,,2,Part 121,IFR,Passenger,,Taxi,,,,,,,,,,,,,,,,,,,,,,,,,,Aileron,,X,Malfunctioning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,Captain; Pilot Flying,Flight Crew Air Transport Pilot (ATP),,,Troubleshooting,,,987223,,,,,,,,,,,,Aircraft Equipment Problem Critical,,,Person Flight Crew,Taxi,Flight Crew Returned To Gate; General Flight Cancelled / Delayed; General Maintenance Action,Aircraft,Aircraft,"On taxi out; First Officer remarked that ailerons felt stiff and seemed to be binding as he conducted flight control check during his taxi flow. Captain conducted an aileron check; and he too thought that the ailerons felt abnormal. A 737 Check Airman conducting a line check on the flight also exercised the ailerons; and he too concurred that their movement did not feel normal. Yoke movement side to side was stiffer than normal; with a slight hitch at approximately the 3 degree position. Also; the yoke would not return to neutral position; stopping at same 3 degree position when released. Flight returned to gate. Dispatch and Maintenance were notified; Contract Maintenance was called out; problem could not be identified and resolved. Flight canceled and a heavy maintenance crew dispatched.",,,,"A B737 returned to the gate after the First Officer; Captain; and Check Airman determined that aileron flight control check was abnormal.",
987225,201201,0601-1200,ZZZ.Airport,US,,,,12000,,VMC,,,Daylight,,,Center ZZZ,Air Carrier,B737-400,,2,Part 121,IFR,Passenger,,Climb,,Class B ZZZ,,,Y,,,,,,,,,,,,,,,,,,,,,Turbine Engine,,X,Malfunctioning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,Pilot Not Flying; Captain,Flight Crew Air Transport Pilot (ATP),,,Troubleshooting,,,987225,Aircraft X,Flight Deck,Air Carrier,Pilot Flying; First Officer,Flight Crew Air Transport Pilot (ATP),,,Situational Awareness; Troubleshooting,,,987226,Aircraft Equipment Problem Critical,,,Automation Aircraft Other Automation; Person Flight Crew,In-flight,Flight Crew Landed As Precaution; Flight Crew Returned To Departure Airport; General Maintenance Action,Aircraft,Aircraft,"Aircraft had a noticeable loud howl on takeoff and initial climbout as remarked by both pilots. [We] watched both vibration indicators and all instruments normal. Climbing out of 10;000 FT and above; howling increased and engine one vibration indicator went steadily up above 4.0 to 5.0 and EGT was rapidly increasing to just below red line of approximately 910C. As pilot not flying; [I] told First Officer to pull number one back. We leveled at FL200 advising Center we might have engine problem. Asked Lead Flight Attendant to check out number one engine and had one of our pilots talk to us about vibration and howling he heard. Contacted Maintenance on Company radio and they contacted Maintenance Control. We advised we had run the QRH and Maintenance Control advised we should return to the departure airport as we were only 60 miles south. [We] returned normally to field. Maintenance called later on and they said engine was being changed out as borescope showed internal blade damages. No birds or other FOD ever encountered prior to this event. No conflicts with any other aircraft or any deviations with ATC other than telling ATC we needed to return to field only as a precautionary.",,"[Narrative #2 had no additional information.]",,"A B737-400 engine developed a howling sound during climb accompanied by increased engine vibration and EGT; so the crew completed the QRH and returned to the departure airport where severe engine damage was discovered.",
987453,201201,0001-0600,ZZZ.Airport,US,,,0,,,IMC,0.5,,,1700,3500,Tower ZZZ,Air Carrier,MD-83,,2,Part 121,,Passenger,,Taxi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,Pilot Flying; Captain,Flight Crew Air Transport Pilot (ATP),,,Training / Qualification; Situational Awareness,,,987453,Aircraft X,Flight Deck,Air Carrier,First Officer; Pilot Not Flying,Flight Crew Air Transport Pilot (ATP),,,,,,987452,Ground Excursion Taxiway; Inflight Event / Encounter Loss Of Aircraft Control,,,Person Flight Crew,Taxi,General Maintenance Action,Airport; Human Factors; Weather,Ambiguous,"During the approach the visibility was fluctuating and the Approach Control and Tower were updating the visibility and RVR. The braking action was reported as 'fair.' At about 300 to 400 FT above the minimums the First Officer called approach lights in sight. I continued the approach. At about 200 FT above minimums I had the approach lights; runway lights and runway in sight. At this point I disconnected the autopilot and the autothrottles and continued the descent. We landed; the spoilers deployed; the autobrakes engaged and I deployed the reverser's. We slowed to below 60 KTS; and I started braking manually; disconnecting the autobrakes below 60 KTS. We continued to slow the aircraft on the runway. As we approached Taxiway H1 at a slow rate; I used the tiller to guide the aircraft onto the taxiway with a right turn. During the initial turn off the runway; the aircraft responded normally to the tiller and brakes. About halfway through the turn; I felt the aircraft's momentum moving in a straight line; while the tiller was turned to the right. At this point; the aircraft appeared to not be responding to either tiller or brake inputs. As the aircraft approached the left side of the taxiway; and I was attempting to turn to the right; the First Officer questioned whether we were going to make the turn or not. I indicated that I didn't think the aircraft was responding; and shortly after that the nose gear exited the taxiway off the left side. We came to a stop and requested assistance from our ground operations. Our nose wheel and left main gear were in the grass; the right main gear were still on Taxiway H1. In adverse weather conditions; taxiways should be plowed and sanded.",,"It was a normal landing with flaps 40 and medium autobrakes. After turning on Taxiway Hotel 1 Tower asked for a in flight report. Part way through the report I noticed horizontal movement of the aircraft on the taxiway. Exact words I don't recall but I questioned the Captain on the horizontal movement which she then responded that she had negative control response. At that time the nose gear exited the taxiway to the left; the left main gear was slightly off but touched the taxiway. The right main stayed on the taxiway. After we came to a full stop we requested help from company and local facilities.",,"MD83 flight crew reports sliding off a taxiway while exiting the runway in light snow. Runway braking action was reported as fair.",
987484,201201,,ZZZ.Airport,US,,,0,,,,,,,,,,Air Carrier,B737-800,,2,Part 121,,,,Parked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,Technician,Maintenance Powerplant; Maintenance Airframe,,,,,,987484,Aircraft X,Flight Deck,Air Carrier,First Officer; Pilot Flying,Flight Crew Air Transport Pilot (ATP),,,Situational Awareness,,,988695,Deviation / Discrepancy - Procedural Published Material / Policy,,,Person Maintenance,Aircraft In Service At Gate,Flight Crew Became Reoriented,Human Factors,Human Factors,"During maintenance ETOPS inspection; and fueling operations; as well as general aircraft servicing; the First Officer was observed performing a HF-radio comm check while the aircraft was actively being fueled at the gate. Maintenance log was removed from flight deck for the purpose of performing an ETOPS PDC inspection. [I have noted] a disturbing trend I see happening during my daily ETOPS check. The flight crew is doing a HF radio comm check while ground crews and Maintenance Technicians are in close proximity to the tail of the aircraft and worse during fueling operations. Today I was in the flight deck and observed the First Officer do an HF check while the aircraft was actively being fueled. I commented to the Captain that the First Officer should not be doing that during fueling and he agreed. He tried to stop him but it was too late. The First Officer said 'I looked out my window and it looked clear'. As I walked to my truck I noticed the catering truck was also plane side servicing the aft galley. In other cases; with the maintenance truck parked under the APU I could here the HF comm check bleed through on the am radio which was on in the truck. Again the First Officer said 'I looked and didn't see anyone' please look into this safety issue and put something out for other Maintenance Technician's and ground crews to be cautious when working ETOPS flights with flight crew in the flight deck... The Aircraft Maintenance Manual [AMM] clearly states; HF communication system - system test. Warning: do not operate the HF system while the airplane is refueled or de fueled. An explosion can cause injuries to personnel and damage to the airplane. Warning: make sure that personnel stay a minimum of 6 feet away from the vertical stabilizer when the HF system transmits. RF energy from the HF antenna can cause injuries to personnel.Flight crews have told me in the past that they looked out their window and it 'looked clear to me'. During ETOPS operation at the gate there are many different work groups involved in servicing and preparing the aircraft for ETOPS flight. Not all know the danger associated with transmitting on HF while being fueled except Maintenance and flight crew. If HF-radio comm checks need to be performed at the gate the flight crew must ensure the aircraft is not hooked up to the fuel hose; and that ground personnel are clear of the area under the tail of the aircraft while these checks are being performed. If the same flight crew is taking the same aircraft on an ETOPS flight; why can't they perform the comm check while inbound to the ETOPS departure airport or after pushback from the gate?",,"During my preflight I inadvertently performed an HF radio check while the aircraft was being refueled. I am fully aware of the warnings concerning transmitting on an HF radio with the aircraft is being fueled; defueled or when personnel are within 10 feet of the vertical stabilizer. Unfortunately; on this occasion I forgot to check if the fueler was there or if catering was at the back of the aircraft. A mechanic was on the flight deck at the end of the radio check and asked if I had transmitted on the HF radio while being refueled. I immediately checked and sure enough; I had. I then checked the aft door lights to see if I had endangered any caterers; I had not; the doors were closed. The fueler did not report anything abnormal.The primary cause of this event was my forgetting to check if the aircraft was being refueled or if we were being catered before using the HF radios. It is my custom to check the HF radios early in the preflight to give maintenance as much time as possible to repair the radios due to the difficulty of getting to the couplers and antenna. This is a habit that is probably a holdover from my previous flying career. I will not forget again.",,"A B737-800 Maintenance Technician and a First Officer describe the circumstances surrounding an HF radio check while the aircraft is being refueled.",
