 ,Time,Time,Place,Place,Place,Place,Place,Place,Place,Environment,Environment,Environment,Environment,Environment,Environment,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Component,Component,Component,Component,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Events,Events,Events,Events,Events,Events,Assessments,Assessments,Report 1,Report 1,Report 2,Report 2,Report 1,
ACN,Date,Local Time Of Day,Locale Reference,State Reference,Relative Position.Angle.Radial,Relative Position.Distance.Nautical Miles,Altitude.AGL.Single Value,Altitude.MSL.Single Value,Latitude / Longitude (UAS),Flight Conditions,Weather Elements / Visibility,Work Environment Factor,Light,Ceiling,RVR.Single Value,ATC / Advisory,Aircraft Operator,Make Model Name,Aircraft Zone,Crew Size,Operating Under FAR Part,Flight Plan,Mission,Nav In Use,Flight Phase,Route In Use,Airspace,Maintenance Status.Maintenance Deferred,Maintenance Status.Records Complete,Maintenance Status.Released For Service,Maintenance Status.Required / Correct Doc On Board,Maintenance Status.Maintenance Type,Maintenance Status.Maintenance Items Involved,Cabin Lighting,Number Of Seats.Number,Passengers On Board.Number,Crew Size Flight Attendant.Number Of Crew,Airspace Authorization Provider (UAS),Operating Under Waivers / Exemptions / Authorizations (UAS),Waivers / Exemptions / Authorizations (UAS),Airworthiness Certification (UAS),Weight Category (UAS),Configuration (UAS),Flight Operated As (UAS),Flight Operated with Visual Observer (UAS),Control Mode (UAS),Flying In / Near / Over (UAS),Passenger Capable (UAS),Type (UAS),Number of UAS Being Controlled (UAS),Aircraft Component,Manufacturer,Aircraft Reference,Problem,ATC / Advisory,Aircraft Operator,Make Model Name,Aircraft Zone,Crew Size,Operating Under FAR Part,Flight Plan,Mission,Nav In Use,Flight Phase,Route In Use,Airspace,Maintenance Status.Maintenance Deferred,Maintenance Status.Records Complete,Maintenance Status.Released For Service,Maintenance Status.Required / Correct Doc On Board,Maintenance Status.Maintenance Type,Maintenance Status.Maintenance Items Involved,Cabin Lighting,Number Of Seats.Number,Passengers On Board.Number,Crew Size Flight Attendant.Number Of Crew,Airspace Authorization Provider (UAS),Operating Under Waivers / Exemptions / Authorizations (UAS),Waivers / Exemptions / Authorizations (UAS),Airworthiness Certification (UAS),Weight Category (UAS),Configuration (UAS),Flight Operated As (UAS),Flight Operated with Visual Observer (UAS),Control Mode (UAS),Flying In / Near / Over (UAS),Passenger Capable (UAS),Type (UAS),Number of UAS Being Controlled (UAS),Location Of Person,Location In Aircraft,Reporter Organization,Function,Qualification,Experience,Cabin Activity,Human Factors,Communication Breakdown,UAS Communication Breakdown,ASRS Report Number.Accession Number,Location Of Person,Location In Aircraft,Reporter Organization,Function,Qualification,Experience,Cabin Activity,Human Factors,Communication Breakdown,UAS Communication Breakdown,ASRS Report Number.Accession Number,Anomaly,Miss Distance,Were Passengers Involved In Event,Detector,When Detected,Result,Contributing Factors / Situations,Primary Problem,Narrative,Callback,Narrative,Callback,Synopsis,

1865826,202201,,,,,,0,,,,,,,,,,Air Carrier,B757 Undifferentiated or Other Model,,,Part 121,,Passenger,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft Documentation,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Air Carrier,Captain,Flight Crew Instrument; Flight Crew Multiengine; Flight Crew Air Transport Pilot (ATP),,,Communication Breakdown,Party1 Flight Crew; Party2 Maintenance,,1865826,,,,,,,,,,,,Aircraft Equipment Problem Less Severe; Deviation / Discrepancy - Procedural FAR; Deviation / Discrepancy - Procedural Hazardous Material Violation; Deviation / Discrepancy - Procedural Published Material / Policy; Deviation / Discrepancy - Procedural MEL / CDL; No Specific Anomaly Occurred Unwanted Situation,,,Person Flight Crew,,General None Reported / Taken,MEL; Procedure,Procedure,"The 757 fleet (and possibly others) has a deferral that allows the aircraft to operate for a specific number of cycles if a passenger cell phone or other electronic device falls down a gap in the cabin sidewall into the cargo pit and cannot be located. Maintenance usually tries to look for the phone; to include disassembling some of the cargo pit panels - but if they can't find it in a 'reasonable' amount of time then a deferral is created and additional flights are authorized.The FAA website says this about devices with lithium batteries: 'Devices containing lithium metal batteries or lithium-ion batteries; including - but not limited to - smartphones; tablets; cameras and laptops; should be kept in carry-on baggage. If these devices are packed in checked baggage; they should be turned completely off; protected from accidental activation and packed so they are protected from damage.'We have provisions for Dangerous Goods being shipped as freight; being used by crew on the airplane; as part of installed equipment; and being carried by passengers or crew on their person; in carry-on bags; and in checked bags. There are no Dangerous Goods provisions providing for lost dangerous goods floating around the airplane somewhere.The concern here is the potential for damage and subsequent fire. We won't even let a passenger move a seat if they drop their phone in the seat - yet somehow; it's okay to drop a phone into the cargo area where it could easily be damaged by the cargo loading system or something else? How is this safe? Or even legal? If a lost device with lithium battery gets crushed and catches on fire; we are not going to be able to fight that fire.I'd like to know specifically what kind of risk analysis (if any) was done for this deferral.",,,,"B757 Captain reported concerns with the deferral of lost lithium battery powered electronic devices lost in the aircraft.",
1866018,202201,0601-1200,ZZZ.Airport,US,,,,,,,,,,,,Center ZZZ,Air Carrier,Commercial Fixed Wing,,2,Part 121,IFR,Passenger,,Climb,,Class A ZZZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,General Seating Area,Air Carrier,Flight Attendant (On Duty),Flight Attendant Current,,Service; Safety Related Duties,Troubleshooting,,,1866018,,,,,,,,,,,,Deviation / Discrepancy - Procedural FAR; Deviation / Discrepancy - Procedural Hazardous Material Violation; Deviation / Discrepancy - Procedural Published Material / Policy; Flight Deck / Cabin / Aircraft Event Passenger Electronic Device; Flight Deck / Cabin / Aircraft Event Smoke / Fire / Fumes / Odor,,Y,Person Flight Attendant,In-flight,Air Traffic Control Provided Assistance; Aircraft Equipment Problem Dissipated; Flight Crew Overcame Equipment Problem; Flight Crew Requested ATC Assistance / Clarification; Flight Crew Returned To Departure Airport; General Flight Cancelled / Delayed,Human Factors,Human Factors,"Detected an odor onboard the aircraft; similar to burning Lithium Ion battery. After takeoff I noticed there's [smoke] or a cloud around the exit row. After confirming it with a aft FA (Flight Attendant); called the Captain and I told him there's a smoke [area] and I'm going to check it [out]. Put the lights on and I started opening the overhead [bins]; to check if there's anything on fire and also under the seats as well as [asking] the passengers to remove their mask and so they can confirm [if] there's a smell in [area]. One of the passenger sitting in [seat] XX told me he had Lithium Ion batteries in his bag. I grabbed the bag and opened it and I checked the battery however there's smoke coming out of his bag and neither the batteries are hot either. I tried to keep the Captain updated with the same information above. The smell lasted about 3 to 5 minutes and disappeared after that. Then we prepared the cabin for [a precautionary air return].",,,,"Air Carrier Flight Attendant reported burning odor 'similar to burning Lithium Ion battery' during climb. FA investigated the area and determined the 'possible' cause was spare Lithium batteries in passenger carry on bag. Flight executed a safe air return.",
1866251,202201,0001-0600,ZZZ.ARTCC,US,,,,17000,,IMC,Rain,,,,,Center ZZZ,Air Carrier,B767 Undifferentiated or Other Model,,2,Part 121,IFR,,,Climb,,Class A ZZZ,,,,,,,,,,,,,,,,,,,,,,,,Hydraulic Main System,,X,Malfunctioning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,Pilot Flying; Captain,Flight Crew Air Transport Pilot (ATP); Flight Crew Instrument; Flight Crew Multiengine,Flight Crew Last 90 Days 165; Flight Crew Type 787,,Troubleshooting,,,1866251,Aircraft X,Flight Deck,Air Carrier,First Officer; Pilot Not Flying,Flight Crew Multiengine; Flight Crew Air Transport Pilot (ATP); Flight Crew Instrument,Flight Crew Last 90 Days 141; Flight Crew Total 4302; Flight Crew Type 3350,,Troubleshooting,,,1866270,Aircraft Equipment Problem Critical; Deviation - Altitude Excursion From Assigned Altitude; Deviation / Discrepancy - Procedural Clearance; Deviation / Discrepancy - Procedural Published Material / Policy; Inflight Event / Encounter Weather / Turbulence,,N,Person Flight Crew,In-flight,Air Traffic Control Provided Assistance; Flight Crew Overcame Equipment Problem; Flight Crew Landed in Emergency Condition; Flight Crew Requested ATC Assistance / Clarification; General Maintenance Action,Weather; Aircraft,Aircraft,"Left HYD QTY EICAS (Engine Indicating and Crew Alerting system) level at 17;000 ft. Quantity indicated 0. Pressure normal. Lost left A/P (Autopilot). [Requested priority handling] and requested climb to [FL] 280 to VMC. Stopped climb in at FL 230 VMC. Ran L HYD QTY checklist. Weather good at ZZZ so continued to uneventful landing on XXR.",,"In climb out passing 17;000 ft; L HYD SYS quantity EICAS illuminated. We requested climb to FL 280 to maintain VMC and [requested priority handling]. Completed HYD QTY L checklist and proceeded to ZZZ. Contacted Dispatch; checked landing distance; and systems affected. Performed Arrival to ILS XXR to ZZZ and normal landing.",,"Flight Crew reported loss of left hydraulic system during climb. The crew continued to destination airport and made a safe landing.",
1866265,202201,1201-1800,ZZZ.Airport,US,,,0,,,VMC,Rain,,,,,Ramp ZZZ,Air Carrier,A319,,2,Part 121,IFR,Passenger,,Taxi,,,,,,,,,,,,,,,,,,,,,,,,,,Parking Brake,,X,Malfunctioning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,Pilot Not Flying; First Officer,Flight Crew Instrument; Flight Crew Air Transport Pilot (ATP); Flight Crew Multiengine,Flight Crew Last 90 Days 108; Flight Crew Type 2300,,Human-Machine Interface; Workload; Confusion; Communication Breakdown; Situational Awareness,Party1 Flight Crew; Party2 Flight Crew,,1866265,Aircraft X,Flight Deck,Air Carrier,Pilot Flying; Captain,Flight Crew Air Transport Pilot (ATP); Flight Crew Multiengine; Flight Crew Instrument,Flight Crew Last 90 Days 209; Flight Crew Type 963,,Confusion; Human-Machine Interface; Situational Awareness; Workload; Communication Breakdown,Party1 Flight Crew; Party2 Flight Crew,,1866288,Aircraft Equipment Problem Critical; Deviation / Discrepancy - Procedural Published Material / Policy; Ground Event / Encounter Loss Of Aircraft Control; Ground Event / Encounter Weather / Turbulence,,,,,Flight Crew Took Evasive Action; General Maintenance Action,Aircraft; Human Factors; Weather,Aircraft,"Delayed reporting after Captain submitted [report]. Realized I should submit [a report] as well. Normal arrival into ZZZ. Snowstorm the previous night and into the morning. Ground taxi behind Aircraft Y with Captain riding the brakes. Taxiways with some snow and ice. Captain called for #2 engine shutdown. After arriving near the gate and lined up for a straight-in taxi; Captain set the parking brake; waiting for Ground crew to guide us in for the remaining 100 yards to the gate. Once directed by Ground crew; Captain released the parking brake and began to add power. No movement was noted and the Captain added more power; thinking that there was snow or ice preventing us from moving. I looked to checked that the parking brake was released and no message was displayed. I then looked at the pressure gauge and saw the needles pegged at 3000 psi; but was unable to recognize the discrepancy before the plane broke free with the asymmetric thrust and skidded in a 150-degree right hand turn. Once stopped; we confirmed that the needles were at 3000 psi with the brakes released. The Captain cycled the parking brake and the pressure returned to normal. With Ramp coordination; we continued our right-hand turn and returned to the gate normally. The brake issue was not reported via maintenance report since indications had return to normal. Follow-on flight crew was at the gate and we gave a verbal report of what happened with the brakes.",,"We landed ZZZ XXR and taxied to the gate. We were waiting for the Ramp guys to marshal us in. We were pointed south with the right engine shut down; parking brake set. When they eventually showed up; I released the brake and added a bit of thrust to taxi in but the aircraft did not move. I assumed we had some ice and frozen clutter possibly stuck to the brake so I kept increasing thrust to get the aircraft to move. I am not sure how much thrust we had when the aircraft suddenly pivoted about 150 degrees to the right. I immediately retarded the throttle and selected full brakes. Ramp inquired why we made the turn. After we were cleared to continue the turn to taxi to the gate; we noticed that the park brake appeared to be stuck. Brakes released and indicated 3;000 psi. I cycled the brake a few times and when it showed normal indication; we continued in to the gate for an uneventful parking. I did not do a maintenance write-up as I believed this was the result of frozen clutter. I did inform the new Captain of what had happened. The pivot was sudden but it was not violent. We literally slid across an icy ramp. Very smooth.",,"A319 flight crew reported a loss of aircraft control during taxi in to the gate due to the parking brake getting stuck and not releasing.",
1866297,202201,,,,,,,,,,,,,,,Center ZZZ,Air Carrier,B737 Next Generation Undifferentiated,,2,Part 121,IFR,Passenger,,Cruise,,Class A ZZZ,,,,,,,,,,,,,,,,,,,,,,,,APU Electrical,,X,Malfunctioning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hangar / Base,,Air Carrier,Dispatcher,Dispatch Dispatcher,,,Situational Awareness; Workload; Communication Breakdown; Confusion,Party1 Dispatch; Party2 Other,,1866297,,,,,,,,,,,,Aircraft Equipment Problem Critical; Deviation / Discrepancy - Procedural Clearance; Deviation / Discrepancy - Procedural Published Material / Policy,,,Person Flight Crew,In-flight,Flight Crew Requested ATC Assistance / Clarification; Flight Crew Overcame Equipment Problem; Flight Crew Diverted; General Flight Cancelled / Delayed; General Maintenance Action,Procedure; Aircraft; Human Factors,Aircraft,"Flight diversion occurred to ZZZ due to an enroute failure of the APU Generator. The #1 engine generator was initially on placard bringing the flight down to one single AC power source. No non-normal situation exists in the Flight Manual; but is trained that a single AC sources requires diversion to the nearest suitable airport. The Dispatcher contacted the Operations Manager immediately after the flight crew reported the event. I was notified of the event by calling the Dispatch to inquire about the flight status when [Software Program] alerted that the flight destined to ZZZ1 was diverting to ZZZ1; which was incorrect; but usually indicates something abnormal may be happening.Per 737 Flight Manual 'Landing at Nearest Suitable Airport' section; there are specific situations where pilot should plan to land at the nearest suitable airport to include 'Electrical - Only one AC power source remains.' No calls were made to the Maintenance Director or Chief Dispatcher until the diversion was in progress. Per the Dispatcher's Manual under the Dispatch Emergency/Irregular Checklist the Dispatcher should notify the Maintenance Director if the diversion to the nearest suitable airport is required. This also is in direct contravention to the Dispatcher's Manual for notification of any inflight notification of mechanical issues as well as the Dispatchers Manual Notification during irregular operations.The Flight Crew did [request priority handling] on arrival which was only discovered after I requested the Dispatcher get briefed by the flight. Failure to notify the Maintenance Director could have resulted in the [Company process] not being issued or company indication via Company process that [priority was requested] for a Operator flight.I have spoken with the Dispatcher for the flight to discuss the events in a post-review. After arrival in ZZZ the Director asked if I would issue the [Company Process]. I replied in the affirmative and requested the Director to have the Operations Managers advise the Maintenance Director when a similar significant event occurs. I was answered with silence.",,,,"Dispatcher reported confusion and communications issues while working a flight that diverted due to the loss of the APU generator; which when combined with an engine IDG already on MEL required the Flight Crew to divert and land at the nearest suitable airport.",
1866323,202201,1801-2400,ITH.Airport,NY,,,0,,,,,,Night,,,Tower ITH,Air Carrier,Commercial Fixed Wing,,2,Part 121,IFR,Passenger,,Taxi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,Captain; Pilot Flying,Flight Crew Air Transport Pilot (ATP); Flight Crew Multiengine; Flight Crew Instrument,,,Communication Breakdown,Party1 Flight Crew; Party2 ATC,,1866323,,,,,,,,,,,,Deviation / Discrepancy - Procedural Published Material / Policy; Ground Event / Encounter Ground Equipment Issue; Ground Event / Encounter Loss Of Aircraft Control; Ground Event / Encounter Weather / Turbulence,,,Person Flight Crew,Taxi,Flight Crew Regained Aircraft Control; Flight Crew Took Evasive Action,Airport; Weather,Airport,"We landed Runway 32 in ITH; Tower was reporting Runways as condition 5;5;5; and there were no NOTAMS or reports of poor or NIL braking anywhere on the field. We were assigned taxi route C-A Ramp and I determined that braking action on Runways and Taxiways was good and relayed this to Tower after exiting C. Upon exiting A and taxing onto RAMP; it became apparent that we were sliding across a patch of ice and I was unable to slow the aircraft using brakes or to steer using the tiller or rudder inputs. At this point idle thrust was causing the aircraft to accelerate over the patch of ice and the nose was beginning to veer to the left. I shut down the left engine which stopped the aircraft from veering further left and prevented us from accelerating; but we continued to slide forward. I then shut down he right engine and with all thrust removed I was able to use the brakes to bring the aircraft to a full stop. We remained approximately 100 ft. on all sides of the aircraft from anything that we could have hit; no damage or injuries resulted from the slide. Ops dumped sand on the ramp and urged us to restart the engines and taxi to the Gate under our own power. I discussed with Dispatch and told them that I felt uncomfortable with that plan due to concerns of FOD ingestion and Ramp condition. Dispatch agreed and told Ops that we would need to find another way. Ops made the decision to deplane the passengers on foot; and the XX passengers were escorted across the ramp and into the Terminal (approx 50 yards). After more than an hour; on-call Maintenance arrived and towed the aircraft to the Gate.",,,,"Air Carrier Captain reported while taxiing on an icy ramp at night; they began to slide and shut down an engine shut down to stop aircraft.",
1866347,202201,0601-1200,ZZZ.Airport,US,,,0,,,,,,,,,,Air Carrier,B737 MAX Series Undifferentiated,,2,Part 121,IFR,Passenger,,Parked,,,,,,,,,,,,,,,,,,,,,,,,,,APU,,X,Malfunctioning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,Pilot Flying; First Officer,Flight Crew Multiengine; Flight Crew Air Transport Pilot (ATP); Flight Crew Instrument,,,Time Pressure; Troubleshooting; Workload,,,1866347,Aircraft X,Flight Deck,Air Carrier,Captain; Pilot Flying,Flight Crew Air Transport Pilot (ATP); Flight Crew Multiengine; Flight Crew Instrument,,,Time Pressure; Workload; Troubleshooting,,,1866349,Aircraft Equipment Problem Less Severe; Ground Event / Encounter Weather / Turbulence,,N,Person Flight Crew,Aircraft In Service At Gate,General Maintenance Action,Aircraft,Aircraft,"While at Gate XX during heavy wet snow with wind blowing 10-15 kts. 90 degrees from the right side; the APU tripped off line 3 separate times. At some point; we also noticed zero duct pressure. The mechanic found no issues [and] suggested shutting the APU down for several minutes. Upon restart; pressure was normal for approximately 10 minutes; then it started to decrease again. [Contributing factors were] heavy wet snow; [flying] in direct right crosswind; [and] possible issue with design of MAX APU inlet. [I suggest] publishing a note in AOM or somewhere to let crews know this is a possibility on the 737-MAX and have Boeing examine this scenario.",,"While at Gate XX at ZZZ during heavy wet snow. [We] had issues with APU generator. [The APU] tripped off three times. [The APU] would reset after about 30 seconds. We also had zero duct pressure. The wind was a direct crosswind from the right. Maintenance came out and after resetting the APU and came up with a plan to shut down the APU so the door would close and allow the APU to stop ingesting wet snow. This happened to a MAX on gate XX and us on gate XX.After allowing 15 min for the shut down and restart of the APU; duct pressure came back up and the APU generated worked fine. [We had an] extended delay so [we] shut down the APU again. Direct crosswind with blowing heavy wet snow causes the APU to not operate correctly. [I made] a note in the flight manual to warn crews of this potential problem. [I recommend to] delay using the APU until you are ready to push and start the aircraft. If we had pushed with our original problem we would not have been able to start engine with no duct pressure.",,"Air carrier flight crew reported the APU on their 737 MAX continued to shut down while in service at the gate while in a heavy wet snow storm.",
1866358,202201,1801-2400,ORD.Airport,IL,,,0,,,,,,,,,Ground ORD,Air Carrier,Commercial Fixed Wing,,2,Part 121,IFR,Passenger,,Taxi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,First Officer; Pilot Flying,Flight Crew Multiengine; Flight Crew Instrument; Flight Crew Air Transport Pilot (ATP),,,Time Pressure; Troubleshooting; Workload; Distraction; Confusion; Communication Breakdown; Situational Awareness; Human-Machine Interface,Party1 Flight Crew; Party2 ATC,,1866358,Aircraft X,Flight Deck,Air Carrier,Captain; Pilot Not Flying,Flight Crew Instrument; Flight Crew Multiengine; Flight Crew Air Transport Pilot (ATP),,,Time Pressure; Workload; Communication Breakdown; Confusion; Distraction; Human-Machine Interface; Situational Awareness,Party1 Flight Crew; Party2 ATC,,1866350,Deviation / Discrepancy - Procedural Clearance; Ground Event / Encounter Weather / Turbulence; Ground Incursion Runway,,N,Person Air Traffic Control; Person Flight Crew,Taxi,Air Traffic Control Issued Advisory / Alert; Air Traffic Control Provided Assistance; Flight Crew Requested ATC Assistance / Clarification,ATC Equipment / Nav Facility / Buildings; Weather; Human Factors; Chart Or Publication,Ambiguous,"Leaving the CDF (Central Deice Facility) we were given taxi instructions of Zulu; Golf; cross [Runway] 4L; hold short of [Taxiway] TT for a [Runway] 27L departure.  There was light snowfall at the time and local Tower had just turned the airport around to a west flow. As we left the CDF; Taxiway Zulu remained unplowed. We were able to use the blue taxiway edge post lights as guidance.  At that time; those lights were the only means of navigating that taxiway. Any and all pavement markings were indiscernible. The taxi was slow and methodical due to the conditions. It was very dark over on that side of the airport and difficult to see. As soon as we noticed we were slightly north of the [Taxiway] Golf intersection; we stopped the aircraft. At no time did we encroach onto [Runway] 27L/9R as the runway edge lights provided us guidance. ATC immediately queried us as to our position and asked if we were over the hold short line. As there was no way to tell by looking at the airport environment due to the snowfall; we used the AMM (Airport Moving Map) in our Jeppesen Charts which we both had already in use. The chart shows the hold short line well south of the [Taxiway] Golf intersection. According to the chart we had absolutely passed it; but we would have anyway if we had turned right onto [Taxiway] Golf to make our way to the [Taxiway] TT intersection. There was no way to see where the actual markings were on the concrete. While we did taxi slightly past the [Taxiway] Golf intersection due to the conditions and focusing on centerline discipline; I cannot tell you if we actually passed the hold short line that I assume is painted correctly on the ground. There were no lights flashing to denote the hold short line either. Also; there are 10 intersections to that runway; the AMM only shows 4 hold short lines. We were given instructions to taxi across [Runway] 9R and given a number to call. Eventually after taxiing to the active; we took off with no further issues. We landed in ZZZ and after the debrief with O'Hare ATC; we explained our situation. They had indicated to us that our position was not visible to them and the ground radar at that location was not always accurate. After our event; several other pilots voiced concern to Tower about the conditions and that is when they directed the plows to that area of the airport. This was conveyed to us by ATC directly when we called after we landed in ZZZ.  While I understand it is a new runway; there should be hold short lines depicted at every intersection accurately in our charts; including the low-vis charts. I have attached the most updated AMM screenshot of that taxiway intersection for [Runway] 9R.Weather was the main factor compounded by the errors in the Jeppesen charts.Having the CDF located on the west side of the airport with a west flow; plowing should take place before aircraft start movement on taxi routes to the departure runways. Also; Jeppesen needs to correct their charts.",,"Taxiing out of Central Deicing Facility. Airport changed from East to West flow. Taxi clearance was [Taxiway] Z right on [Taxiway] G; cross [Runway] 4L to for [Runway] 27L [Taxiway] TT departure. Taxiway Z was not plowed and G Taxiway was obscured by snow. Just missed Taxiway G and stopped at the same time Tower told us to stop. He asked if we had passed the hold short line and we said yes because you have to cross hold short line for [Runway] 09R in order to make the right turn on [Taxiway] G. Snow prevented seeing any taxiway markings. We never encroached on [Runway] 9R/ 27L. We were eventually cleared to cross [Runway] 9R/27L taxi E to [Taxiway] TT for takeoff.  We were given a phone number to call ORD Tower which I did after arriving in ZZZ. Tower personnel asked if at any time did we encroach the edge of the runway. We did not. The Tower said that later aircraft complained about the snow and plows were dispatched to clear the taxiways we had used. He also stated that it is difficult for the Tower to see us on Taxiway Z approaching [Taxiway] G.Taxiways that had not been plowed were the biggest factor. Runway change from when we started deicing to when we finished deicing. Snowy conditions. Please see attachment.More timely snow removal would have helped immensely. If you look at the Taxiway Diagram; you must pass the hold short line for [Runway] 9R in order to turn onto Taxiway G. The hold short line is too far from the runway and there are no 'wig wag' lights to identify the hold short line.  Suggest that the hold short lines be relocated north of Taxiway G.",,"Air carrier flight crew reported a possible runway incursion at ORD airport. While taxiing on a snow covered taxiway and no lights indicating a hold short position; the incursion may have taken place. The pilots reported the Jeppesen airport chart does not show an accurate location for hold short lines.",
