c5	c1	c2	c3	c4	c6	c7	c8	c9	c10	c75	c132	c134	c136	c138	c139	c140	c141	c144	c145	c147	c149	c151	c152	c153	c155	c157	c160	c162	c203	c204	c214	c233	c234	c790	c22	c23	c24	c25	c26	c27	c30	c31	c32	c33	c34	c35	c36	c37	c38	c39	c11	c12	c13	c14	c15	c16	c17	c18	c19	c20	c21	c102	c104	c106	c108	c110	c112	c113	c114	c115	c117	c118	c143	c240	c241	c242	c243	c61	c62	c63	c64	c65	c66	c67	c68	c69	c70	c71	c72	c73	c74	c76	c250	c205	c206	c207	c208	c210	c41	c43	c45	c47	c49	c50	c52	c53	c54	c55	c56	c57	c58	c59	c119	c120	c121	c122	c126	c127	c128	c129	c130	c78	c80	c82	c84	c86	c88	c90	c92	c94	c96	c98	c100	c111	c123	c124	c125	c184	c192	c244	c40	c44	c46	c48	c51	c77	c79	c81	c83	c85	c87	c89	c91	c93	c95	c97	c99	c101	c103	c105	c107	c109	c131	c133	c135	c137	c146	c148	c150	c154	c156	c158	c161	c163	c183	c191	c229	c230	end_of_record
20100101025579A	A	091	   	 	2010	01	01	20100101	1110	9	 	 	 	 	 	 	   	1H71	1	H	7	1 	3O  	 	 	TR	  	  	196547	02557	 	 	 	 	4026J	CESSNA	150G        	      	        	  	STRD	9028 	* 	  	CONT M	0-200 SERIES 	N/A   	        	  	     	EA	EA05	PA	DOYLESTOWN     	DOYLESTOWN                    		DYL 																DYL 					2  	1  	0 	0 	1 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0  	0  	20100706				20150131	03	N						200  		1    	1450 				AIRCRAFT HAD A NORMAL TAKE-OFF ROLL DEVELOPING FULL POWER.  ON CLIMB-OUT, THE AIRCRAFT EXPERIENCED A REDUCTION IN P	N/A                           	  	    	           	  	    	      	                    	  	 	 	 	  	 	 	 	  	TC	M	 	   	 	 	 	 	 	 	COMMERCIAL PILOT    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	Takeoff: Climb Out  	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	UNDER 12501 LBS               	MONOPLANE-HIGH WING/PARA WING 	POWERED                       	                              	                              	Wheeled-Tricycle              	                    	                    	                    	                    			 
20100101025609A	A	091	   	 	2010	01	01	20100101	1940	9	 	 	 	 	 	 	   	    	 	 	 		    	 	 	CV	  	  	197646	02560	 	 	 	 	2028U	MAULE 	M-4-220C    	      	        	  	STRD	1599 	* 	  	FRANKL	6V 350 SERIES	      	        	  	     	SW	SW17	TX	PEARSALL       																								3  	2  	0 	0 	1 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0  	0  	20100706				20150131	01	N						25   		13   	300  				PILOT STATED THAT HE COULD NOT FIND CRYSTAL CITY MUNICIPAL AIRPORT BECAUSE THERE WERE NO LIGHTS OR BEACON. PILOT HE	N/A                           	  	    	           	  	    	      	                    	  	 	 	 	  	 	 	 	  	EX	S	 	   	 	 	 	 	 	 	PRIVATE PILOT       	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	Descent             	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                              	                              	                              	                              	                              	Wheeled-Conventional          	                    	                    	                    	                    			 
20100101025799A	A	137	   	 	2010	01	01	20100101	1142	9	 	 	 	 	 	 	   	    	 	 	 		    	 	 	SD	  	  	197802	02579	 	 	 	 	440NR	HILLER	UH-12E      	      	        	  	REST	8000 	* 	  	LYCOMI	VO-540 SERIES	      	        	  	     	WP	WP17	CA	TIPTON         																								1  	0  	0 	0 	1 	0 	1 	0 	0 	0 	0 	0 	0 	0 	0  	1  	20100706				20190331	03	N						5000 		100  	13000				WEATHER WAS OVERCAST FOR THE FIRST PART OF THE FLIGHT.  WHEN THE SUN CAME OUT DURING A SWATH RUN, THE PILOT PROPPED	N/A                           	  	    	           	  	    	      	                    	  	 	 	 	  	 	 	 	  	OT	S	 	   	 	 	 	 	 	 	COMMERCIAL PILOT    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	Other, Specify      	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                              	                              	                              	                              	                              	Skids                         	                    	                    	                    	                    			 
20100101025829I	I	091	   	 	2010	01	01	20100101	0910	9	 	 	 	 	 	 	   	1H72	1	H	7	2 	3O  	 	 	TR	  	  	197155	02582	 	 	 	 	303CP	CESSNA	560         	      	        	  	STRD		* 	  	P&W CA	JT15D 5 SER  	      	        	  	     	NM	NM11	ID	HAILEY         	FRIEDMAN MEMORIAL             		KSUN																KSUN					7  	5  	0 	0 	2 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0  	0  	20100706				20150131	F9	N						376  		50   	9208 				CREW WAS UNAWARE THAT THE GROUND CREW HAD BEGUN DEICING OPERATIONS AND INADVERTENTLY HIT THE BASKET OF THE DEICE TR	N/A                           	  	    	           	  	    	      	                    	  	 	 	 	  	 	 	 	  	TX	M	 	   	 	 	 	 	 	 	A/LINE TRANSPORT PLT	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	Taxi                	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	UNDER 12501 LBS               	MONOPLANE-HIGH WING/PARA WING 	POWERED                       	                              	                              	Wheeled-Tricycle              	                    	                    	                    	                    			 
20100102025619I	I	105	   	 	2010	01	02	20100102	1400	9	 	 	 	 	 	 	   	1H71	1	H	7	1 	3T  	 	 	TR	  	  	197647	02561	 	 	 	 	208KM	CESSNA	208         	      	        	  	STRD		* 	  	P&W CA	PT6A-114     	      	        	  	     	SW	SW17	TX	FENTRESS       	FENTRESS AIRPARK              		XS90																XS90					0  	0  	0 	0 	0 	0 	0 	0 	0 	0 	1 	0 	1 	0 	0  	1  	20100706				20120525		N						0    		0    	0    				DURING LANDING, THE SKYDIVER FAILED TO FLAIR IN TIME MAKING HARD CONTACT WITH TERRAIN BREAKING LEFT LEG.           	N/A                           	  	    	           	  	    	      	                    	  	 	 	 	  	 	 	 	  	CR	N	 	   	 	 	 	 	 	 	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	Cruise/Level Flight 	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	UNDER 12501 LBS               	MONOPLANE-HIGH WING/PARA WING 	POWERED                       	                              	                              	Wheeled-Tricycle              	                    	                    	                    	                    			 
20100101030559I	I	091	   	 	2010	01	01	20100101	0900	9	 	 	 	 	 	 	   	1L72	1	L	7	2 	3O  	 	 	TR	  	  	197689	03055	 	 	 	 	3840X	BEECH 	58          	      	        	  	STRD	4310 	* 	  	CONT M	IO 520 SERIES	      	        	  	     	SW	SW31	MS	ROLLING FORK   	NICK'S FLYING SERVICE INC AIRP		04MS																04MS					1  	0  	0 	0 	1 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0  	0  	20100706				20150131	03	N						0    		0    	0    				FROM PILOT'S STATEMENT;LANDED AT ROLLING FORK MS. SHUT DOWN ENGINES. WAITED 20 MINUTES FOR PASSENGER. PASSENGER DID	BRUCE WAYNE MILLER            	  	    	           	  	    	      	                    	  	 	 	 	  	 	 	 	  	TX	M	 	   	 	 	 	 	 	 	COMMERCIAL PILOT    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	Taxi                	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	UNDER 12501 LBS               	MONOPLANE-LOW WING            	POWERED                       	                              	                              	Wheeled-Tricycle              	                    	                    	                    	                    			 
20100102026249I	I	091	   	 	2010	01	02	20100102	1258	9	 	 	 	 	 	 	   	    	 	 	 		    	 	 	TR	  	  	197712	02624	 	 	 	 	44730	PIPER 	PA-34-200T  	      	        	  	STRD		* 	  	      	             	      	        	  	     	WP	WP05	CA	TORRANCE       			KTOA																KTOA					2  	0  	0 	0 	2 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0  	0  	20100706				20120525		N						0    		0    	0    				ON JAN 2, 2010 JON MOWATT PNF (PILOT NOT FLYING) WAS GIVING FLIGHT INSTRUCTION TO BRENT NELSON PF (PILOT FLYING) IN	N/A                           	  	    	           	  	    	      	                    	32	 	 	 	  	 	 	 	  	LT	S	 	   	 	 	 	 	 	 	                    	                    	                    	                    	                    	3230                	                    	                    	                    	                    	                    	                    	                    	                    	Landing: Touchdown  	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                              	                              	                              	                              	                              	Wheeled-Tricycle              	                    	                    	                    	                    			 
20100102026319I	I	091	   	 	2010	01	02	20100102	1108	9	 	 	 	 	 	 	   	    	 	 	 		    	 	 	OT	  	  	197756	02631	 	 	 	 	951EU	EXPERI	EXPERIMENTA 	      	        	  	EXPT	35   	* 	  	      	             	      	        	  	     	WP	WP09	CA	RAMONA         	RAMONA                        		RNM 														DRY		RNM 					1  	0  	0 	0 	1 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0  	0  	20100706				20150131	01	N						1    		6    	430  				AIRMAN STATED THAT UPON LANDING HIS HOME-BUILT AIRCRAFT, IT STARTED TO VEER TO THE RIGHT AND HE CORRECTED WITH LEFT	OEHLER, WAYNE PAUL            	  	    	           	  	    	      	                    	  	 	 	 	  	 	 	 	  	LR	M	 	   	 	 	 	 	 	 	PRIVATE PILOT       	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	Landing: Rollout    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                              	                              	                              	                              	                              	Other, Specify                	                    	                    	                    	                    			 
20100103025589I	I	091	   	 	2010	01	03	20100103	1000	9	 	 	 	 	 	 	   	    	 	 	 		    	 	 	TR	  	  	197255	02558	 	 	 	 	360RG	PAGE S	GLASAIR SH- 	      	        	  	EXPT	556  	* 	  	LYCOMI	O&VO-360 SER 	      	        	  	     	SO	SO11	GA	FT. VALLEY     	FT. VALLEY                    		GA81																GA81					1  	0  	0 	0 	1 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0  	0  	20100706				20150131	01	N						153  		55   	1294 				UPON LANDING AT FT. VALLEY (GA81) THE RIGHT GEAR RETRACTED ON LANDING ROLLOUT AND THE AIRCRAFT CONTACTED SOME SMALL	N/A                           	  	    	           	  	    	      	                    	  	 	 	 	  	 	 	 	  	LR	M	 	   	 	 	 	 	 	 	PRIVATE PILOT       	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	Landing: Rollout    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                              	                              	                              	                              	                              	Wheeled-Tricycle              	                    	                    	                    	                    			 
20100103025599I	I	121	   	 	2010	01	03	20100103	2246	9	 	 	 	 	 	 	   	    	 	 	 		    	 	 	TR	  	  	197514	02559	 	 	 	 	752EV	BOMBAR	CL-600-2C10 	      	        	  	STRD			  	      	             	      	        	  	     	SO	SO27	GA	ATLANTA        	HARTSFIELD-JACKSON            		ATL 																ATL 					0  														0  	0  	20100706				20120525		N						0    		0    	0    				WING OVERHEAT LEFT SIDE MASTER WARNING.(AIRCRAFT RETURNED TO ATL AFTER T/O)                                        	ATLANTIC SOUTHEAST AIRLINES   	  	ASOA	           	  	    	      	                    	  	 	 	 	  	 	 	 	  	TC	N	 	   	 	 	 	 	 	 	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	Takeoff: Climb Out  	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                              	                              	                              	                              	                              	Wheeled-Tricycle              	                    	                    	                    	                    			 
