c5	c1	c2	c3	c4	c6	c7	c8	c9	c10	c75	c132	c134	c136	c138	c139	c140	c141	c144	c145	c147	c149	c151	c152	c153	c155	c157	c160	c162	c203	c204	c214	c233	c234	c790	c22	c23	c24	c25	c26	c27	c30	c31	c32	c33	c34	c35	c36	c37	c38	c39	c11	c12	c13	c14	c15	c16	c17	c18	c19	c20	c21	c102	c104	c106	c108	c110	c112	c113	c114	c115	c117	c118	c143	c240	c241	c242	c243	c61	c62	c63	c64	c65	c66	c67	c68	c69	c70	c71	c72	c73	c74	c76	c250	c205	c206	c207	c208	c210	c41	c43	c45	c47	c49	c50	c52	c53	c54	c55	c56	c57	c58	c59	c119	c120	c121	c122	c126	c127	c128	c129	c130	c78	c80	c82	c84	c86	c88	c90	c92	c94	c96	c98	c100	c111	c123	c124	c125	c184	c192	c244	c40	c44	c46	c48	c51	c77	c79	c81	c83	c85	c87	c89	c91	c93	c95	c97	c99	c101	c103	c105	c107	c109	c131	c133	c135	c137	c146	c148	c150	c154	c156	c158	c161	c163	c183	c191	c229	c230	end_of_record
20100103006039I	I	091	   	 	2010	01	03	20100103	1350	9	 	 	 	 	 	 	   	1H72	1	H	7	2 	3O  	 	 	TR	  	  	193827	00603	 	 	 	 	172SL	PIAGGI	P180        	      	        	  	STRD	2395 	* 	  	P&W CA	PT6A-66B     	      	        	  	     	SO	SO15	ZZ	PUERTO VALLARTA	PUERTO VALLARTA               		MMPR																MMPR					2  	0  	0 	0 	2 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0  	0  	20100630				20120525		N						0    		0    	0    				PIC STATED THAT THE ITT SURGED THREE TIMES, 1160, 1175, 1200 RESPECTIVELY. ENGINE WAS SHUT DOWN, EMERGENCY DECLARED	AVANTAIR INC                  	  	V2JA	           	  	    	      	                    	  	 	 	 	  	 	 	 	  	LA	N	 	   	 	 	 	 	 	 	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	Landing: Approach   	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	UNDER 12501 LBS               	MONOPLANE-HIGH WING/PARA WING 	POWERED                       	                              	                              	Wheeled-Tricycle              	                    	                    	                    	                    			 
20100102025909A	A	135	   	 	2010	01	02	20100102	1524	9	 	 	 	 	 	 	   	    	 	 	 		    	 	 	TR	  	  	196482	02590	 	 	 	 	227ML	FAIRCH	SA227-AC    	      	        	  	STRD	26001	* 	  	AIRESE	TPE          	331   	        	  	     	CE	CE17	KY	SOMERSET       	SOMERSET-PULASKI COUNTY-J.T. W		SME 			37 03N	84 36W										DRY		SME 					3  	1  	0 	0 	2 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0  	0  	20100706				20150131	F9	N						2000 		150  	5398 				ON JANUARY 2, 2010 AT 1524 EASTERN STANDARD TIME, LOCAIR FLIGHT 151, A FAIRCHILD AIRCRAFT N227ML, SUSTAINED SUBSTAN	LOCAIR INC                    	  	YLXA	           	  	    	      	                    	  	 	 	 	  	 	 	 	  	LR	S	 	   	 	 	 	 	 	 	A/LINE TRANSPORT PLT	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	Landing: Rollout    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                              	                              	                              	                              	                              	Wheeled-Tricycle              	                    	                    	                    	                    			 
20100105056059A	A	091	   	 	2010	01	05	20100105	1327	9	 	 	 	 	 	 	   	2L72	2	L	7	2 	4F  	 	 	TR	  	  	203908	05605	 	 	 	 	720RA	GATES 	35A         	      	        	  	STRD	15734	* 	  	GARRET	TFE 731 SER  	2C-2B 	        	  	     	WA	WA45	IL	PROSPECT HEIGHT	CHICAGO EXECUTIVE             		KPWK			42 05N	87 53W												KPWK					2  	0  	0 	0 	2 	2 	0 	0 	0 	0 	0 	0 	0 	0 	2  	0  	20120522				20150131	F9	N						3800 		225  	7100 				THE AIRCRAFT WAS CONDUCTING A PART 91 POSITIONING FLIGHT TO PICK UP A HIGH PRIORITY PART FOR TRANSPORT TO ATLANTA. 	ROYAL AIR FREIGHT             	  	BUHA	           	  	    	      	                    	  	 	 	 	  	 	 	 	  	LA	D	 	   	 	 	 	 	 	 	A/LINE TRANSPORT PLT	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	Landing: Approach   	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	OVER 12500 LBS                	MONOPLANE-LOW WING            	POWERED                       	                              	                              	Wheeled-Tricycle              	                    	                    	                    	                    			 
20100103025669I	I	135	   	 	2010	01	03	20100103	1749	9	 	 	 	 	 	 	   	    	 	 	 		    	 	 	TR	  	  	197134	02566	 	 	 	 	361PJ	GATES 	36          	      	        	  	STRD		* 	  	GARRET	TFE 731 SER  	      	        	  	     	NM	NM09	OR	HILLSBORO      	PORTLAND-HILLSBORO            		HIO 																HIO 					7  	5  	0 	0 	2 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0  	0  	20100706				20150131	09	N						1205 		75   	16200				DURING CLIMB OUT WITH LANDING GEAR RETRACTING PILOT FELT/HEARD "THUMP".  LANDING GEAR WAS EXTENDED WITH 3 GREEN IND	PREMIER JETS, INC.            	  	CMWA	           	  	    	      	                    	  	 	 	 	  	 	 	 	  	TC	M	 	   	 	 	 	 	 	 	AIRLINE TRANSPORT   	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	Takeoff: Climb Out  	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                              	                              	                              	                              	                              	Wheeled-Tricycle              	                    	                    	                    	                    			 
20100103025679I	I	091	   	 	2010	01	03	20100103	1218	9	 	 	 	 	 	 	   	1H71	1	H	7	1 	3O  	 	 	CV	  	  	197135	02567	 	 	 	 	857AC	AERONC	7AC         	      	        	  	STRD	900  	* 	  	LYCOMI	0-235 SERIES 	      	        	  	     	NM	NM09	OR	SCAPPOOSE      																								1  	0  	0 	0 	1 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0  	0  	20100706				20150131	03	N						250  		15   	1500 				ON PRE-FLIGHT, PILOT VERIFIED FUEL GAUGE INDICATED ONE QUARTER TANK. PILOT VISUALLY LOOKED IN TANK TO VERIFY FUEL Q	N/A                           	  	    	           	  	    	      	                    	  	 	 	 	  	 	 	 	  	CR	N	 	   	 	 	 	 	 	 	COMMERCIAL PILOT    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	Cruise/Level Flight 	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	UNDER 12501 LBS               	MONOPLANE-HIGH WING/PARA WING 	POWERED                       	                              	                              	Wheeled-Conventional          	                    	                    	                    	                    			 
20100106025649A	A	091	   	 	2010	01	06	20100106	1540	9	 	 	 	 	 	 	   	1H71	1	H	7	1 	3O  	 	 	TR	  	  	197161	02564	 	 	 	 	48ZZ 	CESSNA	182J        	      	        	  	STRD	4397 	* 	  	CONT M	O-470 SERIES 	      	        	  	     	NM	NM13	WA	METALINE FALLS 	SULLIVAN LAKE                 		09S 														OTH		09S 					4  	3  	0 	0 	1 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0  	0  	20100706				20150131	01	N						54   		8    	2000 				AIRMAN ELECTED TO LAND ON AN UNIMPROVED RUNWAY DURING THE OFF SEASON WHEN THE AIRPORT IS REPORTED AS CLOSED AS PER 	N/A                           	  	    	           	  	    	      	                    	  	 	 	 	  	 	 	 	  	LR	S	 	   	 	 	 	 	 	 	PRIVATE PILOT       	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	Landing: Rollout    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	UNDER 12501 LBS               	MONOPLANE-HIGH WING/PARA WING 	POWERED                       	                              	                              	Wheeled-Tricycle              	                    	                    	                    	                    			 
20100104042759I	I	091	   	 	2010	01	04	20100104	1230	9	 	 	 	 	 	 	   	1L72	1	L	7	2 	3O  	 	 	TR	  	  	198701	04275	 	 	 	 	5149M	BEECHC	76          	      	        	  	STRD		* 	  	LYCOMI	I0-360       	      	        	  	     	SO	SO09	AL	MERIDIANVILLE  	MADISON COUNTY EXECUTIVE      	36  	MDQ 														DRY		MDQ 					2  	0  	0 	0 	2 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0  	0  	20100918				20150131	F3	N						46   		90   	1162 				PILOT IN COMMAND FAILED TO GUARD GEAR HANDLE DURING TOUCH AND GO OPERATIONS. INADVERTANT RETRACTION OF GEAR ON LAND	N/A                           	  	    	           	  	    	      	                    	  	 	 	 	  	 	 	 	  	LR	M	 	   	 	 	 	 	 	 	COMM PILOT FLIGHT IN	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	Landing: Rollout    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	UNDER 12501 LBS               	MONOPLANE-LOW WING            	POWERED                       	                              	                              	Wheeled-Tricycle              	                    	                    	                    	                    			 
20100103025709A	A	091	   	 	2010	01	03	20100103	1115	9	 	 	 	 	 	 	   	1H71	1	H	7	1 	3O  	 	 	TR	  	  	197755	02570	 	 	 	 	7417N	CESSNA	182P        	      	        	  	STRD	2965 	* 	  	CONT M	O-470 SERIES 	0-470-	        	  	     	WP	WP09	CA	FALLBROOK      	FALLBROOK                     	18  	L18 														DRY		L18 					1  	0  	0 	0 	1 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0  	0  	20100706				20150131	01	N						68   		15   	196  				ON JANUARY 3, 2010 AT APPROXIMATELY 11:00 A.M. PACIFIC STANDARD TIME, PRIVATE PILOT MICHAEL FUQUA WAS FLYING N7417N	N/A                           	  	    	           	  	    	      	                    	  	 	 	 	  	 	 	 	  	LA	D	 	   	 	 	 	 	 	 	PRIVATE PILOT       	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	Landing: Approach   	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	UNDER 12501 LBS               	MONOPLANE-HIGH WING/PARA WING 	POWERED                       	                              	                              	Wheeled-Tricycle              	                    	                    	                    	                    			 
20100104025659I	I	129	   	 	2010	01	04	20100104	1357	9	 	 	 	 	 	 	   	    	 	 	 		    	 	 	TR	  	  	197052	02565	 	 	 	 	NONE 	BOEING	B-747       	      	        	  	STRD		* 	  	      	             	      	        	  	     	GL	GL31	IL	CHICAGO        	CHICAGO O'HARE INTL           		ORD 																ORD 					287	275	0 	0 	2 	0 	0 	10	0 	0 	0 	0 	0 	0 	0  	0  	20100706				20150131	09	N													AIRCRAFT TAXIING INTO GATE M9, OHARE AIRPORT (ORD) INTERNATIONAL TERMINAL , STRUCK A CARGO LOADER THAT WAS SITTING 	KLM                           	  	KRDF	           	  	    	      	                    	  	 	 	 	  	 	 	 	  	GR	M	 	   	 	 	 	 	 	 	AIRLINE TRANSPORT   	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	Ground/Ramp/Ma      	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                              	                              	                              	                              	                              	Wheeled-Tricycle              	                    	                    	                    	                    			 
20100104026139I	I	121	   	 	2010	01	04	20100104	0800	9	 	 	 	 	 	 	   	    	 	 	 		    	 	 	CV	  	  	197515	02613	 	 	 	 	854AS	BOMBAR	CL-600-2B19 	      	        	  	STRD		* 	  	GE    	CF34 SERIES  	      	        	  	     	SO	SO27	GA	ATLANTA        	HARTSFIELD - JACKSON ATLANTA I		ATL 																ATL 					0  														0  	0  	20100706				20120525		N						0    		0    	0    				GEAR LEVER SELECTED UP AND NOSE GEAR WOULD NOT RETRACT GEAR. HANDLE SELECTED DOWN AND REMAINED DOWN. WHEN THE AIRCR	ATLANTIC SOUTHEAST            	  	ASOA	           	  	    	      	                    	  	 	 	 	  	 	 	 	  	TC	N	 	   	 	 	 	 	 	 	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	Takeoff: Climb Out  	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                              	                              	                              	                              	                              	Wheeled-Conventional          	                    	                    	                    	                    			 
20100104025749I	I	121	   	 	2010	01	04	20100104	1115	9	 	 	 	 	 	 	   	    	 	 	 		    	 	 	TR	  	  	197532	02574	 	 	 	 	189GC	DHC-6 	300         	      	        	  	STRD	31552	* 	  	PT-6  	A            	-27   	        	  	     	SO	SO29	PR	SAN JUAN       	FERNANDO RIVAS DOMINICHI      		TJIG			18 27N	06605W												TJIG					9  	7  	0 	0 	2 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0  	0  	20100706				20150131	09	N						1600 		268  	15000				ON JANUARY 04, 2010, CAPTAIN CLIFFORD AND FIRST OFFICER HACKLER WERE ASSIGNED FLIGHT #1337, IN AIRCRAFT N189GC, FRO	SEABORNE VIRGIN ISLAND AIRLINE	  	S9BA	           	  	    	      	                    	  	 	 	 	  	 	 	 	  	GR	N	 	   	 	 	 	 	 	 	AIRLINE TRANSPORT   	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	Ground/Ramp/Ma      	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                              	                              	                              	                              	                              	Wheeled-Tricycle              	                    	                    	                    	                    			 
20100104026089A	A	091	   	 	2010	01	04	20100104	1053	9	 	 	 	 	 	 	   	1H71	1	H	7	1 	3O  	 	 	TR	  	  	196779	02608	 	 	 	 	5118J	CESSNA	172S        	      	        	  	STRD	46   	* 	  	      	             	      	        	  	     	EA	EA65	ME	GREENBUSH      	AIRPORT NAME                  		OLD 			45 07N	68 37W												OLD 					1  	0  	0 	0 	1 	1 	0 	0 	0 	0 	0 	0 	0 	0 	1  	0  	20100706				20150131	03	N						0    		0    	0    				THE PORTLAND MAINE FSDO WAS NOTIFIED BY BGR ATC AN AIRCRAFT (N5118J) WAS MISSING.  N5118J HAD DEPARTED BGR FOR GOOS	N/A                           	  	    	           	  	    	      	                    	  	 	 	 	  	 	 	 	  	EX	D	 	   	 	 	 	 	 	 	COMMERCIAL PILOT    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	Descent             	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	UNDER 12501 LBS               	MONOPLANE-HIGH WING/PARA WING 	POWERED                       	                              	                              	Wheeled-Tricycle              	                    	                    	                    	                    			 
20100105025629A	A	091	   	 	2010	01	05	20100105	1800	9	 	 	 	 	 	 	   	1H71	1	H	7	1 	3O  	 	 	TR	  	  	196976	02562	 	 	 	 	10401	CESSNA	150L        	      	        	  	STRD		* 	  	CONT M	0-200 SERIES 	      	        	  	     	GL	GL19	IL	BROWNSTOWN     																								1  	0  	0 	0 	1 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0  	0  	20100706				20150131	XX	Y						16   		60   	73   				ON CROSS COUNTRY FLIGHT FROM DECATUR, IL TO LITCHFIELD, IL THE STUDENT PILOT BECAME DISORIENTED AND LOST, WHILE THE	JIM MARKEY                    	  	    	           	  	    	      	                    	  	 	 	 	  	 	 	 	  	CR	S	 	   	 	 	 	 	 	 	STUDENT             	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	Cruise/Level Flight 	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	UNDER 12501 LBS               	MONOPLANE-HIGH WING/PARA WING 	POWERED                       	                              	                              	Wheeled-Tricycle              	                    	                    	                    	                    			 
