 ,Time,Time,Place,Place,Place,Place,Place,Place,Place,Environment,Environment,Environment,Environment,Environment,Environment,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Component,Component,Component,Component,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Events,Events,Events,Events,Events,Events,Assessments,Assessments,Report 1,Report 1,Report 2,Report 2,Report 1,
ACN,Date,Local Time Of Day,Locale Reference,State Reference,Relative Position.Angle.Radial,Relative Position.Distance.Nautical Miles,Altitude.AGL.Single Value,Altitude.MSL.Single Value,Latitude / Longitude (UAS),Flight Conditions,Weather Elements / Visibility,Work Environment Factor,Light,Ceiling,RVR.Single Value,ATC / Advisory,Aircraft Operator,Make Model Name,Aircraft Zone,Crew Size,Operating Under FAR Part,Flight Plan,Mission,Nav In Use,Flight Phase,Route In Use,Airspace,Maintenance Status.Maintenance Deferred,Maintenance Status.Records Complete,Maintenance Status.Released For Service,Maintenance Status.Required / Correct Doc On Board,Maintenance Status.Maintenance Type,Maintenance Status.Maintenance Items Involved,Cabin Lighting,Number Of Seats.Number,Passengers On Board.Number,Crew Size Flight Attendant.Number Of Crew,Airspace Authorization Provider (UAS),Operating Under Waivers / Exemptions / Authorizations (UAS),Waivers / Exemptions / Authorizations (UAS),Airworthiness Certification (UAS),Weight Category (UAS),Configuration (UAS),Flight Operated As (UAS),Flight Operated with Visual Observer (UAS),Control Mode (UAS),Flying In / Near / Over (UAS),Passenger Capable (UAS),Type (UAS),Number of UAS Being Controlled (UAS),Aircraft Component,Manufacturer,Aircraft Reference,Problem,ATC / Advisory,Aircraft Operator,Make Model Name,Aircraft Zone,Crew Size,Operating Under FAR Part,Flight Plan,Mission,Nav In Use,Flight Phase,Route In Use,Airspace,Maintenance Status.Maintenance Deferred,Maintenance Status.Records Complete,Maintenance Status.Released For Service,Maintenance Status.Required / Correct Doc On Board,Maintenance Status.Maintenance Type,Maintenance Status.Maintenance Items Involved,Cabin Lighting,Number Of Seats.Number,Passengers On Board.Number,Crew Size Flight Attendant.Number Of Crew,Airspace Authorization Provider (UAS),Operating Under Waivers / Exemptions / Authorizations (UAS),Waivers / Exemptions / Authorizations (UAS),Airworthiness Certification (UAS),Weight Category (UAS),Configuration (UAS),Flight Operated As (UAS),Flight Operated with Visual Observer (UAS),Control Mode (UAS),Flying In / Near / Over (UAS),Passenger Capable (UAS),Type (UAS),Number of UAS Being Controlled (UAS),Location Of Person,Location In Aircraft,Reporter Organization,Function,Qualification,Experience,Cabin Activity,Human Factors,Communication Breakdown,UAS Communication Breakdown,ASRS Report Number.Accession Number,Location Of Person,Location In Aircraft,Reporter Organization,Function,Qualification,Experience,Cabin Activity,Human Factors,Communication Breakdown,UAS Communication Breakdown,ASRS Report Number.Accession Number,Anomaly,Miss Distance,Were Passengers Involved In Event,Detector,When Detected,Result,Contributing Factors / Situations,Primary Problem,Narrative,Callback,Narrative,Callback,Synopsis,

1607242,201901,1201-1800,ZZZ.Airport,US,,,,,,,,,,,,,Air Carrier,A321,,2,Part 121,IFR,Passenger,,Taxi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,Pilot Not Flying; First Officer,Flight Crew Instrument; Flight Crew Multiengine; Flight Crew Air Transport Pilot (ATP),,,Communication Breakdown,Party1 Flight Crew; Party2 Flight Crew,,1607242,,,,,,,,,,,,Deviation / Discrepancy - Procedural Published Material / Policy; Deviation / Discrepancy - Procedural Weight And Balance; Deviation / Discrepancy - Procedural Hazardous Material Violation,,,Person Flight Crew,Pre-flight,General None Reported / Taken,Human Factors,Human Factors,"During pushback the ground crew mentioned they were late pushing off the gate due to complications getting an electric wheelchair in the cargo compartment. When the load closeout came; I noticed that there wasn't an entry under the 'W/B' (wheelchair battery) row with a quantity or location. It was my understanding that a NOTAC (Notice to Captain) is not required; but that it would show up for crew awareness and weight and balance purposes on the load closeout. I brought it to the attention of the Captain a couple times that I thought it needed to be present; but he disagreed saying that it was only important that we knew it was there for smoke/fire purposes but wasn't needed on the closeout. At that point I deferred to Captains authority. We proceeded without further action.",,,,"A321 First Officer reported Captain elected to depart without required Hazmat documents for battery powered wheelchair cargo.",
1607261,201901,0601-1200,MFR.Airport,OR,,,,1800,,,,,Dawn,,,TRACON EUG,Air Carrier,EMB ERJ 170/175 ER/LR,,2,Part 121,,,,Climb,,Class D MFR,,,,,,,,,,,,,,,,,,,,,,,,FMS/FMC,,X,Design,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,Captain; Pilot Not Flying,Flight Crew Air Transport Pilot (ATP); Flight Crew Multiengine; Flight Crew Instrument,,,Situational Awareness,,,1607261,,,,,,,,,,,,Aircraft Equipment Problem Less Severe; Deviation / Discrepancy - Procedural Published Material / Policy; Inflight Event / Encounter CFTT / CFIT,,,Person Air Traffic Control,In-flight,Air Traffic Control Issued New Clearance; Flight Crew Became Reoriented; Flight Crew Took Evasive Action,Aircraft; Human Factors; Procedure,Aircraft,"We were cleared to depart MFR on the Jackson 1 departure from Runway 14. This involves a climb on runway heading to 1800 feet; a right turn to heading 322 to join the OED R172 inbound to OED. Passing over OED at or above MEA/MCA one is to proceed on course. Our clearance was JKSN1.OED direct MLBEC which is a course reversal at OED of approximately 180 degrees. Upon joining the radial inbound to OED; the flight director will anticipate the turn extremely early for the next leg and directed a LEFT turn towards terrain out of approximately 4500 feet MSL. A brief moment of confusion occurred as to whether the FMS had been properly programmed before we realized why it was commanding this low turn that did not match up with the SID plate. As we continued TOWARD OED; Departure Control gave us a RIGHT turn to a heading of 110 and 'direct MLBEC when able.' Had this been in dark conditions or before we exited IMC and not been in communication with ATC this may have led us to fly towards terrain and experience EGPWS warnings or worse. The cause of this event is that the FMS is designed to anticipate a turn to the next waypoint and with large direction changes this turn could be well before the waypoint and in this case well too low. Additionally; I believe the SID is coded in our database incorrectly with no altitude limit before allowing a turn away from OED.The SID should be coded with either a flyover waypoint for OED; or a minimum altitude before allowing it to sequence to the next leg. Until that change is made; pilots should be directed to manually alter OED to be a flyover waypoint and not to diverge from that until directed by ATC that we are above any applicable MVA.",,,,"ERJ-175 Captain reported ATC issued a turn to avoid terrain after the FMS started an early turn departing MFR.",
1607372,201901,1801-2400,HOU.Airport,TX,,10,,4500,,IMC,Turbulence; 4,,Night,1000,,TRACON I90,Air Carrier,B737-700,,2,Part 121,IFR,Passenger,,Descent,,Class B HOU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,First Officer; Pilot Not Flying,Flight Crew Multiengine; Flight Crew Instrument; Flight Crew Air Transport Pilot (ATP),Flight Crew Last 90 Days 223,,Workload,,,1607372,Aircraft X,Flight Deck,Air Carrier,Pilot Flying; Captain,Flight Crew Multiengine; Flight Crew Instrument; Flight Crew Air Transport Pilot (ATP),Flight Crew Last 90 Days 391; Flight Crew Type 2400,,Workload,,,1607396,Deviation - Speed All Types; Inflight Event / Encounter Loss Of Aircraft Control; Inflight Event / Encounter Weather / Turbulence,,,Person Flight Crew,In-flight,Flight Crew Regained Aircraft Control; Flight Crew Took Evasive Action,Weather,Weather,"On arrival into Houston; we encountered severe turbulence between 4000 - 5000 feet 10 miles northwest of CARCO; which is on the ILS 4 approach plate into Houston. We were at 250 knots and our speed was uncontrollable and went to 280 knots for a period of time. The Controller asked what our speed was and I responded that we were trying to get it back to 250 knots but the turbulence was making it difficult. The airplane also went past 30 degrees bank and we got the 'Bank Angle' call out. It was very rough and we gave a PIREP and wrote the airplane up when we were on the ground.A previous airplane told ATC that they encountered severe turbulence; on a previous frequency. I questioned ATC where that plane was and the Controller said he did not hear that. Other airplanes also chimed in about the severe turbulence report. Unfortunately; the Controller didn't hear and did not attempt to find out from the plane that he just switched over to another frequency to find out details. I did tell the Controller that it was the airplane who he just gave a frequency change to that reported it.",,"[Report narrative contained no additional information.]",,"B737 flight crew reported severe turbulence in the initial stages of the approach for landing.",
1607376,201901,1801-2400,ZZZ.Airport,US,,,0,,,IMC,Rain; 2,,Night,700,,Ground ZZZ,Air Carrier,B737-800,,2,Part 121,IFR,Passenger,,Taxi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,Captain; Pilot Flying,Flight Crew Air Transport Pilot (ATP); Flight Crew Multiengine; Flight Crew Instrument,Flight Crew Last 90 Days 481,,Situational Awareness; Communication Breakdown,Party1 Flight Crew; Party2 Flight Crew,,1607376,Aircraft X,Flight Deck,Air Carrier,First Officer; Pilot Not Flying,Flight Crew Instrument; Flight Crew Air Transport Pilot (ATP); Flight Crew Multiengine,Flight Crew Last 90 Days 512,,Situational Awareness; Communication Breakdown,Party1 Flight Crew; Party2 Flight Crew,,1607381,Ground Event / Encounter Vehicle,,,Person Ground Personnel,Taxi,Aircraft Aircraft Damaged,Procedure; Weather; Human Factors,Ambiguous,"We rolled out to the end of Runway XXC and exited. We arrived at night in moderate rain conditions. Taxi instructions [were] from Ground. ZZZ ramp is uncontrolled and no further contact with ATC is necessary to access our gate. As we made the left turn around the concourse that put us on the straightaway between [two gates]; I noticed a provisioning truck out of my periphery to the right. I did not perceive the truck as a threat as it appeared we had more than adequate clearance as the truck was on an access road. Additionally; the First Officer did not alert me to a proximity concern so I continued my taxi course and speed. We felt no impact or sound passing the provisioning truck. It was only after we were parked at the gate did I subsequently learn about our winglet grazing the back end of the provisioning truck. I also learned that the provisioning truck had departed the access road paved surface and was stuck in the grass. This was not evident to us as we approached the vehicle.As the PIC; I take full responsibility for the event that occurred. Night; rain; and the close proximity of the inbound taxi lane at ZZZ to the vehicle access road all were contributing factors along with the fact we had no warning of a disabled vehicle that could potentially cause an impedance to our taxi in. That being said; had I simply altered my taxi course; in which I had space to do so; queried the First Officer more proactively; or stopped the aircraft to positively ensure clearance; this ASAP would not have been written.   In addition to the above mentioned crew actions; it is incumbent on both pilots to speak up; as forcefully as necessary to prevent this type of event from occurring. Both of us are to assess the risks to the aircraft at all times. We can never just be along for the ride; become complacent; or assume the other guy always knows what he is doing. We have two pilots because it is required; and it also requires both pilots to be present and engaged.",,"[Report narrative contained no additional information.]",,"Air carrier flight crew reported after parking; ground crew notified the crew the aircraft winglet made contact with a truck on the access road.",
1607411,201901,1801-2400,ZZZ.Airport,US,,,,5000,,IMC,,,,,,Tower ZZZ,Air Carrier,B757 Undifferentiated or Other Model,,2,Part 121,IFR,Passenger,,Final Approach,,Class B ZZZ,,,,,,,,,,,,,,,,,,,,,,,,Hydraulic System,,X,Malfunctioning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,Captain; Pilot Flying,Flight Crew Instrument; Flight Crew Air Transport Pilot (ATP); Flight Crew Multiengine,Flight Crew Last 90 Days 207.95; Flight Crew Total 4454.65; Flight Crew Type 653.70,,Troubleshooting,,,1607411,Aircraft X,Flight Deck,Air Carrier,First Officer; Pilot Not Flying,Flight Crew Multiengine; Flight Crew Air Transport Pilot (ATP); Flight Crew Instrument,Flight Crew Last 90 Days 220; Flight Crew Total 3483; Flight Crew Type 897,,Troubleshooting,,,1607449,Aircraft Equipment Problem Less Severe,,,Person Flight Crew,In-flight,Flight Crew Landed in Emergency Condition; General Maintenance Action,Aircraft,Aircraft,"I was the Captain on Flight XXX to ZZZ. Flight was uneventful until final approach into ZZZ. During the ILS approach to [Runway] ZZC; as we lowered the landing gear; we heard what sounded like two small explosion/bangs in the back of the aircraft. The first EICAS message we noticed was a GEAR DISAGREE. The right main gear and the nose gear showed green down and locked while the left main gear did not. We coordinated with ZZZ Approach Control and went around from the approach. Shortly thereafter; the EICAS L HYD QTY light came on and we verified a loss of all left hydraulic quantity and then a L HYD Pressure EICAS appeared. I was flying the aircraft. There was a considerable amount of vibration so I elected to keep flying the aircraft while the First Officer started running the checklist for the unsafe gear indication to include an alternate gear extension followed by the hydraulic quantity and pressure indications. We quickly talked to the flight attendants and gave them the info in the TEST communication procedures. I told them to prep for evacuation as I did not know the status of the left main landing gear combined with the vibration and very loud explosive noise during the gear extension. A short message was sent to Dispatch and we requested Tower to notify the Company. ZZZ Tower asked if we wanted to flyby down the runway to see if either they or another aircraft on the ground could see if the left gear was extended or not. I gave an initial PA to the passengers and told them we were working on an issue and going to do an approach by the runway to allow the Tower and other aircraft to tell us what they see. We accomplished that and the aircraft on the ground said it appeared that the gear was extended. We did not change our configuration at all during the go-around or subsequent approaches. (Gear down and flaps 20). One of the checklists (Gear Disagree) said to land with flaps 30 and the other L HYD said flaps 20. We stayed at flaps 20. Landing distance was not an issue. After the second go-around we asked for a short approach as fuel was becoming a concern. We talked to the flight attendants again and told them we were going in for our approach and landing. I made one more PA to the passengers. The Tower had the fire trucks in place. The left main landing gear down and locked green light remained off throughout the landing. We landed on [Runway] XXC and stopped straight ahead on the runway. We kept the passengers in their seats. The landing and rollout was fairly smooth which made me think the tires blew well before landing. Two of the four main tires on the left truck were blown with the other two intact. The Fire Department contacted us directly on the radio. They remarked that there was significant amount of hydraulic fluid near the left gear. Once they cleared the airplane; Operations sent buses to the aircraft and the passengers disembarked. All passengers were fine with no injuries to passengers or crew.Initial inspection by Maintenance stated that a hydraulic actuator piston failed under pressure and may have sent metal into two of the tires as they were leaving the wheel well creating the two loud bangs.The entire crew attended the flight attendants debriefing in the inflight conference room at ZZZ. The flight attendants did an outstanding job throughout. Their professionalism was apparent throughout the event and greatly helped the passengers to remain calm and attentive.",,"[Report narrative contained no additional information.]",,"B757 flight crew reported a loud bang and an unsafe gear indication on approach.",
1607500,201901,1201-1800,BGR.Airport,ME,,,,2500,,IMC,,,Daylight,,,TRACON BGR,Air Carrier,Medium Transport,,2,Part 121,IFR,Passenger,Localizer/Glideslope/ILS Runway 33,Initial Approach,,Class C BGR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,First Officer; Pilot Not Flying,Flight Crew Multiengine; Flight Crew Instrument; Flight Crew Air Transport Pilot (ATP),,,Confusion; Workload,,,1607500,Aircraft X,Flight Deck,Air Carrier,First Officer; Pilot Flying,Flight Crew Instrument; Flight Crew Air Transport Pilot (ATP); Flight Crew Multiengine,,,Confusion; Workload,,,1607504,Inflight Event / Encounter CFTT / CFIT,,,Automation Aircraft Terrain Warning,In-flight,Flight Crew Took Evasive Action,Aircraft; Chart Or Publication; Procedure,Ambiguous,"I was the Pilot Monitoring on this leg. Upon the arrival into the terminal area; Bangor Approach was giving us radar vectors for the ILS 33 approach. We were eventually told turn to a heading of 360 and to maintain 2500 feet until establish [and] cleared for the ILS 33 approach. At the time; we were in between CUVOT and ELSUH still on the assigned heading when we received a 'terrain terrain; pull up' with a ground proximity caution message on the PFD. The captain proceeded with a go-around procedure. I contacted ATC and we were given a heading and altitude to fly. We then performed all necessary procedures to come back around and land safely. We asked ATC what the possible cause of the alert was and he then advised us that his minimum vectoring altitude was 2100 feet in the area (we were at 2500) and that he has seen it happen before to aircraft due to a hill between CUVOT and ELSUH. Escape maneuver followed by an uneventful landing and arrival to the gate. Request to join the localizer at a higher altitude in IMC conditions",,"[Report narrative contained no additional information.]",,"Air carrier flight crew was receiving vectors for an ILS approach when they received a GPWS Terrain warning and conducted a miss approach and landed without incident.",
1607537,201901,1801-2400,ZZZ.ARTCC,US,,,,,,,,,,,,Center ZZZ,Air Carrier,A321,,2,Part 121,IFR,Passenger,,Cruise,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,First Officer; Pilot Flying,Flight Crew Instrument; Flight Crew Air Transport Pilot (ATP); Flight Crew Multiengine,,,Troubleshooting,,,1607537,,,,,,,,,,,,Aircraft Equipment Problem Critical; Flight Deck / Cabin / Aircraft Event Smoke / Fire / Fumes / Odor,,,Person Flight Attendant,In-flight,Flight Crew Diverted; Flight Crew Landed in Emergency Condition,Aircraft,Aircraft,"Flight Attendants reported smoke coming through the forward galley floor behind carts. [Advised ATC] and diverted to ZZZ for maintenance. AML entry made.",,,,"A321 First Officer reported receiving notification from Flight Attendants that smoke was emanating from forward galley behind carts. Flight crew diverted to an alternate airport.",
1607543,201901,1801-2400,ZZZ.Airport,US,,,,4000,,IMC,,,,,,TRACON ZZZ,Air Carrier,B757-200,,2,Part 121,IFR,Cargo / Freight / Delivery,FMS Or FMC,Initial Approach,,,,,,,,,,,,,,,,,,,,,,,,,,Air Data Computer,,X,Failed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,Pilot Flying; Captain,Flight Crew Instrument; Flight Crew Multiengine; Flight Crew Air Transport Pilot (ATP),,,Troubleshooting; Workload,,,1607543,Aircraft X,Flight Deck,Air Carrier,Pilot Not Flying; First Officer,Flight Crew Multiengine; Flight Crew Instrument; Flight Crew Air Transport Pilot (ATP),,,Workload; Troubleshooting,,,1607550,Aircraft Equipment Problem Critical; Deviation / Discrepancy - Procedural Published Material / Policy,,,Person Flight Crew,In-flight,Flight Crew Landed in Emergency Condition,Aircraft,Aircraft,"With the Captain as Pilot Flying (PF) and on heading 090 at 4000 ft we were cleared to turn heading 030 and join the 36L LOC. In the turn to intercept the LOC the PF airspeed and altitude tapes began to increase rapidly. This caused the autopilot to disengage; the Auto Throttle to disengage; the L and R ENG EEC to indicate off; the TERRAIN SYS OVRD to FAIL and the L transponder to fail. In addition; there were comparator indications on the PFD and the overspeed warning sounded. The altitude and airspeed tapes did not freeze or slowly indicate a difference. It was rapid and continuous. The comparator indications were present but due to the complexity of the situation I do not recall each comparator that was displayed. Once all the above occurred while in the turn the PF did his best to quickly cross check and determine which flight instruments were providing good information and which were providing bad information. We were able to determine the right avionics and standby avionics information was good and the left air data information was bad. This was all occurring while hand flying and trying to maintain the LOC course and assigned altitude. Due to the loss of the left transponder ATC approach was not receiving an altitude input from us and asked to verify altitude. The Captain as PF when the failure occurred transferred controls to the First Officer once the airplane was stable and the determination was made that the First Officer (FO) avionics information was accurate. The First Officer became the PF and the Captain became the Pilot Monitoring (PM). The Captain assumed radio communication and advised ATC that we have an avionics malfunction. The PM then reported to ATC our current altitude and deviation from the LOC as we worked to center the LOC guidance. With the airplane stable at 4000 ft and on the 36L LOC the PM told ATC that we would like a vector away from the immediate airport area to reference our checklist and would like to stay within 20 miles of the airport. Due to the busyness of [the situation] the PM requested that ATC provide holding type vectors and that we could not accept a holding pattern. This was to prevent either pilot from being heads down setting up the FMS. Once on a heading out of the immediate approach traffic area and stable at 4000 ft the PM referenced the QRH. There were approximately 5 Amber CAS messages displayed associated with the failures. The L ENG EEC and R ENG EEC messages were referenced in the QRH. This guidance did not apply to the root of the problem based on the air data system failures and we discussed that we should focus on the Airspeed Unreliable checklist. We followed the Airspeed Unreliable non-normal QRH procedure. The PM completed the checklist and the PF monitored the airplane. Following the checklist guidance; we reengaged the autopilot to help with workload management. Once the checklist was complete and we were holding on the deferred items the PM (Captain) brought to the PF's attention that as an additional tool we could radio Dispatch and have them communicate with Maintenance to determine if there were any further actions we could take with their guidance. At the time we had approximately 13;000 lbs of gas and both agreed we had time to get additional guidance. The PF took over ATC communications and the PM communicated with Dispatch. We contacted Dispatch and relayed all our indications to them and they communicated with Maintenance. Maintenance's response was they felt the L ADC was bad and to use the R ADC information; just as the checklist guidance provided. After finishing communication with Dispatch the PM summarized our situation and asked if the PF had any input or questions prior to continuing. We both agreed we were on the 'same page' and setup and briefed the approach. We advised ATC we were ready for the approach and told them we would like to join the ILS 36L outside of ZZZZZ1 at 4;000 ft. ATC provided vectors and then switched us to final Approach Controller. On the approach frequency the controller changed our landing runway to 36C. The PM setup the XXC ILS and briefed the PF on the changes. We joined the LOC XXC approximately 10-15 miles outside of ZZZZZ at 4;000 ft. I told the Approach Controller we would be in a non-normal approach configuration and our airspeed would be higher than normal. I also told the controller not to put anyone in front of us to reduce the likeliness of a go-around. On the final approach course the Approach Controller asked us to slow twice and to descend. The first airspeed reduction was not an issue and we slowed. He asked us to descend to 3;000 ft and I told him we would like to stay at 4;000 ft and follow the GS guidance down on the approach. He approved this and then asked us to slow again. I told him 'you are not making this easy; we are [a priority] aircraft'. I told him this because we were [a priority] aircraft and our plans were to be stable and configured on the ILS no later than 10 miles out to reduce our possibilities of becoming unstable on the approach. We continued the ILS XXC Approach with the FO as PF and the Captain as PM. The approach and landing were normal. Per our plan and brief; the PF (FO) brought the airplane to a stop on the runway and then transferred the controls to the Captain to taxi. Once clear of Runway XXC we cancelled the emergency and taxied to the gate. Unreliable Airspeed due to ADC failure",,"[Report narrative contained no additional information.]",,"An air carrier flight crew reported experiencing an ADC #1 failure; failure of the Captain's Airspeed and altitude. The crew performed the QRH checklist and landed without incident.",
