 ,Time,Time,Place,Place,Place,Place,Place,Place,Place,Environment,Environment,Environment,Environment,Environment,Environment,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Component,Component,Component,Component,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Events,Events,Events,Events,Events,Events,Assessments,Assessments,Report 1,Report 1,Report 2,Report 2,Report 1,
ACN,Date,Local Time Of Day,Locale Reference,State Reference,Relative Position.Angle.Radial,Relative Position.Distance.Nautical Miles,Altitude.AGL.Single Value,Altitude.MSL.Single Value,Latitude / Longitude (UAS),Flight Conditions,Weather Elements / Visibility,Work Environment Factor,Light,Ceiling,RVR.Single Value,ATC / Advisory,Aircraft Operator,Make Model Name,Aircraft Zone,Crew Size,Operating Under FAR Part,Flight Plan,Mission,Nav In Use,Flight Phase,Route In Use,Airspace,Maintenance Status.Maintenance Deferred,Maintenance Status.Records Complete,Maintenance Status.Released For Service,Maintenance Status.Required / Correct Doc On Board,Maintenance Status.Maintenance Type,Maintenance Status.Maintenance Items Involved,Cabin Lighting,Number Of Seats.Number,Passengers On Board.Number,Crew Size Flight Attendant.Number Of Crew,Airspace Authorization Provider (UAS),Operating Under Waivers / Exemptions / Authorizations (UAS),Waivers / Exemptions / Authorizations (UAS),Airworthiness Certification (UAS),Weight Category (UAS),Configuration (UAS),Flight Operated As (UAS),Flight Operated with Visual Observer (UAS),Control Mode (UAS),Flying In / Near / Over (UAS),Passenger Capable (UAS),Type (UAS),Number of UAS Being Controlled (UAS),Aircraft Component,Manufacturer,Aircraft Reference,Problem,ATC / Advisory,Aircraft Operator,Make Model Name,Aircraft Zone,Crew Size,Operating Under FAR Part,Flight Plan,Mission,Nav In Use,Flight Phase,Route In Use,Airspace,Maintenance Status.Maintenance Deferred,Maintenance Status.Records Complete,Maintenance Status.Released For Service,Maintenance Status.Required / Correct Doc On Board,Maintenance Status.Maintenance Type,Maintenance Status.Maintenance Items Involved,Cabin Lighting,Number Of Seats.Number,Passengers On Board.Number,Crew Size Flight Attendant.Number Of Crew,Airspace Authorization Provider (UAS),Operating Under Waivers / Exemptions / Authorizations (UAS),Waivers / Exemptions / Authorizations (UAS),Airworthiness Certification (UAS),Weight Category (UAS),Configuration (UAS),Flight Operated As (UAS),Flight Operated with Visual Observer (UAS),Control Mode (UAS),Flying In / Near / Over (UAS),Passenger Capable (UAS),Type (UAS),Number of UAS Being Controlled (UAS),Location Of Person,Location In Aircraft,Reporter Organization,Function,Qualification,Experience,Cabin Activity,Human Factors,Communication Breakdown,UAS Communication Breakdown,ASRS Report Number.Accession Number,Location Of Person,Location In Aircraft,Reporter Organization,Function,Qualification,Experience,Cabin Activity,Human Factors,Communication Breakdown,UAS Communication Breakdown,ASRS Report Number.Accession Number,Anomaly,Miss Distance,Were Passengers Involved In Event,Detector,When Detected,Result,Contributing Factors / Situations,Primary Problem,Narrative,Callback,Narrative,Callback,Synopsis,

1508049,201801,1201-1800,ZZZ.Airport,US,,,,20000,,VMC,,,Daylight,,,Center ZZZ,Air Carrier,B737 Undifferentiated or Other Model,,2,Part 121,IFR,Passenger,,Climb,,Class A ZZZ,,,,,,,,,,,,,,,,,,,,,,,,Fuel Booster Pump,,X,Malfunctioning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,Captain; Pilot Not Flying,Flight Crew Air Transport Pilot (ATP),Flight Crew Type 2792,,Troubleshooting; Workload; Distraction; Human-Machine Interface,,,1508049,,,,,,,,,,,,Aircraft Equipment Problem Less Severe; Inflight Event / Encounter Fuel Issue,,,Automation Aircraft Other Automation; Person Flight Crew,In-flight,Air Traffic Control Provided Assistance; Flight Crew Overcame Equipment Problem; Flight Crew Requested ATC Assistance / Clarification,Aircraft; Human Factors,Aircraft,"Climbing out of approximately FL200; we observed the Master Caution Fuel Light Illuminate; and assumed our Center Tank was empty. I was the pilot monitoring; and I was surprised to see that we still had approximately 2300 lbs of Fuel in the Center Tank with an associated 'CONFIG' Fuel Message on our fuel totalizer. As looked up to our fuel panel switches; I saw both fuel pumps on with both low pressure amber lights on. I thought that maybe there was some sort of electrical glitch; so I selected both Center Fuel Pumps off; and then back to on; with no change in the initial condition. I then pulled out the QRH; and referenced 'CONFIG' Checklist. It stated that the checklist be completed in level flight; so I waited until we reached our cruising altitude of 37000 Ft. Once there; we completed the QRH with once again no change in the initial condition. Thinking that maybe we had a circuit breaker popped; I checked for circuit breakers so that [Maintenance Control] would be notified once we got to a repair station. After a thorough look I found nothing. We then we got a phone patch through AIRINC to contact dispatch and [Maintenance Control]; to see if they had any suggestions for us try. They had none. We then discussed if we would continue or divert to another airport; and after taking all options into consideration; we elected to continue to ZZZ. We did ask the ATC desk to see if they could give priority into ZZZ over other aircraft; which they did; and we landed in ZZZ five minutes ahead of schedule. Once I the gate; we still had approximately 1600 lbs of fuel in the Center Tank with the 'CONFIG' message on the fuel totalizer; and the Low Pressure Fuel Pumps Lights still illuminated any time the Center Fuel Pump Switches were selected to 'on'. We started with 2300 lbs in the Center Tank at the beginning of the event; and ended at gate with 1600 lbs in the Center Tank; so it seems that we did get approximately 700 lbs out of it; even white these Low Pressure Lights Illuminated; when the switches were selected 'on'.",,,,"B737 Captain reported a fuel pump malfunction during the climb.",
1508441,201801,1801-2400,ZZZ.Airport,US,,,,1800,,VMC,,,Daylight,,,TRACON ZZZ,Air Carrier,A319,,2,Part 121,IFR,Passenger,FMS Or FMC,Initial Approach; Final Approach,,Class B ZZZ,,,,,,,,,,,,,,,,,,,,,,,,Landing Gear,,X,Malfunctioning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,Pilot Flying; Captain,Flight Crew Air Transport Pilot (ATP),Flight Crew Type 377,,Troubleshooting,,,1508441,,,,,,,,,,,,Aircraft Equipment Problem Critical,,,Person Flight Crew,In-flight,Flight Crew Landed in Emergency Condition; Flight Crew Returned To Departure Airport; Flight Crew Overcame Equipment Problem,Aircraft,Aircraft,"This flight was a ferry flight to reposition the aircraft. The First Officer and I were the only people onboard. The aircraft had spent 3 days in Maintenance for a previous gear extension write up.Upon arrival; when we attempted to extend the landing gear down; the only indication we received was three red gear unlocked indications. We retracted the gear handle and the indications went back to lights out normal retraction. We attempted to extend the gear again and got same indication. No ECAM warning was present. I selected the wheel page to verify the gear was not down and locked. We performed a go-around and got vectors while we worked the issue.We ran the Landing Gear (L/G) not down locked QRH procedure; which lead us to the L/G gravity extension checklist. The checklist was successful. We received 3 green down-locked gear indications. We returned for an ILS. I requested that Crash Fire Rescue be standing by. I also notified ATC as a precaution; but advised ATC we did not require any special assistance. I also advised tower that once we landed; it was possible we would not be able to clear the runway since the QRH procedure disables normal nose wheel steering. The landing was normal and uneventful and I was able to clear runway. We cleared the runway and stopped the aircraft. We advised company and maintenance that we would need to have the aircraft towed to a gate due to lack of nose wheel steering. A company tow vehicle repositioned us to the gate.",,,,"A319 Captain reported malfunctioning landing gear; which required going through QRH procedures to get three green. Flight landed normally; but without nose gear steering.",
1508472,201801,,ZZZ.Airport,US,,,0,,,,,,,,,,Air Carrier,Commercial Fixed Wing,,2,Part 121,IFR,Passenger,,Taxi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Air Carrier,A320,,2,Part 121,IFR,Passenger,,Taxi,,,,,,,,,,,,,,,,,,,,,,,,,,Gate / Ramp / Line,,Air Carrier,Ramp,,,,Situational Awareness,,,1508472,,,,,,,,,,,,Deviation / Discrepancy - Procedural Published Material / Policy; Ground Event / Encounter Other / Unknown,,,Person Ground Personnel,Taxi,General None Reported / Taken,Human Factors; Procedure; Airport,Procedure,"During pushback from gate; I witness a horrible jet blast event.  Airbus A320 was pushing out of Gate XX; adjacent to [my gate]. Both gates require standard push; tail west onto taxiway Alpha. My order was to push tail west - Spot 2; which was directly behind [other aircraft]. My pushback crew and I were closing the door on the communication box when I (the pushback driver) and another fellow ramper experienced severe Jetblast from [other aircraft] as they were just starting their taxi. The real problem was; it was knocking the headset box over almost spilling wands/cords/bypass pins onto the tarmac right under the aircraft we just assisted and had engines running.",,,,"Ramp employee reported encountering jet blast from an aircraft that began to taxi from adjacent gate.",
1508587,201801,0001-0600,ZZZ.Airport,US,,,0,,,,,,Night,,,,Air Carrier,Commercial Fixed Wing,,,Part 121,,Passenger,,Parked,,,,,,,,,,,,,,,,,,,,,,,,,,Air Data Computer,,X,Improperly Operated; Design,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Repair Facility,,Air Carrier,Technician,Maintenance Powerplant; Maintenance Airframe,,,Situational Awareness; Communication Breakdown; Other / Unknown,Party1 Maintenance; Party2 Other,,1508587,,,,,,,,,,,,Deviation / Discrepancy - Procedural Published Material / Policy; Deviation / Discrepancy - Procedural Security,,,Person Maintenance,Routine Inspection,General Maintenance Action,Procedure; Equipment / Tooling,Equipment / Tooling,"It has come to my attention this morning that our RDS's (Remote Data Station) was possibly infected by a virus. This machine has been used the last 4 days here at ZZZ; and numerous aircraft may have been infected. We do not know of the possible ramifications of this virus. Apparently; an IT person was here [4 nights ago]; and put a hand typed sign on the unit; stating to not use it. He left the machine there; and the sign was not there today. This morning; an AMT came in; and asked where the sign was.I believe we're going to need a fleet wide campaign to verify if aircraft have been affected; and to stop uploading database updates until we can figure this out. I did not know who to contact; so I'm filing a report to bring it to Maintenance Control's attention.In the future; I believe in a case like this; the RDS's should be removed if there is a problem; and not just have a piece of paper taped to it. This machine is in front of a door; and the paper was probably blown.","There was no indication that it had a virus except that someone told him that Tech reported it. The reporter also stated that there are seven RDS in the system that have a virus. The reporter stated that the RDS had a sign on it but it blew off so technicians continued to use it to update aircraft data. The reporter stated that some aircraft accepted the data and other aircraft would reject it. The reporter stated he didn't know how the navigation system on these aircraft would be affected.",,,"Maintenance Technician reported that an RDS (Remote Data Station) was possibly infected by a virus.",
1508657,201801,0601-1200,FLL.Airport,FL,,,,39000,,VMC,,,Daylight,,,Center ZMA,Air Carrier,Large Transport; Low Wing; 2 Turbojet Eng,,2,Part 121,IFR,Passenger,,Cruise,,Class A ZMA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,Pilot Not Flying; Captain,Flight Crew Air Transport Pilot (ATP),Flight Crew Type 420,,Training / Qualification; Situational Awareness,,,1508657,Aircraft X,Flight Deck,Air Carrier,First Officer; Pilot Flying,Flight Crew Air Transport Pilot (ATP),,,Situational Awareness; Training / Qualification,,,1508662,Deviation - Altitude Excursion From Assigned Altitude; Deviation - Speed All Types; Deviation / Discrepancy - Procedural Published Material / Policy; Inflight Event / Encounter Weather / Turbulence; Inflight Event / Encounter Loss Of Aircraft Control,,,Person Flight Crew,In-flight,Flight Crew Regained Aircraft Control; Flight Crew Returned To Clearance,Human Factors; Weather; Procedure,Human Factors,"We were at FL390; on course; [and] there were rain showers and convective activity in the vicinity of FLL at departure time. We were established on course and nearing the end of the convective area. We were approaching a very broad area of clouds; quite 'flat' on top; and not the typical appearance of any convective cell with vertical development. We had asked for a slight deviation from course (approximately 10 degrees left); to 'top' the cloud layer at its lowest point.The HUD indicated that we would just 'skim' the top of this area; Radar was on and did not show any cell development using vertical-tilt mapping. I had the Flight Attendants remain in their seats since departure and updated them several times on suspected ride conditions; seat belt sign was on.We flew through the upper reaches of this broad cloud layer; and experienced immediate severe turbulence; including an MMO (Maximum Mach Operating Speed) exceedance (clacker); accompanied by gains and loss of altitude. Airspeed then started to deteriorate; and the First Officer manually pitched down to prevent a high altitude stall event. Eventually; we recovered; but had lost approximately 800 feet.",,"[Report narrative contained no additional information.]",,"Air carrier crew of a large turbojet reported entering the tops of clouds in an area of convective weather. Aircraft was briefly upset; lost airspeed and altitude; but was eventually recovered.",
1508804,201801,0601-1200,ORF.Airport,VA,,,0,,,VMC,,,Daylight,,,Tower ORF,Air Carrier,Regional Jet 900 (CRJ900),,2,Part 121,IFR,Passenger,,Taxi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,Captain; Pilot Not Flying,Flight Crew Air Transport Pilot (ATP),,,Situational Awareness; Confusion,,,1508804,,,,,,,,,,,,Deviation / Discrepancy - Procedural Published Material / Policy; Ground Incursion Runway,,,Person Flight Crew,Taxi,Flight Crew Requested ATC Assistance / Clarification,Airport; Chart Or Publication,Chart Or Publication,"Taxi to Runway 05. While taxiing to the far end of Runway 05 I rolled past the hold short line by approximately 30 feet. I recognized the error stopped the aircraft and asked the FO to notify Tower of our position. Tower acknowledged by stating 'no problem you're next to go.' There was no landing or departing traffic through this event; up to and including our departure.Leading to this event was the Jeppesen chart which appeared to indicate a holding bay where we were located. We had parked on the far north side of this area so that traffic potentially behind us could pass us while we waited for our wheels up time. In addition there was no runway intersection signage installed adjacent to the runway; nor was there a painted Runway 05 intersection runway marking where we exited the taxiway (though there was to my far right which I did not see). Also; Runway 05; at this end; has a displaced threshold with markings that did not appear to be a runway from our location on the ground. Finally; the south end of Taxiway J appeared to be the actual runway based on the visual cues outside the window; including the widened part of Taxiway J at that location; and the Jeppesen chart depiction of what looked like a hold bay where we were proceeding.This is an excellent example of where a Hot Spot should be depicted to warn crews of misleading visual cues of where Runway 05 is actually located.",,,,"CRJ-900 Captain reported a runway incursion at ORF due to a lack of runway markings and signage.",
1508965,201801,1201-1800,EUG.Airport,OR,,,1000,,,,,,Daylight,,,Tower EUG,Air Carrier,Medium Transport; Low Wing; 2 Turbojet Eng,,2,Part 121,IFR,Passenger,GPS; FMS Or FMC,Initial Approach,Visual Approach,Class D EUG,,,,,,,,,,,,,,,,,,,,,,,,Aero Charts,,X,Design,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,Captain; Pilot Flying,Flight Crew Air Transport Pilot (ATP),,,Communication Breakdown,Party1 Flight Crew; Party2 ATC,,1508965,Aircraft X,Flight Deck,Air Carrier,Pilot Not Flying; First Officer,,,,Workload; Communication Breakdown,Party1 Flight Crew; Party2 ATC,,1509220,ATC Issue All Types; Inflight Event / Encounter Other / Unknown,,,Person Flight Crew,In-flight,Flight Crew Became Reoriented,Chart Or Publication,Chart Or Publication,"On descent into EUG; abeam the field; downwind at 6000 ft we were cleared for the visual approach 34L. We had loaded the RNAV Y 34L. I instructed the FO to 'clean up the approach' and activate vectors to ZIMKE (FAF). I turned off the autopilot and autothrottles and I slowed and configured on schedule. When we were turning base to final; Cascade Approach told us to contact Tower. I called flaps five; set Vapp; landing check as we rolled out on a 4 nm final. The FO called the Tower on the frequency listed on the RNAV Y 34L Approach (124.15). Tower did not answer us. I called for the landing check again and we completed it and stated not cleared to land yet. FO immediately called Tower again; no response; FO said 'is that the right frequency?' Then answered himself while looking at the approach chart and said 'yeah 124.15' I looked at my iPad and verified 124.15 but I didn't say anything. We are now right about 1000 ft still no answer from Tower. I tell the FO to try Comm 2. No answer. Now at about 500 ft I say put in ground frequency. Right at this moment we get a solid green light from Tower. The light gun was unmistakable; the visibility was good and we could clearly see that it was a steady green from the Tower. I said 'we're cleared to land by the green light gun signal' and we continued to land. On roll out the FO got ground frequency in COMM 2 and FO calls Ground as we roll out and they responded that they were transmitting in the blind. We responded that we were also transmitting in the blind and that we were now on Comm 2. We suspected the issue to be a Comm issue. Once at the gate and on the debrief items we inspected the issue further and discovered that the frequency on the approach chart is not correct. EUG RNAV Y 34L (effective 07 Dec 17) page 7-90 Tower 124.15 (incorrect). It should read Tower 118.9 for 34L.",,"[Report narrative contained no additional information.]",,"Air carrier flight crew reported confusion determining the correct EUG Tower frequency from the RNAV Y Runway 34L approach chart.",
1508975,201801,0001-0600,ZZZ.Airport,US,,,0,,,,,,,,,,Air Carrier,A319,,2,Part 121,IFR,Passenger,,Parked,,Class B ZZZ,,N,N,,,,,,,,,,,,,,,,,,,,,Flap Fairing,,X,Improperly Operated; Malfunctioning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,Pilot Flying; First Officer,,,,Communication Breakdown,Party1 Flight Crew; Party2 Maintenance,,1508975,,,,,,,,,,,,Aircraft Equipment Problem Less Severe; Deviation / Discrepancy - Procedural MEL / CDL; Deviation / Discrepancy - Procedural Maintenance; Deviation / Discrepancy - Procedural Published Material / Policy,,,Person Flight Crew,Pre-flight,General Maintenance Action; General Release Refused / Aircraft Not Accepted,Aircraft; Human Factors; Procedure,Procedure,"We initiated a call to Maintenance to inspect a bird strike and a damaged movable flap track fairing seal. A contract mechanic showed to the aircraft and took the logbook. When he returned minutes later; both entries were signed off. However; he incorrectly applied the incorrect Configuration Deviation List (CDL). These 2 CDLs are not even close to the same thing. It was quite obvious no one actually read the CDL they were applying. After pointing this out; the contract mechanic called Maintenance control and hastily wrote over his sign off changing the CDL. This logbook pencil whipping was just the start.When he tried to leave; I stopped him and asked him if he actually read the CDL. My concern was the CDL required a Follow up and the completion of an Aircraft Maintenance Manual (AMM) task. This mechanic had not been at the aircraft long enough to accomplish these things. His reply to me was 'it's good.' We were not comfortable and he called Maintenance control again. He handed me the phone because he barely spoke English and was clearly confused. My conversation with the Maintenance controller was frustrating to say the least. I had to insist he actually pull up the CDL and read it with me; something he clearly had not done when giving the original sign off. It was at this point he finally sent the contract mechanic the AMM task to be accomplished. I want to point out that the AMM task was no small procedure. It included cutting any loose seal; applying speed tape; and dropping the flaps for inspection. After the contract mechanic finished; I went outside to inspect his work. As a necessary part of the AMM task; he trimmed off the majority of the seal. The problem; however; was the CDL requires at least 50% of the seal be present. We no longer met the conditions of the CDL. Once again; if anyone besides us; the flight crew; had cared to read the text of the CDL; this would have been caught. When we pointed this out to the mechanic; I kid you not; he replied; 'it's good.'Once again; we called Maintenance control. After some debate; their solution was to apply a second CDL. Their solution involved intentionally damaging the FIXED fairing seal; applying that CDL in addition to the first CDL 27 and using only the provisions from second CDL. The Second CDL states; all the seal can be missing. However; this is for the FIXED seal; and not the movable seal. For some reason; Maintenance control got it in their head that this was legal because these two CDLs are similar and reference each other in the remarks section of the CDL. Since when has it ever been acceptable to ignore the provisions of one CDL because a second CDL has been applied? One does not take precedence over the other. These are two different CDLs; one for a fixed seal; and one for a movable seal. We; of course; refused the airplane. The conditions of the initial CDL were not met. Yet; we were pressured by Maintenance control to take the airplane. We were told to call the chief pilot. Chief Pilot answered the phone. I cannot speak to the conversation the captain had; but I felt like we did not have his support. It felt like all departments were pressuring us to fly the airplane. This went on for a couple hours. We were constantly told we were wrong and needed to fly the airplane. At one point; we could hear the manager of maintenance control yelling angrily in the background of the call. Someone finally called the Chief Mechanic and woke him up. He agreed with us; and the airplane was finally grounded. We made a subsequent logbook entry stating the CDL conditions were not met.As egregious as these logbook pencil-whippings and ignorance for Maintenance procedures were; this is not the only incident I have encountered at the company in recent months where this has occurred. This is becoming a major problem where Deferrals are being done incorrectly; wrong MELs are being applied; aircraft signoffs are done incorrectly; contract mechanics have no idea what they are doing. AMM tasks are not being accomplished when an MEL/CDL is applied; there are communication issues with Maintenance control; and maintenance is being rushed to get the airplanes out.",,,,"A319 First Officer reported that the aircraft was refused due to the misapplication of a CDL Procedure.",
