 ,Time,Time,Place,Place,Place,Place,Place,Place,Place,Environment,Environment,Environment,Environment,Environment,Environment,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Component,Component,Component,Component,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Events,Events,Events,Events,Events,Events,Assessments,Assessments,Report 1,Report 1,Report 2,Report 2,Report 1,
ACN,Date,Local Time Of Day,Locale Reference,State Reference,Relative Position.Angle.Radial,Relative Position.Distance.Nautical Miles,Altitude.AGL.Single Value,Altitude.MSL.Single Value,Latitude / Longitude (UAS),Flight Conditions,Weather Elements / Visibility,Work Environment Factor,Light,Ceiling,RVR.Single Value,ATC / Advisory,Aircraft Operator,Make Model Name,Aircraft Zone,Crew Size,Operating Under FAR Part,Flight Plan,Mission,Nav In Use,Flight Phase,Route In Use,Airspace,Maintenance Status.Maintenance Deferred,Maintenance Status.Records Complete,Maintenance Status.Released For Service,Maintenance Status.Required / Correct Doc On Board,Maintenance Status.Maintenance Type,Maintenance Status.Maintenance Items Involved,Cabin Lighting,Number Of Seats.Number,Passengers On Board.Number,Crew Size Flight Attendant.Number Of Crew,Airspace Authorization Provider (UAS),Operating Under Waivers / Exemptions / Authorizations (UAS),Waivers / Exemptions / Authorizations (UAS),Airworthiness Certification (UAS),Weight Category (UAS),Configuration (UAS),Flight Operated As (UAS),Flight Operated with Visual Observer (UAS),Control Mode (UAS),Flying In / Near / Over (UAS),Passenger Capable (UAS),Type (UAS),Number of UAS Being Controlled (UAS),Aircraft Component,Manufacturer,Aircraft Reference,Problem,ATC / Advisory,Aircraft Operator,Make Model Name,Aircraft Zone,Crew Size,Operating Under FAR Part,Flight Plan,Mission,Nav In Use,Flight Phase,Route In Use,Airspace,Maintenance Status.Maintenance Deferred,Maintenance Status.Records Complete,Maintenance Status.Released For Service,Maintenance Status.Required / Correct Doc On Board,Maintenance Status.Maintenance Type,Maintenance Status.Maintenance Items Involved,Cabin Lighting,Number Of Seats.Number,Passengers On Board.Number,Crew Size Flight Attendant.Number Of Crew,Airspace Authorization Provider (UAS),Operating Under Waivers / Exemptions / Authorizations (UAS),Waivers / Exemptions / Authorizations (UAS),Airworthiness Certification (UAS),Weight Category (UAS),Configuration (UAS),Flight Operated As (UAS),Flight Operated with Visual Observer (UAS),Control Mode (UAS),Flying In / Near / Over (UAS),Passenger Capable (UAS),Type (UAS),Number of UAS Being Controlled (UAS),Location Of Person,Location In Aircraft,Reporter Organization,Function,Qualification,Experience,Cabin Activity,Human Factors,Communication Breakdown,UAS Communication Breakdown,ASRS Report Number.Accession Number,Location Of Person,Location In Aircraft,Reporter Organization,Function,Qualification,Experience,Cabin Activity,Human Factors,Communication Breakdown,UAS Communication Breakdown,ASRS Report Number.Accession Number,Anomaly,Miss Distance,Were Passengers Involved In Event,Detector,When Detected,Result,Contributing Factors / Situations,Primary Problem,Narrative,Callback,Narrative,Callback,Synopsis,

1321507,201601,,ZHU.ARTCC,US,,,,20000,,VMC,,,,,,Center ZHU,Air Carrier,A319,,2,Part 121,IFR,Passenger,,Descent,STAR ZEEKK1,Class A ZHU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,Pilot Flying; Captain,Flight Crew Air Transport Pilot (ATP),Flight Crew Last 90 Days 181; Flight Crew Type 7576,,Workload; Distraction,,,1321507,,,,,,,,,,,,ATC Issue All Types; Deviation - Altitude Crossing Restriction Not Met; Deviation / Discrepancy - Procedural Published Material / Policy; Deviation / Discrepancy - Procedural Clearance,,,Person Flight Crew,In-flight,Air Traffic Control Issued New Clearance,Human Factors; Procedure,Procedure,"During our arrival to IAH; we had the DOOBI 2 RNAV arrival set for runway 27 landing. As we contacted Houston center they re-cleared us to descend via the ZEEKK1; proceed direct to ZEEKK and descend via the ZEEKK1 arrival. The pace of the clearance was quick but understood. This does take a few minutes to reprogram the arrival and change the runway since it is runway specific and then re-verify within the FMGC for correctness. Luckily by the time that was accomplished this; we weren't late in beginning our descent. Then as we were descending ATC directed us to reduce our speed to 250; we were still at 280 as the procedure directs (again noted but nonstandard) and this put us in a position where we would not be able to comply with the descend via. ATC cannot expect to change the parameters of these arrivals and expect that the crossing and speeds down line can be maintained. We advised ATC of our inability to comply and they then gave us a heading to descend on at 280 knots but forgot to give us an altitude to descend to; since we were no longer on the arrival. We asked them for an altitude which we then set. Shortly after we were re-cleared to ZEEKK and given the descend via. We then switched over to approach control and were given 27L which again required us to reprogram the FMGC for the different transition and again verify altitudes and such to make sure we complied with the new information. These arrivals in IAH are non-standard and very labor intensive. The notes on the arrivals are not easily found and directions to program a runway which you are not planning on using make it impossible to fully brief and program the approach until you are low in a high workload environment already. This is another example of how the descend VIA and climb VIA procedures are poorly implemented and leaving our flight crews at risk for deviations. As an additional note we were not going to be able to comply with the level off at HOOTI and the speed reduction without using speed brakes; which on an A320 may require us to disengage the autopilot also increasing workload on our flight crews. These arrivals in IAH are not well designed and require too much reprogramming and have too many pitfalls all which make them a high probability of having flight crews make a mistake and maybe lose separation with other aircraft.",,,,"A319 Captain reported receiving multiple runway and arrival changes on approach to IAH; resulting in increased workload and distractions.",
1321631,201601,0601-1200,ORD.Airport,IL,,,0,,,,,,,,,Ground ORD,Air Carrier,Light Transport; Low Wing; 2 Turbojet Eng,,2,Part 121,IFR,Passenger,,Taxi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,First Officer; Pilot Not Flying,Flight Crew Air Transport Pilot (ATP),,,,,,1321631,Aircraft X,Flight Deck,Air Carrier,Captain; Pilot Flying,Flight Crew Air Transport Pilot (ATP),Flight Crew Total 4800,,Situational Awareness,,,1321733,Conflict Ground Conflict; Critical; Ground Event / Encounter Vehicle,,,Person Flight Crew,Taxi,Aircraft Aircraft Damaged; Flight Crew Took Evasive Action,Human Factors; Airport,Human Factors,"After landing; during taxi in; a truck struck our aircraft on the left wing. We had just turned left onto taxiway A after crossing 4L. The captain attempted to swerve away from the truck and brake.The truck was traveling at a high rate of speed. There was no avoiding the truck as we could not swerve too far due to gates on our right. Braking was also unsuccessful in avoiding the truck. In the future; vehicles operating in the vicinity of airplanes should be aware of their surroundings.",,"After clearing 4L and taxing on to taxiway A city white truck came from intersection A1 Or A2 at a high speed. Coming at an angle he appeared to want to make a turn and was merging to the right on collision course with aircraft. Driver was looking straight ahead and not looking to the right. Appeared to be on phone or radio. Set brakes and tried to move aircraft to right to avoid collision. Truck driver at a fast speed and not realizing he was merging onto an active taxiway with an aircraft en route. Not paying attention possibly on phone or radio. Truck driver to pay closer attention to his whereabouts.",,"Regional jet flight crew experienced a collision with an airport truck during their taxi to the gate after landing.",
1321692,201601,0601-1200,DEN.Airport,CO,,,0,,,,,,Daylight,,,Ground DEN,Air Carrier,Large Transport; Low Wing; 2 Turbojet Eng,,2,Part 121,IFR,Passenger,,Taxi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,First Officer; Pilot Flying,Flight Crew Air Transport Pilot (ATP),Flight Crew Last 90 Days 160; Flight Crew Type 565,,Time Pressure; Distraction,,,1321692,Aircraft X,Flight Deck,Air Carrier,Pilot Not Flying; Captain,Flight Crew Air Transport Pilot (ATP),Flight Crew Last 90 Days 112; Flight Crew Total 5533; Flight Crew Type 4115,,Time Pressure; Distraction,,,1321711,ATC Issue All Types; Inflight Event / Encounter Fuel Issue,,,Person Flight Crew,In-flight,,Procedure,Procedure,"After a normal pushback and taxi out; we were told to taxi on F and hold short of WA taxiway in Denver; planning for Runway 25. After coming to a stop; we noticed a lineup on taxiway Golf and it was clear that one of the departure corridors was shut down. After hearing a query from another aircraft soon after coming to a stop on taxiway F; ATC replied that all westbound departures were shut down due to traffic into and out of Eagle/Vail and Aspen airports. The dispatcher was notified of the shutdown; and the ATC coordinator started working to get us released per ACARS communication. At XA18Z; we were asked by ATC if we had Coded Departure Routes onboard; which we did not; and he proceeded to give us a full route clearance with the north departure YAMMI.LAR OCS J94 FMG PYE BEBOP as filed after. Being familiar with the fixes; I noticed our route paralleled our old one slightly to the north. The route was verified in the FMC; followed by a message to the dispatcher with the change of route at XA19Z. Furthermore; the original [Minimum] fuel was over 900 pounds less than actual onboard fuel when we were about to depart runway 25; and the fuel remaining at landing was comparable to the Atlantic crossings and acceptable to the Captain. Normal taxi out to the runway occurred and we departed at XA23Z. At XA44Z; well north of Denver and past LAR VOR; we received a message from dispatch saying Sabre is unable to reconcile the new flight plan due to fuel requirements for the Critical Point. At that time; we started working on other options. Because we were north of our route; a different track option for decrease of critical point fuel was not feasible. Also; an immediate turn to the southwest to try to rejoin our original route left us with less than required critical point fuel. By about Reno; we considered landing in San Francisco for fuel but we were presented an option to continue with a second critical point from dispatch and a required fuel at the new Critical Point 1 that was attainable with the updated winds aloft. The option to continue was selected to be the best course of action because if we would have diverted to San Francisco; we would have been 25;000 pounds overweight and further difficulties would have transpired. Watching the fuel intently between coast out and the critical point; we were showing required fuel onboard at or above all the way there and achieved that. A normal flight progressed after that.",,"We were approximately 500 lbs short of fuel at the ETOPS CP (Critical Point). We honestly believed the reroute was one that dispatch prompted and that the other fuel info made sense. We spent the next 2 hours adjusting altitude speed and dispatch requirements to make our fuel legal over CP; which we accomplished 27.0 lbs at CP 1.I feel I have a good understanding of ETOPS operations. We were very aware of ETOPS add. When we got the reroute we saw numbers that were less than desirable but met the minimums and made sense. We did not knowingly leave DEN with less than required fuel.I feel I was remiss in not waiting for a dispatcher concurrence but in reality waiting 25 minutes departure would probably not have happened with regards to min fuel.I am fairly surprised that a north parallel route affected so this adversely. I should have added 3000 lbs of fuel. I will NOT make that mistake again.[Minimum] fuel too little too tight on these flights. One hiccup and we are in a problem.I feel I did not have the information to avoid this mistake. The responsibility is clearly mine and the buck stops here. I do acknowledge my failing to catch the error. I contend that I was shorted the tools to have accomplished just that.",,"Air carrier flight dispatched for an ETOPS routing receives a reroute prior to takeoff that burns into their ETOPS divert fuel. Flight is continued due to confusion between flight crew and Dispatcher. Flight crew are able to adjust speed and altitude in flight to make their minimum fuel at their ETOPS critical point legal and continue to their intended destination.",
1321695,201601,0601-1200,IAH.Airport,TX,,,0,,,VMC,,,Daylight,,,,Air Carrier,A320,,2,Part 121,IFR,Passenger,,Taxi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,Captain; Pilot Flying,Flight Crew Air Transport Pilot (ATP),Flight Crew Last 90 Days 174; Flight Crew Total 8962; Flight Crew Type 4993,,Training / Qualification; Situational Awareness,,,1321695,,,,,,,,,,,,Conflict Ground Conflict; Critical; Deviation / Discrepancy - Procedural Published Material / Policy,,,Person Flight Crew,Taxi,Flight Crew Took Evasive Action,Equipment / Tooling; Human Factors,Equipment / Tooling,"Pulling into gate in IAH a truck drove directly thru the safety zone and the 'Safe Park' system did not tell us to stop due to an obstruction. Recommendation for improvement- ensure the scanning of the safety zone is accurate and provides instantaneous feedback to the crew via the signage. Useful improvement (do not have to wait on marshallers); but system must be out of beta and ready for prime-time. This example illustrates why it is not yet. Had we followed the signage and continued our approach to the gate; it is possible we would have hit the vehicle. My attention must be singularly focused on the lights guiding me to gate; which means the FO must back up the Safe Park scanning of safety zone.",,,,"A320 Captain reported a truck drove into the safe zone while he was parking at a gate in IAH and the 'Safe Park' system failed to warn him.",
1322108,201601,1801-2400,ORD.Airport,IL,,,0,,,,Icing,,,,,,Air Carrier,Commercial Fixed Wing,,2,Part 121,IFR,Passenger,,Parked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,Captain; Pilot Flying,Flight Crew Air Transport Pilot (ATP),,,Training / Qualification,,,1322108,,,,,,,,,,,,Deviation / Discrepancy - Procedural Published Material / Policy,,,Person Flight Crew,Pre-flight,General None Reported / Taken,Company Policy; Staffing,Company Policy,"The Deicing crews are not properly trained and do not follow SOP at ORD. Last night we were decided with type 1. I had to prompt the de-ice crew for the type 1 fluid dilution. After that debacle he gave us the holdover times and then proceeded to de-ice the nose of the Aircraft (AC). I made several attempts to call the de-icing crew back to rectify the situation but when they finished with de-icing the nose of the AC they drove away. I finally got ahold of the supervisor and got a new de-ice crew back to the AC and properly de-ice the AC and follow SOP. This is systemic problem at ORD. I've been here [many] years and it's never been this bad. I've heard from several crews that de-ice crews are not following SOP and they are briefing crews that AC are clean when in fact they are still contaminated with ice. This is the second incident I've had this year dealing with improperly trained de-ice crews. I did a pipeline the first time but to no avail. It's still a problem that needs to be addressed before there's an incident or worse accident. Since this is a recurring problem the FAA needs to step in and make sure that AC are being properly de-iced and SOP are being followed.",,,,"Captain reports that ground crews at ORD are not properly trained in aircraft deicing procedures.",
1322120,201601,1801-2400,ZZZ.Airport,US,,,,,,IMC,,,Night,,,,Air Carrier,Regional Jet 700 ER/LR (CRJ700),,2,Part 121,IFR,Passenger,,Climb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,First Officer; Pilot Not Flying,Flight Crew Air Transport Pilot (ATP),,,Communication Breakdown; Confusion,Party1 Flight Crew; Party2 Flight Crew,,1322120,,,,,,,,,,,,Deviation - Speed All Types; Deviation - Track / Heading All Types; Deviation / Discrepancy - Procedural Clearance; Deviation / Discrepancy - Procedural FAR; Deviation / Discrepancy - Procedural Published Material / Policy,,,Person Flight Crew,In-flight,General None Reported / Taken,Human Factors,Human Factors,"This is day two of a two-day trip I was assigned to fly with this Captain. On my initial flight with him I had noticed he had his own unique style of doing things in the cockpit. He called it the laid back approach; I called it too laid back as he wasn't doing anything as laid out in our training. I pointed this out to him; and reminded him these checklists and procedures are for our safety and the passengers. I told him we need to perform our briefings prior to each flight and also prior to each arrival. This was something he didn't take kindly to; further creating tension between the crew. I took it upon myself to perform a briefing and verifying fixes whether it was my leg or not as he was doing none of it. After taking off we were assigned a heading of 020; I noticed he started his turn 100 feet off the ground - something that made me uncomfortable as this wasn't what we were trained to do under these circumstances. There was a cloud layer over the area since the TAT was -2 degrees and our speed was about 200 knots indicated. I proceeded to turn on the wings and cowl anti-icing as laid out in the OPs Manual. He promptly turned off the wings and insisted this was affecting our performance. I explained to him I turned this on due to the temperature outside there was bound to be icing. His explanation was he will wait for the ice indication before turning it on. I didn't think much as we were out of the clouds by this time; he then proceeded to deliver a lecture about how he refuses to be lectured by a junior First Officer (FO) as he has been flying this aircraft for more than 15 years and refuses to make everyone miserable by demanding the checklist and procedures as demanded by the company. I again reminded these procedures and checklists were put in place so we could trap any threats and errors on our part. I noticed our IAS was exceeding 280 knots something I had pointed out to him prior to our departure; the SID required us to not exceed 280 knots above 10;000 until advised. When I pointed this out his response was ATC is looking at our ground speed; He kept the speed at 300 knots. The good thing was ATC came on shortly and asked us to delete the speed restriction. Further into the flight we were cleared to proceed direct to destination airport instead of our filed route. Being the PM I repeated this instruction to him; he didn't react so I figured he might not have heard me; so I repeated it again. He still ignored me; I ended up repeating it four times with no reaction from him. Eventually ATC came on the radio and asked us to confirm if we were direct as instructed; that was when he made changes to the FMS. I believe if this captain was more embracing of the checklists and procedures set in place by the company and the FAA none of this will have occurred. Yes he has a lot of experience in the aircraft but that doesn't mean you throw out required procedure. Several times during the entire two-day trip a few times I could count when errors were missed because of the non performance of procedures. Being a Junior FO on this aircraft I have come across different captains and their styles in the cockpit. But due to an early incident during my time here; I have made a personal decision to fly and perform checklist and briefings as required of us. Something I believe in and wish all will believe in too; no matter how good you are as a pilot it's the little things that could get you; this is why we have checklists and procedures.",,,,"Junior First Officer reports a lack of compliance with company procedures and ATC clearances by the Captain.",
1322139,201601,1801-2400,ZZZ.TRACON,US,,,,,,VMC,,,Night,,,,Air Carrier,Dash 8 Series Undifferentiated or Other Model,,2,Part 121,IFR,Passenger,,Climb,,Class E ZZZ,,,,,,,,,,,,,,,,,,,,,,,,Attitude Indicator(Gyro/Horizon/ADI),,X,Failed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Flight Deck,Air Carrier,Pilot Flying; Captain,Flight Crew Air Transport Pilot (ATP),,,Human-Machine Interface,,,1322139,,,,,,,,,,,,Aircraft Equipment Problem Critical,,,Person Flight Crew,In-flight,Flight Crew Returned To Departure Airport; Flight Crew Landed As Precaution,Aircraft; Equipment / Tooling,Equipment / Tooling,"On the climb out we first had an Attitude Direction Indicator (ADI) roll mismatch; followed by Horizontal Situation Indicator (HSI) roll mismatch. We then lost both of our yaw dampers and flight directors and also had an AHRS data invalid message. At this point we decided to return to the airport.",,,,"Aircraft experienced multiple failures preventing IMC flight. After takeoff returned to field.",
1322154,201601,1201-1800,SCT.TRACON,CA,,,,,,,,,,,,,Air Carrier,Commercial Fixed Wing,,2,Part 121,IFR,Passenger,GPS,Initial Approach,Visual Approach; STAR SBONO 1,Class E SCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,Pilot Flying; Captain,Flight Crew Air Transport Pilot (ATP),,,Situational Awareness,,,1322154,Aircraft X,Flight Deck,Air Carrier,Pilot Not Flying; First Officer,,,,Situational Awareness,,,1322563,Conflict NMAC,,,Automation Aircraft RA; Person Air Traffic Control,In-flight,Flight Crew FLC complied w / Automation / Advisory; Flight Crew Took Evasive Action,Human Factors; Airspace Structure,Human Factors,"Descending into PSP on the SBONO 1 Arrival with the RNAV Vis to 31L we got an Resolution Advisory (RA) just out of CEKMA. We followed the commands to climb which the VSI showed about 1;500 FPM. In the climb we got another command to monitor the VSI which shortly later said conflict over. At this time First Officer (FO) noticed the traffic on our scope at about 8'clock and 400 feet below. We told approach which sounded overloaded and I continued on path with no further conflict. After landing we advised tower.We never saw the traffic.I believe approach was late on their call to us; don't know the reason.",,"I'm thinking that the RNAV visual to 31L probably shouldn't have a waypoint so close to an uncontrolled airport.",,"Flight crew reported an NMAC while on a visual approach after they received a traffic call from ATC as well as an Resolution Advisory; related to an aircraft that took off from Bermuda Dunes.",
