 ,Time,Time,Place,Place,Place,Place,Place,Place,Place,Environment,Environment,Environment,Environment,Environment,Environment,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Component,Component,Component,Component,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Events,Events,Events,Events,Events,Events,Assessments,Assessments,Report 1,Report 1,Report 2,Report 2,Report 1,
ACN,Date,Local Time Of Day,Locale Reference,State Reference,Relative Position.Angle.Radial,Relative Position.Distance.Nautical Miles,Altitude.AGL.Single Value,Altitude.MSL.Single Value,Latitude / Longitude (UAS),Flight Conditions,Weather Elements / Visibility,Work Environment Factor,Light,Ceiling,RVR.Single Value,ATC / Advisory,Aircraft Operator,Make Model Name,Aircraft Zone,Crew Size,Operating Under FAR Part,Flight Plan,Mission,Nav In Use,Flight Phase,Route In Use,Airspace,Maintenance Status.Maintenance Deferred,Maintenance Status.Records Complete,Maintenance Status.Released For Service,Maintenance Status.Required / Correct Doc On Board,Maintenance Status.Maintenance Type,Maintenance Status.Maintenance Items Involved,Cabin Lighting,Number Of Seats.Number,Passengers On Board.Number,Crew Size Flight Attendant.Number Of Crew,Airspace Authorization Provider (UAS),Operating Under Waivers / Exemptions / Authorizations (UAS),Waivers / Exemptions / Authorizations (UAS),Airworthiness Certification (UAS),Weight Category (UAS),Configuration (UAS),Flight Operated As (UAS),Flight Operated with Visual Observer (UAS),Control Mode (UAS),Flying In / Near / Over (UAS),Passenger Capable (UAS),Type (UAS),Number of UAS Being Controlled (UAS),Aircraft Component,Manufacturer,Aircraft Reference,Problem,ATC / Advisory,Aircraft Operator,Make Model Name,Aircraft Zone,Crew Size,Operating Under FAR Part,Flight Plan,Mission,Nav In Use,Flight Phase,Route In Use,Airspace,Maintenance Status.Maintenance Deferred,Maintenance Status.Records Complete,Maintenance Status.Released For Service,Maintenance Status.Required / Correct Doc On Board,Maintenance Status.Maintenance Type,Maintenance Status.Maintenance Items Involved,Cabin Lighting,Number Of Seats.Number,Passengers On Board.Number,Crew Size Flight Attendant.Number Of Crew,Airspace Authorization Provider (UAS),Operating Under Waivers / Exemptions / Authorizations (UAS),Waivers / Exemptions / Authorizations (UAS),Airworthiness Certification (UAS),Weight Category (UAS),Configuration (UAS),Flight Operated As (UAS),Flight Operated with Visual Observer (UAS),Control Mode (UAS),Flying In / Near / Over (UAS),Passenger Capable (UAS),Type (UAS),Number of UAS Being Controlled (UAS),Location Of Person,Location In Aircraft,Reporter Organization,Function,Qualification,Experience,Cabin Activity,Human Factors,Communication Breakdown,UAS Communication Breakdown,ASRS Report Number.Accession Number,Location Of Person,Location In Aircraft,Reporter Organization,Function,Qualification,Experience,Cabin Activity,Human Factors,Communication Breakdown,UAS Communication Breakdown,ASRS Report Number.Accession Number,Anomaly,Miss Distance,Were Passengers Involved In Event,Detector,When Detected,Result,Contributing Factors / Situations,Primary Problem,Narrative,Callback,Narrative,Callback,Synopsis,

2068417,202401,1201-1800,LCCC.ARTCC,FO,,,,38000,,,,,Daylight,,,Center LCCC,Air Carrier,Widebody; Low Wing; 4 Turbojet Eng,,2,Part 121,IFR,,,Cruise,,,,,,,,,,,,,,,,,,,,,,,,,,GPS & Other Satellite Navigation,,X,Malfunctioning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,Pilot Not Flying,Flight Crew Multiengine; Flight Crew Air Transport Pilot (ATP); Flight Crew Instrument,,,Situational Awareness; Troubleshooting; Communication Breakdown; Human-Machine Interface,Party1 Flight Crew; Party2 ATC,,2068417,,,,,,,,,,,,ATC Issue All Types; Aircraft Equipment Problem Less Severe; Deviation - Track / Heading All Types; Deviation / Discrepancy - Procedural Published Material / Policy; Inflight Event / Encounter Other / Unknown,,,Automation Aircraft Other Automation; Person Flight Crew,In-flight,Flight Crew Overcame Equipment Problem,ATC Equipment / Nav Facility / Buildings; Aircraft; Human Factors; Procedure,ATC Equipment / Nav Facility / Buildings,"GPS Spoofing. Enroute today from ZZZ to SOF; we were just north of Egypt approaching LAKTO intersection on our filed route; both of our iPads showed the airplane directly over OLBA Beirut International Airport. The event lasted 5 minutes. We verified the exact location of the airplane and we were on course. Airplane was never off course. Only our iPads were affected.",,,,"Air carrier pilot reported GPS spoofing at cruise over the Mediterranean Sea while under ATC control during daylight conditions. The pilot observed the aircraft at an incorrect position; which alerted the pilot to the GPS spoofing event; which lasted for a short duration then resolved.",
2068650,202401,1201-1800,ORD.Airport,IL,,,0,,,VMC,,,Daylight,,,Ground ORD,Air Carrier,Commercial Fixed Wing,,2,Part 121,IFR,Passenger,,Taxi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,Captain; Pilot Flying,Flight Crew Instrument; Flight Crew Multiengine; Flight Crew Air Transport Pilot (ATP),Flight Crew Last 90 Days 147; Flight Crew Type 1241,,Confusion,,,2068650,Aircraft X,Flight Deck,Air Carrier,Pilot Not Flying; First Officer,Flight Crew Multiengine; Flight Crew Instrument; Flight Crew Air Transport Pilot (ATP),Flight Crew Last 90 Days 39; Flight Crew Type 39,,Confusion,,,2068932,ATC Issue All Types; Deviation / Discrepancy - Procedural Published Material / Policy; Ground Event / Encounter Other / Unknown,,,Person Flight Crew,Taxi,Air Traffic Control Provided Assistance; Flight Crew Returned To Clearance,Procedure; Airport; Human Factors; Chart Or Publication,Chart Or Publication,"To be clear; I am filing this report at the request of the ORD Ground Controller. ORD Ground stated there was no issue or violation against us. However; they requested that we file this incident presumably to raise awareness. During taxi we were given instructions to taxi to Runway 22L via U; B; V. As I taxied the aircraft and entered the U/B intersection I stopped the aircraft before I committed to making the left turn onto B. I stopped because my mental picture; the airport diagram; and what I was physically looking at did not match. When on U taxiway the turn angle to B looked much larger than depicted on the chart. There is no B taxiway sign at that intersection which added to the confusion. Since I became unsure of when to turn I stopped the aircraft and asked my First Officer to clarify the taxi instruction with Ground Control. As I stopped; Ground Control called us and said; "Make that left turn there if you can." I made the turn then continued taxiing to Runway 22L. Ground then asked us if we could file a report about it. He stated we were OK and there were no issues with us; just asked we file a report - presumably to highlight the ambiguity and difficulty of navigating that intersection. Again; based on my displayed chart; my expectation and what I was seeing; plus lack of taxiway signage; it led to a situation where I stopped the aircraft and needed clarification from Ground Control on where B taxiway was. That intersection is VERY confusing when taking into consideration how it looks on the chart; what it looks like in person; and not having adequate taxiway markings/signs.",,"This report submission was requested by the Ground Controller on taxi. He said something like 'you are not in trouble; but we'd like you to do your safety thing so we have a record of the issue.' We held short of Taxiway U on exiting the ramp. We were provided instructions to taxi via U; B; V. As we taxied past U to join B; the Captain stopped the aircraft on B because there was no signage; and we wanted to be clear that we were turning onto the correct taxiway. ATC noticed we were stopped on B; informed us to turn left onto B if we were still able to - which we were able to - and then asked us to file a report. The rest of the taxi to 22L was uneventful. Upon returning to ORD in the jumpseat of my commute home; we passed the same intersection where I confirmed no sign existed indicating or guiding aircraft onto Taxiway B from CS past U.",,"Air carrier flight crew reported confusion at a taxiway intersection based upon a mismatch between what was visually seen and the chart depiction; exacerbated by a lack of signage. Ground Control helped provide assistance and the flight continued taxiing to the runway.",
2068779,202401,0601-1200,ZZZ.Airport,US,,,0,,,,,,,,,,Air Carrier,B767-300 and 300 ER,,2,Part 121,IFR,Passenger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,Captain; Pilot Not Flying,Flight Crew Instrument; Flight Crew Air Transport Pilot (ATP); Flight Crew Multiengine,,,Communication Breakdown; Time Pressure; Workload,Party1 Flight Crew; Party2 Ground Personnel,,2068779,Aircraft X,Flight Deck,Air Carrier,Pilot Flying; First Officer,Flight Crew Multiengine; Flight Crew Instrument; Flight Crew Air Transport Pilot (ATP),,,Workload; Communication Breakdown; Time Pressure,Party1 Flight Crew; Party2 Ground Personnel,,2068780,Deviation / Discrepancy - Procedural Weight And Balance; Deviation / Discrepancy - Procedural Hazardous Material Violation; Deviation / Discrepancy - Procedural Published Material / Policy,,,Person Ground Personnel,Routine Inspection,General None Reported / Taken,Human Factors; Procedure,Human Factors,"I've been told that we departed ZZZ without the NOTOC. Since we were informed of this after the flight paperwork was turned in; I couldn't verify whether the NOTOC was there or not; though the First Officer and I remember having one.Suggestion: More attention to detail.",,"During our preflight checks for flight ZZZ-ZZZ1; we were given paperwork to complete our cross check. We thought we were given all necessary paperwork but we missed the NOTOC. We were later notified after arriving back into ZZZ2.Suggestion: Verifying that all required documents are on the aircraft before departure. Can also be cross checked with either crew member or ground personnel.",,"Air carrier flight crew reported being notified that the flight departed without the NOTOC on a previous flight. The flight crew turned in the flight documents at destination and could not verify whether the document was submitted or not.",
2068792,202401,,,,,,0,,,,,,,,,,Air Carrier,Commercial Fixed Wing,,2,Part 121,IFR,Passenger,,Taxi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,General Seating Area,Air Carrier,Flight Attendant (On Duty),Flight Attendant Current,,,Time Pressure; Communication Breakdown,Party1 Flight Attendant; Party2 Flight Attendant,,2068792,,,,,,,,,,,,Deviation / Discrepancy - Procedural Hazardous Material Violation; Deviation / Discrepancy - Procedural Published Material / Policy; Flight Deck / Cabin / Aircraft Event Other / Unknown,,,Person Flight Attendant,Taxi,Flight Crew Overcame Equipment Problem,Human Factors; Procedure,Human Factors,"Have submitted report. Bio hazard found by Flight Attendants behind last row of seats in economy. Plane had already pushed back from the gate. Crew voiced concerns about the finding and I held conversation with Captain about crew concerns. Captain initiated a conversation with operations; and I went to the rear of the plane to investigate the situation further. The biohazard bag had not been closed so I put on gloves and carefully looked  inside. The contents were soiled; linens; wipes; and the dustpan from the large bag. After discussion with the crew; we agreed that we were happy to put the bag into a sealed container as we knew what the contents were. I returned to door; and reported my findings to the Captain and also of the conversation amongst the crew. Had the bag being sealed and tied it was agreed amongst the crew that none of us were happy or comfortable; taking the bag on a flight due to security concerns; and we would have wanted to have had the bag removed. This situation could have been avoided had there been more time to do a thorough cleaning of the aircraft and for the flight attendants to do their thorough checks before passengers; started boarding",,,,"Air carrier Flight Attendant reported notifying the Captain of a 'Bio hazard' container of soiled linen during departure taxi. The crew sealed the bag and the flight continued to destination.",
2068888,202401,1201-1800,ZZZ.Airport,US,,,0,,,,,,,,,,Air Carrier,B737-700,,2,Part 121,IFR,Passenger,,Parked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,Captain; Pilot Flying,Flight Crew Air Transport Pilot (ATP); Flight Crew Instrument; Flight Crew Multiengine,,,Confusion; Time Pressure; Troubleshooting; Workload,,,2068888,,,,,,,,,,,,Deviation / Discrepancy - Procedural Hazardous Material Violation; Deviation / Discrepancy - Procedural Published Material / Policy,,,Person Flight Crew,Aircraft In Service At Gate; Pre-flight,Flight Crew Overcame Equipment Problem,Human Factors; Manuals,Manuals,"During boarding the Ops Agent handed us a "LiFePO4" battery with IATA labeled documentation that was removed from an assistive device and asked us if we wanted it installed back onto the device and placed in the cargo compartment or placed in the overhead compartment. We dug into the FOM and found a note that states "Wheelchairs or assistive devices that contain lithium metal batteries are prohibited." A quick online search states that LiFePO4 batteries are a type of lithium-ion battery that contain iron phosphate. There-in lies the question. Does that make it a "lithium metal" battery and therefore prohibited? Continuing; reference to online states that they are a "safer and more stable" type of lithium-ion battery. The IATA labeled document that came with the battery was confusing and vague at best and ultimately not helpful. We called Dispatch and asked for a three-way conversation with the operations Chief Pilot. We discussed the issue fully; including referencing the table and determined that since the battery was less than 300Wh; 288 in this case; if it could be determined not to be a "lithium metal" battery we were ok to take it as carryon luggage. He brought in another person to the call who referenced the hazmat manual that had contradictory information from the FOM; but ultimately thought we were good to take the battery as well. As a side note there was discussion about whether or not this battery should be considered "non-spillable" because it was labeled as such; but again another note in the FOM states; "Lithium-ion batteries are not considered as Non-spillable or Dry sealed batteries." To say that the waters are muddied here is an understatement. We also included the flight attendants in the discussion to include whether or not the battery would fit in the LiFePO bag that they have in the back and determined it would fit; should it overheat in flight. Ultimately; we all agreed it was safe to take as carryon and placed in the overhead bin. The question still remains. What is considered a "lithium metal" battery?Suggestions: More complete information in both the FOM and hazmat manual that details what is and isn't considered lithium metal would be helpful. Also; removing contradictory(or at the very least ambiguously misleading) information from the hazmat vs FOM manuals would be helpful as well.",,,,"Air carrier Captain reported the crew had difficulty determining if a LiFePO4 battery could be transported in the cargo compartment or in the overhead compartment. It was determined it was safe to transport the battery in the overhead compartment.",
2068919,202401,0601-1200,ZZZ.TRACON,US,,17,,12000,,,,,Daylight,,,TRACON ZZZ,Air Carrier,B737-700,,2,Part 121,IFR,Passenger,FMS Or FMC,Descent; Initial Approach,,Class B ZZZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,Captain; Pilot Not Flying,Flight Crew Air Transport Pilot (ATP); Flight Crew Multiengine; Flight Crew Instrument,Flight Crew Last 90 Days 140; Flight Crew Type 21000,,Distraction; Human-Machine Interface; Workload,,,2068919,,,,,,,,,,,,Deviation - Altitude Crossing Restriction Not Met; Deviation - Altitude Overshoot; Deviation / Discrepancy - Procedural Clearance; Deviation / Discrepancy - Procedural Published Material / Policy; Inflight Event / Encounter CFTT / CFIT,,,Person Flight Crew,In-flight,Flight Crew Returned To Clearance; Flight Crew Overrode Automation; Flight Crew Took Evasive Action,Human Factors,Human Factors,"Approaching the ZZZZZ fix; ATC cleared us for the RVAV X XXR Approach. The Pilot Monitoring (PM) asked the Pilot Flying (PF) if he wanted the FAF altitude of 8;100 ft. in the Mode Control Panel altitude window and set it for him. The PM neglected to check that the aircraft was in the VNAV mode before setting the altitude; (the aircraft was descending at 1000 FPM in VSPEED mode). There was a slight distraction about which approach to shoot and as the Crew consulted approach plates and discussed if an ILS or RNAV would be preferred; both Crew failed to notice the aircraft descending below the step down altitude of 9900 ft. at ZZZZZ1 and 12;000 ft. outside ZZZZZ. Being in VNAV mode would have prevented the error. As we turned our attention back to the approach we were flying we noticed our altitude deviation and leveled off. No secondary warnings of Low Altitude were activated; (TCAS etc.) during the entire event and recovery we had the mountainous terrain below and along the approach path in sight; and ATC never called out our altitude deviation. We remained in level flight until back on the approach profile and continued the approach without incident.Suggestions: Better automation management; especially in regards to any descent using VNAV through intermediate step altitudes; needs be accomplished. Also; perhaps the PM should not offer to change Mode Control Panel parameters so readily when the PF is still orientating to a new clearance.",,,,"Air carrier pilot reported during descent they failed to notice the aircraft descended below a step down altitude. Flight crew recovered from altitude deviation and continued approach.",
2068927,202401,0001-0600,HECC.ARTCC,FO,,,,34000,,VMC,,,Night,,,Center HECC,Air Carrier,Widebody; Low Wing; 2 Turbojet Eng,,2,Part 121,IFR,Passenger,FMS Or FMC; GPS,Cruise,,,,,,,,,,,,,,,,,,,,,,,,,,GPS & Other Satellite Navigation,,X,Failed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,Pilot Not Flying; First Officer,Flight Crew Multiengine; Flight Crew Instrument; Flight Crew Air Transport Pilot (ATP),Flight Crew Last 90 Days 55.05; Flight Crew Total 2689.98; Flight Crew Type 1508.52,,Situational Awareness; Human-Machine Interface; Communication Breakdown,Party1 Flight Crew; Party2 ATC,,2068927,Aircraft X,Flight Deck,Air Carrier,Captain; Pilot Not Flying,Flight Crew Air Transport Pilot (ATP); Flight Crew Instrument; Flight Crew Multiengine,Flight Crew Last 90 Days 233.23; Flight Crew Total 9195.18; Flight Crew Type 1907.40,,Communication Breakdown; Human-Machine Interface; Troubleshooting; Situational Awareness,Party1 Flight Crew; Party2 ATC,,2068938,ATC Issue All Types; Aircraft Equipment Problem Less Severe; Deviation / Discrepancy - Procedural FAR; Deviation / Discrepancy - Procedural Published Material / Policy,,,Automation Aircraft Other Automation; Person Flight Crew,In-flight,Flight Crew Overcame Equipment Problem,Aircraft; Company Policy; Human Factors; Procedure; Software and Automation,Aircraft,"I was on break as one of the relief pilots at the time; but our airplane was jammed at approximately XA:00 and we lost both of our GPS's. Dispatch advised us to expect jamming as we neared Israel. We had experienced the jamming the day prior on the route to DXB. Unlike the day prior; our GPS's did not return for the remainder of the flight (11 hours). Since the GPS's were out we didn't have ADS-B. Location: Cairo FIR",,"Advised by Dispatch via ACARS to expect GPS jamming from vicinity of KITOT expected to last until passing ANIDE. Loss of both Left and Right ADS-B and both GPS receivers confirmed jamming. GPS never came back online; flight completed using company guidance and flight Manual. Maintenance write up and Maintenance Control notification. Dispatch notified.",,"Air carrier flight crew reported GPS jamming at cruise vicinity Cairo FIR. GPS did not return to normal function for the remainder of the flight; which included loss of the ADS-B signal.",
2068934,202401,1801-2400,ZZZ.Airport,US,,,0,,,,,,,,,,Air Carrier,Widebody Transport,,2,Part 121,IFR,Passenger,,Parked,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft Documentation,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hangar / Base,,Air Carrier,Captain; Pilot Flying,Flight Crew Multiengine; Flight Crew Air Transport Pilot (ATP); Flight Crew Instrument,Flight Crew Last 90 Days 127.53; Flight Crew Total 4027.23; Flight Crew Type 1246.67,,Communication Breakdown,Party1 Flight Crew; Party2 Other,,2068934,,,,,,,,,,,,Aircraft Equipment Problem Critical; Deviation / Discrepancy - Procedural Published Material / Policy; Flight Deck / Cabin / Aircraft Event Other / Unknown; Ground Event / Encounter Other / Unknown,,Y,Person Flight Crew,Pre-flight,General Release Refused / Aircraft Not Accepted,Procedure; Aircraft,Procedure,"During preflight briefing preparation; I was adjacent to another crew (including an LCP (Line Check Pilot) that was conducting a line check) that their aircraft had an expired "Residual Disinsection Certificate" and that upon arrival in AKL the aircraft -- with passengers and crew still boarded -- would be subject to disinsection (fumigation) procedures by local authorities. As the crew began to investigate these procedures; and the methods and chemicals involved in these procedures; all involved became concerned for the safety of the passengers and crew. Indeed; a cursory internet search on the toxicity effects of the primary chemical used -- Permethrin -- reveals that there is an increasing body of evidence that indicates this process is not suitable nor safe for exposure to passengers or crew members. Indeed; when inquiries were made as to why this aircraft hadn't been treated; it was revealed that the use of Permethrin in this application is NOT ALLOWED in the U.S.; and that these treatments are in use in Brazil! Upon learning this; the captain notified the Chief Pilot that the aircraft was being refused.Soon after; a company representative approached myself as to whether I would be willing to operate my segment with that aircraft. I advised that person I would not accept a dispatch with that aircraft. Not long after; another Captain (flying elsewhere) was contacted with the same proposal; who also refused. At that time; each flight was operated with different aircraft with current Residual Disinsection Certificates.To be noted; here is an excerpt from one of many on-line resources that highlights the threats posed by this process: "Permethrin (PER); the most frequently used synthetic Type I pyrethroid insecticide; is widely used in the world because of its high activity as an insecticide and its low mammalian toxicity. It was originally believed that PER exhibited low toxicity on untargeted animals. However; as its use became more extensive worldwide; increasing evidence suggested that PER might have a variety of toxic effects on animals and humans alike; such as neurotoxicity; immunotoxicity; cardiotoxicity; hepatotoxicity; reproductive; genotoxic; and haematotoxic effects; digestive system toxicity; and cytotoxicity. A growing number of studies indicate that oxidative stress played critical roles in the various toxicities associated with PER. To date; almost no review has addressed the toxicity of PER correlated with oxidative stress."",,,,"Air carrier Captain reported refusing an aircraft that had an expired Residual Disinsection Certificate. If operated; the aircraft would require fumigation procedures using permethrin (PER) at an international destination with crew and passengers aboard. Captain also reported the use of PER is not allowed in the United States as evidence suggests use may have a variety of toxic effects.",
