c5	c1	c2	c3	c4	c6	c7	c8	c9	c10	c75	c132	c134	c136	c138	c139	c140	c141	c144	c145	c147	c149	c151	c152	c153	c155	c157	c160	c162	c203	c204	c214	c233	c234	c790	c22	c23	c24	c25	c26	c27	c30	c31	c32	c33	c34	c35	c36	c37	c38	c39	c11	c12	c13	c14	c15	c16	c17	c18	c19	c20	c21	c102	c104	c106	c108	c110	c112	c113	c114	c115	c117	c118	c143	c240	c241	c242	c243	c61	c62	c63	c64	c65	c66	c67	c68	c69	c70	c71	c72	c73	c74	c76	c250	c205	c206	c207	c208	c210	c41	c43	c45	c47	c49	c50	c52	c53	c54	c55	c56	c57	c58	c59	c119	c120	c121	c122	c126	c127	c128	c129	c130	c78	c80	c82	c84	c86	c88	c90	c92	c94	c96	c98	c100	c111	c123	c124	c125	c184	c192	c244	c40	c44	c46	c48	c51	c77	c79	c81	c83	c85	c87	c89	c91	c93	c95	c97	c99	c101	c103	c105	c107	c109	c131	c133	c135	c137	c146	c148	c150	c154	c156	c158	c161	c163	c183	c191	c229	c230	end_of_record
20191013022809A	A	091	   	 	2019	10	13	20191013	1600	9	 	 	 	 	 	 	   	1H71	1	H	7	1 	3O  	 	 	TR	  	  	224230	02280	 	 	 	 	7267A	CESSNA	172         	      	        	  	STRD		* 	  	CONT M	0-300 SER    	11626-	        	  	     	AL	AL03	AK	PALMER         						61 45N	14859W																	1  	0  	0 	0 	1 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0  	0  	20200914			20200820	20200914	01	N									325  				ON OCTOBER 13, 2019, ABOUT 1620 ALASKA DAYLIGHT TIME, A CESSNA 172 AIRPLANE, N7267A, SUSTAINED SUBSTANTIAL DAMAGE F	N/A                           	  	    	           	  	    	      	                    	  	 	 	 	  	 	 	 	  	CR	S	 	   	 	 	 	 	 	 	PRIVATE PILOT       	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	Cruise/Level Flight 	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	UNDER 12501 LBS               	MONOPLANE-HIGH WING/PARA WING 	POWERED                       	                              	                              	Wheeled-Tricycle              	                    	                    	                    	                    	19690114		 
20191116022699I	I	091	   	 	2019	11	16	20191116	1115	9	 	 	 	 	 	 	   	1H71	1	H	7	1 	3O  	 	 	TR	  	  	224219	02269	 	 	 	 	2090Q	CESSNA	177RG       	      	        	  	STRD	1429 	* 	  	      	             	      	        	  	     	SW	SW17	TX	PORT ARANSAS   	MUSTANG BEACH AIRPORT         		KRAS																KRAS					1  	0  	0 	0 	1 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0  	0  	20200914			20200901	20200914	01	N						223  		13   	540  				PIC WAS FLYING VMC FROM JACKSON COUNTY TX AIRPORT (26R) TO MUSTANG BEACH AIRPORT (KRAS) NEAR PORT ARANSAS TX. PIC S	N/A                           	  	    	           	  	    	      	                    	  	 	 	 	  	 	 	 	  	LT	M	 	   	 	 	 	 	 	 	PRIVATE PILOT       	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	Landing: Touchdown  	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	UNDER 12501 LBS               	MONOPLANE-HIGH WING/PARA WING 	POWERED                       	                              	                              	Wheeled-Tricycle              	                    	                    	                    	                    	19530328		 
20191115022709A	A	091	   	 	2019	11	15	20191115	1540	9	 	 	 	 	 	 	   	1L72	1	L	7	2 	4F  	 	 	TR	  	  	224220	02270	 	 	 	 	973CG	CESSNA	525B        	      	        	  	STRD	3284 	* 	  	      	             	      	        	  	     	SW	SW17	TX	SAN ANTONIO    			SAT 																SAT 					3  	2  	0 	0 	1 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0  	0  	20200914			20200902	20200914	03	N						457  		37   	2791 				ON NOVEMBER 15, 2019, AT 1533 HOURS CST, A CESSNA CE-525B, BEARING REGISTRATION NUMBER N973CG, REGISTERED TO PILOT 	N/A                           	  	    	           	  	    	      	                    	  	 	 	 	  	 	 	 	  	GR	S	 	   	 	 	 	 	 	 	COMMERCIAL PILOT    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	Ground/Ramp/Ma      	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	UNDER 12501 LBS               	MONOPLANE-LOW WING            	POWERED                       	                              	                              	Wheeled-Tricycle              	                    	                    	                    	                    	19500614		 
20191119022679I	I	121	   	 	2019	11	19	20191119	1912	9	 	 	 	 	 	 	   	    	 	 	 		    	 	 	TR	  	  	224217	02267	 	 	 	 	620AE	EMBRAE	EMB-145LR   	      	        	  	STRD	47166	* 	  	ALLISO	AE3007C SER  	      	        	  	     	SO	SO67	NC	CHARLOTTE      	CHARLOTTE/DOUGLAS INTL        		CLT 																CLT 					27 	24 	0 	0 	2 	0 	0 	1 	0 	0 	0 	0 	0 	0 	0  	0  	20200914			20200909	20200914		N													THE PILOT REPORTED A CRACKED WINDSHIELD PILLAR IN FLIGHT AND LANDED WITHOUT INCIDENT. THE PILLAR BETWEEN DIRECT VIE	PIEDMONT                      	  	HNAA	           	  	    	      	                    	  	 	 	 	  	 	 	 	  	CR	M	 	   	 	 	 	 	 	 	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	Cruise/Level Flight 	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                              	                              	                              	                              	                              	Wheeled-Tricycle              	                    	                    	                    	                    			 
20191119022689I	I	091	   	 	2019	11	19	20191119	1238	9	 	 	 	 	 	 	   	    	 	 	 		    	 	 	CV	  	  	224218	02268	 	 	 	 	180F 	FORD W	STARDUSTER S	      	        	  	EXPT		* 	  	LYCOMI	I0360 SER    	      	        	  	     	SO	SO35	FL	PUNTA GORDA    	PUNTA GORDA                   		PGD 																PGD 					1  	0  	0 	0 	1 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0  	0  	20200914			20200904	20200914	F3	N						6    			4050 				ON NOVEMBER 19, 2019 AT 1238 EDT A 1981 FORD WILLIAMS STARDUSTER SA-300 REGISTERED TO ^PRIVACY DATA OMITTED^ LANDED	N/A                           	  	    	           	  	    	      	                    	  	 	 	 	  	 	 	 	  	LR	N	 	   	 	 	 	 	 	 	COMM PILOT FLIGHT IN	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	Landing: Rollout    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                              	                              	                              	                              	                              	Wheeled-Conventional          	                    	                    	                    	                    	19411205		 
20191014023689I	I	091	   	 	2019	10	14	20191014	1450	9	 	 	 	 	 	 	   	    	 	 	 		    	 	 	TR	  	  	224617	02368	 	 	 	 	358KP	PALS K	CHALLENGER I	      	        	  	EXPT	88   	* 	  	ROTAX 	582DCDI      	      	        	  	     	GL	GL13	WI	MOSINEE        			KCWA			44 47N	89 40W												KCWA					1  	0  	0 	0 	1 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0  	0  	20201105			20200923	20201105	XX	Y						44   		10   	44   				OCTOBER 14, 2019 N358KP AN EXPERIMENTAL AMATEUR BUILT CHALLENGER II WITH ONLY THE PILOT ON BOARD EXPERIENCED A HARD	N/A                           	  	    	           	  	    	      	                    	  	 	 	 	  	 	 	 	  	LT	M	 	   	 	 	 	 	 	 	STUDENT             	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	Landing: Touchdown  	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                              	                              	                              	                              	                              	Wheeled-Tricycle              	                    	                    	                    	                    	19510527		 
20191010023459A	A	091	   	 	2019	10	10	20191010	1558	9	 	 	 	 	 	 	   	    	 	 	 		    	 	 	TR	  	  	224552	02345	 	 	 	 	8078X	PIPER 	PA-28-181   	      	        	  	STRD		* 	  	LYCOMI	O&VO-360 SER 	      	        	  	     	GL	GL05	OH	DAYTON         																								2  	1  	0 	0 	1 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0  	0  	20201028			20200723	20201028	01	Y						146  		30   	158  				ON THURSDAY, OCTOBER 10, 2019, AT APPROXIMATELY 1553 EDT, A PIPER ARCHER PA-28 AIRCRAFT, REGISTRATION N-NUMBER N807	N/A                           	  	    	           	  	    	      	                    	  	 	 	 	  	 	 	 	  	EX	S	 	   	 	 	 	 	 	 	PRIVATE PILOT       	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	Descent             	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                              	                              	                              	                              	                              	Wheeled-Tricycle              	                    	                    	                    	                    	19920305		 
20191023023692A	A	091	   	 	2019	10	23	20191023	0900	A	 	 	 	 	 	 	   	    	 	 	 		    	 	 	SD	  	  	224618	02369	 	 	 	 	74512	ROBINS	R22 BETA    	      	        	  	STRD		* 	  	      	             	      	        	  	     	SW	SW17	TX	HEBBRONVILLE   						27 21N	98 37W																	2  	1  	0 	1 	1 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0  	1  	20201105				20201105	F3	N						1500 		180  	15000				ON OCTOBER 23, 2019. AT 0830 CST. TWO ROBINSON R22 HELICOPTERS COLLIDED IN MIDAIR IN HEBBRONVILLE TEXAS , WHILE CON	N/A                           	  	    	           	  	    	      	                    	  	 	 	 	  	 	 	 	  	MN	S	 	   	 	 	 	 	 	 	COMM PILOT FLIGHT IN	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	Maneuver            	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                              	                              	                              	                              	                              	Skids                         	                    	                    	                    	                    	19550322		 
20191017023799A	A	091	   	 	2019	10	17	20191017	1650	9	 	 	 	 	 	 	   	1H71	1	H	7	1 	3O  	 	 	CV	  	  	224679	02379	 	 	 	 	82308	AERONC	7AC         	      	        	  	STRD	2183 	* 	  	CONT M	A75-8F       	      	        	  	     	GL	GL13	WI	GREEN BAY      			WI78			44 42N	87 56W												WI78					1  	0  	0 	0 	1 	1 	0 	0 	0 	0 	0 	1 	0 	1 	2  	0  	20201201			20200914	20201201	01	N						26   			1886 				ON OCTOBER 17, 2019 N82308 AN AERONCA 7AC WAS DESTROYED WHEN IT COLLIDED WITH A PICKUP TRUCK THAT WAS WESTBOUND ON 	N/A                           	  	    	           	  	    	      	                    	  	 	 	 	  	 	 	 	  	LA	D	 	   	 	 	 	 	 	 	PRIVATE PILOT       	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	Landing: Approach   	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	UNDER 12501 LBS               	MONOPLANE-HIGH WING/PARA WING 	POWERED                       	                              	                              	Wheeled-Conventional          	                    	                    	                    	                    	19510825		 
20191117023779I	I	091	   	 	2019	11	17	20191117	1025	9	 	 	 	 	 	 	   	1H71	1	H	7	1 	3O  	 	 	TR	  	  	224670	02377	 	 	 	 	97021	CESSNA	182Q        	      	        	  	STRD		* 	  	CONT M	O-470-U      	      	        	  	     	SW	SW11	AR	RUSSELVILLE    			RUE 																RUE 					1  	0  	0 	0 	1 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0  	0  	20201201			20201118	20201201	XX	Y						30   		20   	30   				NOVEMBER 17 2019, ^PRIVACY DATA OMITTED^, STUDENT PILOT WAS SOLOING A CESSNA 182, N97021, AT THE RUSSELLVILLE MUNIC	N/A                           	  	    	           	  	    	      	                    	  	 	 	 	  	 	 	 	  	LR	M	 	   	 	 	 	 	 	 	STUDENT             	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	Landing: Rollout    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	UNDER 12501 LBS               	MONOPLANE-HIGH WING/PARA WING 	POWERED                       	                              	                              	Wheeled-Tricycle              	                    	                    	                    	                    	19670816		 
