c5	c1	c2	c3	c4	c6	c7	c8	c9	c10	c75	c132	c134	c136	c138	c139	c140	c141	c144	c145	c147	c149	c151	c152	c153	c155	c157	c160	c162	c203	c204	c214	c233	c234	c790	c22	c23	c24	c25	c26	c27	c30	c31	c32	c33	c34	c35	c36	c37	c38	c39	c11	c12	c13	c14	c15	c16	c17	c18	c19	c20	c21	c102	c104	c106	c108	c110	c112	c113	c114	c115	c117	c118	c143	c240	c241	c242	c243	c61	c62	c63	c64	c65	c66	c67	c68	c69	c70	c71	c72	c73	c74	c76	c250	c205	c206	c207	c208	c210	c41	c43	c45	c47	c49	c50	c52	c53	c54	c55	c56	c57	c58	c59	c119	c120	c121	c122	c126	c127	c128	c129	c130	c78	c80	c82	c84	c86	c88	c90	c92	c94	c96	c98	c100	c111	c123	c124	c125	c184	c192	c244	c40	c44	c46	c48	c51	c77	c79	c81	c83	c85	c87	c89	c91	c93	c95	c97	c99	c101	c103	c105	c107	c109	c131	c133	c135	c137	c146	c148	c150	c154	c156	c158	c161	c163	c183	c191	c229	c230	end_of_record
20150101000039A	A	091	   	 	2015	01	01	20150101	2130	9	 	 	 	 	 	 	   	    	 	 	 		    	 	 	TR	  	  	211166	00003	 	 	 	 	657MC	PIPER 	PA 46-350P  	      	        	  	STRD	3946 	* 	  	LYCOMI	TI0-540 SER  	      	        	  	     	SO	SO35	FL	APALACHICOLA   		14L 	AAF 														DRY		AAF 					1  	0  	0 	0 	1 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0  	0  	20150129			20150209	20200131	01	N						1545 		30   	2633 				DURING TAXI TO A DESIGNATED AREA TO PARK, HIT POLE ON LEADING EDGE, ABOUT MIDDLE OF LEFT WING.                     	N/A                           	  	    	           	  	    	      	                    	  	 	 	 	  	 	 	 	  	TX	S	 	   	 	 	 	 	 	 	PRIVATE PILOT       	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	Taxi                	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                              	                              	                              	                              	                              	Wheeled-Tricycle              	                    	                    	                    	                    			 
20150101000239A	A	091	   	 	2015	01	01	20150101	1628	9	 	 	 	 	 	 	   	1H71	1	H	7	1 	3O  	 	 	CV	  	  	211243	00023	 	 	 	 	2841N	CESSNA	140         	      	        	  	STRD	1682 	* 	  	      	             	      	        	  	     	WP	WP07	AZ	YUMA           						32 43N	11428W																	2  	1  	0 	1 	1 	0 	1 	0 	0 	0 	0 	0 	0 	0 	0  	2  	20150210				20200131	01	N						100  		6    	100  				ON JANUARY 1, 2015 ^PRIVACY DATA OMITTED^ OPERATED N2841N (CESSNA 140 SERIAL #13102) ATTEMPTING TO TAKEOFF FROM A P	N/A                           	  	    	           	  	    	      	                    	  	 	 	 	  	 	 	 	  	TD	S	 	   	 	 	 	 	 	 	PRIVATE PILOT       	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	Takeoff: Departure R	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	UNDER 12501 LBS               	MONOPLANE-HIGH WING/PARA WING 	POWERED                       	                              	                              	Wheeled-Conventional          	                    	                    	                    	                    			 
20150102000479A	A	091	   	 	2015	01	02	20150102	1730	9	 	 	 	 	 	 	   	    	 	 	 		    	 	 	TR	  	  	211278	00047	 	 	 	 	516VB	DAYTON	STORM       	      	        	  	EXPT		* 	  	SUZUKI	G13BB        	      	        	  	     	SO	SO15	FL	EUSTIS         	MID FLORIDA AIR SERVICE       	36C 	KX55														DRY		KX55					1  	0  	0 	0 	1 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0  	0  	20150219				20200131	F9	N						11   			12000				ON JANUARY 2ND 2015 ABOUT 1730 LOCAL TIME, AN EXPERIMENTAL AMATEUR BUILT, WEIGHT SHIFT CONTROL TRIKE WAS SUBSTANTIA	N/A                           	  	    	           	  	    	      	                    	  	 	 	 	  	 	 	 	  	LA	S	 	   	 	 	 	 	 	 	A/LINE TRANSPORT PLT	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	Landing: Approach   	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                              	                              	                              	                              	                              	Wheeled-Tricycle              	                    	                    	                    	                    			 
20150102000709A	A	091	   	 	2015	01	02	20150102	1755	9	 	 	 	 	 	 	   	    	 	 	 		    	 	 	TR	  	  	211305	00070	 	 	 	 	81291	PIPER 	PA-34-200T  	      	        	  	STRD	7605 	* 	  	CONT M	TSIO-360-EB  	360   	        	  	     	CE	CE17	KY	KUTTAWA        																								5  	4  	3 	1 	1 	1 	0 	0 	0 	0 	0 	0 	0 	0 	4  	1  	20150223			20150508	20200131	F3	N									2300 				N81291 WAS ON AN IFR FLIGHT PLAN FROM TALLASSEE, FL EN-ROUTE TO MT. VERNON, IL.  MEMPHIS CENTER RECEIVED A DISTRESS	N/A                           	  	    	           	  	    	      	                    	  	 	 	 	  	 	 	 	  	CR	D	 	   	 	 	 	 	 	 	COMM PILOT FLIGHT IN	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	Cruise/Level Flight 	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                              	                              	                              	                              	                              	Wheeled-Tricycle              	                    	                    	                    	                    			 
20150102001609A	A	091	   	 	2015	01	02	20150102	1640	9	 	 	 	 	 	 	   	    	 	 	 		    	 	 	SD	  	  	211429	00160	 	 	 	 	3183T	ROBINS	R44 II      	      	        	  	STRD	451  	* 	  	LYCOMI	IO-540-AE1A5 	L-3165	        	  	     	SO	SO63	PR	BARRANQUITAS   						18 12N	66 17W																	3  	2  	0 	0 	1 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0  	0  	20150312				20200131	01	N						36   		59   	443  				ON JANUARY 02, 2015 AT APPROXIMATELY 21:18Z, A ROBINSON HELICOPTER R-44II (N3183T) WAS SUBSTANTIALLY DESTROYED AFTE	N/A                           	  	    	           	  	    	      	                    	  	 	 	 	  	 	 	 	  	LT	D	 	   	 	 	 	 	 	 	PRIVATE PILOT       	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	Landing: Touchdown  	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                              	                              	                              	                              	                              	Skids                         	                    	                    	                    	                    			 
20150102002209I	I	091	   	 	2015	01	02	20150102	1547	9	 	 	 	 	 	 	   	    	 	 	 		    	 	 	CV	  	  	211500	00220	 	 	 	 	1270A	PIPER 	PA-18       	      	        	  	STRD	343  	* 	  	LYCOMI	0-290 SERIES 	      	        	  	     	AL	AL03	AK	BELUGA LAKE    						61 26N	15140W																	1  	0  	0 	0 	1 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0  	0  	20150331				20200131	F3	N						75   		35   	3466 				THE WEATHER WAS CLEAR AND IT WAS A ?BEAUTIFUL DAY TO FLY?.  PIC STATED SHE HAD MADE 4 OR 5 PASSES TO A FROZEN SANDB	N/A                           	  	    	           	  	    	      	                    	  	 	 	 	  	 	 	 	  	LR	M	 	   	 	 	 	 	 	 	COMM PILOT FLIGHT IN	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	Landing: Rollout    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                              	                              	                              	                              	                              	Wheeled-Conventional          	                    	                    	                    	                    			 
20150103000029I	I	091	   	 	2015	01	03	20150103	1630	9	 	 	 	 	 	 	   	    	 	 	 		    	 	 	TR	  	  	211116	00002	 	 	 	 	20DP 	PIPER 	PA-46-310P  	      	        	  	STRD		* 	  	CONT M	TSIO-520 SER 	      	        	  	     	SW	SW09	TX	BEAUMONT       																								2  	1  	0 	0 	1 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0  	0  	20150123				20150123	03	N									3100 				N20DP A PIPER PA-46 OPERATED BY THE ^PRIVACY DATA OMITTED^ WAS ON AN IFR FLIGHT PLAN FROM GUNNISON REGIONAL AIRPORT	N/A                           	  	    	           	  	    	      	                    	  	 	 	 	  	 	 	 	  	LA	S	 	   	 	 	 	 	 	 	COMMERCIAL PILOT    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	Landing: Approach   	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                              	                              	                              	                              	                              	Wheeled-Tricycle              	                    	                    	                    	                    	19510404		 
20150103000109A	A	091	   	 	2015	01	03	20150103	1020	9	 	 	 	 	 	 	   	1H71	1	H	7	1 	3O  	 	 	TR	  	  	211200	00010	 	 	 	 	2534X	CESSNA	P206        	      	        	  	STRD	4399 	* 	  	CONT M	IO 520 SERIES	520   	        	  	     	SO	SO19	FL	KEY WEST       	KEY WEST INTL                 		EYW 																EYW 					6  	5  	0 	1 	1 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0  	1  	20150204				20200131	F9	N						24   		171  	8540 				ON 3 JAN 1015, N2534X, CE-206, DEPARTED NAPLES, FLORIDA, A PART 91 VFR FLIGHT, TO KEY WEST, FLORIDA. ON APPROACH TO	N/A                           	  	    	           	  	    	      	                    	  	 	 	 	  	 	 	 	  	LA	S	 	   	 	 	 	 	 	 	A/LINE TRANSPORT PLT	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	Landing: Approach   	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	UNDER 12501 LBS               	MONOPLANE-HIGH WING/PARA WING 	POWERED                       	                              	                              	Wheeled-Tricycle              	                    	                    	                    	                    			 
20150103000299A	A	091	   	 	2015	01	03	20150103	1700	9	 	 	 	 	 	 	   	1H71	1	H	7	1 	3O  	 	 	TR	  	  	211253	00029	 	 	 	 	2948U	CESSNA	172D        	      	        	  	STRD	2360 	* 	  	CONT M	0-300 SER    	      	        	  	     	WP	WP17	CA	FRESNO         																								3  	2  	0 	0 	1 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0  	0  	20150212				20200131	01	N						169  			450  				AIRCRAFT REPORTED IT WAS EXPERIENCING ENGINE TROUBLE ON DECENT. WHILE LOOKING FOR A PLACE TO LAND THE AIRCRAFT STRU	N/A                           	  	    	           	  	    	      	                    	  	 	 	 	  	 	 	 	  	EX	S	 	   	 	 	 	 	 	 	PRIVATE PILOT       	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	Descent             	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	UNDER 12501 LBS               	MONOPLANE-HIGH WING/PARA WING 	POWERED                       	                              	                              	Wheeled-Tricycle              	                    	                    	                    	                    			 
20150103005989A	A	091	   	 	2015	01	03	20150103	1345	9	 	 	 	 	 	 	   	    	 	 	 		    	 	 	CV	  	  	211904	00598	 	 	 	 	171L 	WACO C	YMF-F5C     	      	        	  	STRD	174  	* 	  	JACOBS	R-755A2M     	      	        	  	     	WP	WP15	CA	SAN LUIS OBISPO	SAN LUIS OBISPO COUNTY REGIONA	29  	SBP 			35 14N	12038W										DRY		SBP 					2  	1  	0 	0 	1 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0  	0  	20150526				20200131	01	N						1640 		26   	4085 				LANDING RUNWAY 29, PILOT STATED HE HAD A LEFT QUARTERING TAIL WIND.  MADE A NORMAL WHEEL LANDING.  LANDED NORMALLY 	N/A                           	  	    	           	  	    	      	                    	  	 	 	 	  	 	 	 	  	LR	S	 	   	 	 	 	 	 	 	PRIVATE PILOT       	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	Landing: Rollout    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                              	                              	                              	                              	                              	Wheeled-Conventional          	                    	                    	                    	                    			 
20150105001349I	I	091	   	 	2015	01	05	20150105	1911	9	 	 	 	 	 	 	   	    	 	 	 		    	 	 	TR	  	  	211398	00134	 	 	 	 	2126X	PIPER 	PA-44-180   	      	        	  	STRD	13337	* 	  	LYCOMI	O&VO-360 SER 	      	        	  	     	WP	WP05	CA	LONG BEACH     	DAUGHERTY FIELD               		LGB 																LGB 					2  	0  	0 	0 	2 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0  	0  	20150309				20150309		N													THE LANDING GEAR COLLAPSED ON ROLL OUT                                                                             	N/A                           	  	    	           	  	    	      	                    	32	 	 	 	  	 	 	 	  	LR	M	 	   	 	 	 	 	 	 	                    	                    	                    	                    	                    	3220                	                    	                    	                    	                    	                    	                    	                    	                    	Landing: Rollout    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                              	                              	                              	                              	                              	Wheeled-Tricycle              	                    	                    	                    	                    			 
20150106003969A	A	091	   	 	2015	01	06	20150106	1545	9	 	 	 	 	 	 	   	1H71	1	H	7	1 	3R  	 	 	CV	  	  	211700	00396	 	 	 	 	2125C	CESSNA	195B        	      	        	  	STRD	2533 	* 	  	      	             	      	        	  	     	SW	SW17	TX	LLANO          	LLANO MUNICIPAL               		6R9 																6R9 					2  	1  	0 	0 	1 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0  	0  	20150428				20200131	09	N						75   		8    	15879				PILOT WAS DEPARTING ON RUNWAY 17 FROM LLANO AIRPORT (AQO) LLANO, TEXAS ENROUTE TO DENTON MUNICIPAL AIRPORT DENTON, 	N/A                           	  	    	           	  	    	      	                    	  	 	 	 	  	 	 	 	  	TR	S	 	   	 	 	 	 	 	 	AIRLINE TRANSPORT   	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	Takeoff: Rotation   	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	UNDER 12501 LBS               	MONOPLANE-HIGH WING/PARA WING 	POWERED                       	                              	                              	Wheeled-Conventional          	                    	                    	                    	                    			 
20150107000189I	I	135	   	 	2015	01	07	20150107	1420	9	 	 	 	 	 	 	   	    	 	 	 		    	 	 	TR	  	  	211226	00018	 	 	 	 	429TM	RAYTHE	HAWKER 800XP	      	        	  	STRD	7308 	* 	  	      	             	      	        	  	     	GL	GL15	MN	ROCHESTER      			KRST																KRST					7  	5  	0 	0 	2 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0  	0  	20150205				20150205	09	N						1897 		166  	10189				AFTER LIFTOFF, THE AIRCRAFT STRUCK MULTIPLE LARGE BIRDS CAUSING THE LEFT ENGINE TO FAIL.  THE PILOT INITIATED A RET	TRAVEL MANAGEMENT COMPANY LTD 	  	T17A	           	  	    	      	                    	  	 	 	 	  	 	 	 	  	TC	M	 	   	 	 	 	 	 	 	AIRLINE TRANSPORT   	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	Takeoff: Climb Out  	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                              	                              	                              	                              	                              	Wheeled-Tricycle              	                    	                    	                    	                    	19660108		 
20150107000222A	A	091	   	 	2015	01	07	20150107	1000	G	 	 	 	 	 	 	   	1H71	1	H	7	1 	3O  	 	 	CV	  	  	211236	00022	 	 	 	 	70037	CESSNA	A185E       	      	        	  	STRD	5496 	* 	  	CONT M	IO 520 SERIES	      	        	  	     	EA	EA65	ME	OXFORD         	OXFORD MUNICIPAL              		81B 																81B 					1  	0  	0 	0 	1 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0  	0  	20150210				20200131	01	N						1870 		31   	2174 				AFTER THE PRE-FLIGHT INSPECTION THE PILOT INITIATED THE STARTING PROCEDURE.  THE CHECKLIST STARTING PROCEDURE INCLU	N/A                           	  	    	           	  	    	      	                    	  	 	 	 	  	 	 	 	  	TX	S	 	   	 	 	 	 	 	 	PRIVATE PILOT       	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	Taxi                	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	UNDER 12501 LBS               	MONOPLANE-HIGH WING/PARA WING 	POWERED                       	                              	                              	Wheeled-Conventional          	                    	                    	                    	                    			 
20150105000399I	I	135	   	 	2015	01	05	20150105	0930	9	 	 	 	 	 	 	   	    	 	 	 		    	 	 	SK	  	  	211267	00039	 	 	 	 	62358	DEHAVI	DHC-2 MK. I(	      	        	  	STRD	18510	* 	  	NONE  	NONE         	      	        	  	     	AL	AL05	AK	JUNEAU         	SNETTISHAM                    		7AK2			58 08N	13343W										OTH		7AK2					4  	3  	0 	0 	1 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0  	0  	20150213				20200131	03	N						7000 		140  	21000				PILOT STATED AIRCRAFT TOUCHED DOWN (ON MAIN GEAR- SKIS) LANDING TO THE WEST AT SNETTISHAM AIRPORT (7AK2) WITH NORTH	WARD AIR, INC.                	  	HXRA	           	  	    	      	                    	  	 	 	 	  	 	 	 	  	LR	M	 	   	 	 	 	 	 	 	COMMERCIAL PILOT    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	Landing: Rollout    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                              	                              	                              	                              	                              	Skis                          	                    	                    	                    	                    			 
20150106001889I	I	091	   	 	2015	01	06	20150106	1306	9	 	 	 	 	 	 	   	1L71	1	L	7	1 	3O  	 	 	TR	  	  	211467	00188	 	 	 	 	385PR	CZECH 	SPORTCRUISER	      	        	  	    	752  	* 	  	ROTAX 	912ULS       	      	        	  	     	SO	SO15	FL	ORLANDO        			ORL 																ORL 					1  	0  	0 	0 	1 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0  	0  	20150324				20150324		N													BIRD STRUCK THE LEFT WING STROBE / NAV LIGHT. IT DAMAGED THE LIGHT.                                                	N/A                           	  	    	           	  	    	      	                    	  	 	 	 	  	 	 	 	  	LA	M	 	   	 	 	 	 	 	 	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	Landing: Approach   	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	UNDER 12501 LBS               	MONOPLANE-LOW WING            	POWERED                       	                              	                              	Wheeled-Tricycle              	                    	                    	                    	                    			 
20150104001019A	A	091	   	 	2015	01	04	20150104	1240	9	 	 	 	 	 	 	   	    	 	 	 		    	 	 	TR	  	  	211350	00101	 	 	 	 	907Q 	BEECH 	35-A33      	      	        	  	STRD		* 	  	CONT M	I0-470 SERIES	      	        	  	     	WP	WP25	CA	ANGWIN         	ANGWIN                        		2O3 																2O3 					1  	0  	0 	0 	1 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0  	0  	20150303				20200131	F3	N						3200 		19   	15181				PILOT OVERSHOT BASE TO FINAL TURN AND LOST CONTROL OF AIRCRAFT TRYING TO CORRECT.  AIRCRAFT DEPARTED RUNWAY AND CRA	N/A                           	  	    	           	  	    	      	                    	  	 	 	 	  	 	 	 	  	LT	S	 	   	 	 	 	 	 	 	COMM PILOT FLIGHT IN	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	Landing: Touchdown  	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                              	                              	                              	                              	                              	Wheeled-Tricycle              	                    	                    	                    	                    			 
20150106000829A	A	091	   	 	2015	01	06	20150106	1345	9	 	 	 	 	 	 	   	1H71	1	H	7	1 	3O  	 	 	TR	  	  	211320	00082	 	 	 	 	2102P	CESSNA	172S        	      	        	  	STRD	3670 	* 	  	LYCOMI	IO-360-L2A   	      	        	  	     	EA	EA21	VA	CHESAPEAKE     	HAMPTON ROADS EXECUTIVE       	28  	PVG 			36 46N	07528W										DRY		PVG 					2  	0  	0 	0 	2 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0  	0  	20150225			20150227	20150303	XX	Y						46   		31   	46   				DPE WAS ADMINISTERING PRIVATE PILOT CHECKRIDE TO APPLICANT.  AFTER A  FULL STOP LANDING, A SHORT FIELD TAKEOFF WAS 	CURTIS EADS FLIGHT SCHOOL     	  	    	           	  	    	      	                    	  	 	 	 	  	 	 	 	  	TC	S	 	   	 	 	 	 	 	 	STUDENT             	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	Takeoff: Climb Out  	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	UNDER 12501 LBS               	MONOPLANE-HIGH WING/PARA WING 	POWERED                       	                              	                              	Wheeled-Tricycle              	                    	                    	                    	                    			 
20150107000431I	I	091	   	 	2015	01	07	20150107	1821	G	 	 	 	 	 	 	   	    	 	 	 		    	 	 	TR	  	  	211274	00043	 	 	 	 	836BA	BOEING	737-7BC     	      	        	  	STRD		* 	  	CFM IN	CFM56 SERIES 	      	        	  	     	EA	EA27	VA	DULLES         	DULLES                        		IAD 																IAD 					9  	5  	0 	0 	2 	0 	0 	2 	0 	0 	0 	0 	0 	0 	0  	0  	20150213				20200131	03	N													ARRIVED AT SCENE APPROXIMATELY 20:15 LOOKED AT BOTH AIRCRAFT DECIDED IT WAS MINOR DAMAGE TALKED TO CREW WAS NOT FAM	BOEING AIRCRAFT CO.           	  	    	           	  	    	      	                    	  	 	 	 	  	 	 	 	  	TX	M	 	   	 	 	 	 	 	 	COMMERCIAL PILOT    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	Taxi                	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                              	                              	                              	                              	                              	Wheeled-Tricycle              	                    	                    	                    	                    			 
20150105000269I	I	141	   	 	2015	01	05	20150105	1400	9	 	 	 	 	 	 	   	1H71	1	H	7	1 	3O  	 	 	TR	  	  	211246	00026	 	 	 	 	678WW	CESSNA	172S        	      	        	  	STRD		* 	  	LYCOMI	I0360 SER A&C	      	        	  	     	WP	WP07	AZ	GLENDALE       	LUKE AFB                      		LUF 																LUF 					2  	0  	0 	0 	2 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0  	0  	20150211			20150211	20150309		N													INSTRUCTOR NOTICED WHITE SMOKE COMING FROM UNDER THE RIGHT SIDE OF THE INSTRUMENT PANEL.  THE SMOKE LASTED FOR ABOU	WESTWIND SCHOOL OF AERONAUTICS	  	WIWS	           	  	    	      	                    	  	 	 	 	  	 	 	 	  	OT	N	 	   	 	 	 	 	 	 	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	Other, Specify      	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	UNDER 12501 LBS               	MONOPLANE-HIGH WING/PARA WING 	POWERED                       	                              	                              	Wheeled-Tricycle              	                    	                    	                    	                    			 
20150106000279I	I	091	   	 	2015	01	06	20150106	1031	9	 	 	 	 	 	 	   	    	 	 	 		    	 	 	CV	  	  	211247	00027	 	 	 	 	252  	CARTER	KITFOX S-6  	      	        	  	EXPT	299  	* 	  	LYCOMI	0-290 SERIES 	D2    	        	  	     	WP	WP07	AZ	MESA           			FFZ 			33 27N	11143W												FFZ 					2  	1  	0 	0 	1 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0  	0  	20150211				20200131	F3	N						141  		10   	1699 				TAXIING FOR TAKEOFF RUNWAY 4R, AT KFFZ, SW BOUND ALONG TAXIWAY-D, WAS TAXIING SLIGHTLY TOO FAST WHEN I APPLIED THE 	N/A                           	  	    	           	  	    	      	                    	  	 	 	 	  	 	 	 	  	TX	M	 	   	 	 	 	 	 	 	COMM PILOT FLIGHT IN	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	Taxi                	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                              	                              	                              	                              	                              	Wheeled-Conventional          	                    	                    	                    	                    			 
20150104000089A	A	091	   	 	2015	01	04	20150104	1600	9	 	 	 	 	 	 	   	1L71	1	L	7	1 	3O  	 	 	TR	  	  	211198	00008	 	 	 	 	349EA	RAYTHE	A36         	      	        	  	STRD	1190 	* 	  	CONT M	IO-550-B     	      	        	  	     	GL	GL11	IN	PARKER CITY    	DOUGLAS COUNTY                		MIE 			40 7 N	85 13W												MIE 					1  	0  	0 	0 	1 	0 	1 	0 	0 	0 	0 	0 	0 	0 	0  	1  	20150204			20150220	20200131	01	N						70   			350  				ON JANUARY 4, 2015 AT APPROXIMATELY 16:00 HOURS, A 2004 RAYTHEON A36, N349EA SUSTAINED SUBSTANTIAL DAMAGE FOLLOWING	N/A                           	  	    	           	  	    	      	                    	  	 	 	 	  	 	 	 	  	LA	S	 	   	 	 	 	 	 	 	PRIVATE PILOT       	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	Landing: Approach   	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	UNDER 12501 LBS               	MONOPLANE-LOW WING            	POWERED                       	                              	                              	Wheeled-Tricycle              	                    	                    	                    	                    			 
20150105000069I	I	135	   	 	2015	01	05	20150105	0109	9	 	 	 	 	 	 	   	    	 	 	 		    	 	 	SD	  	  	211194	00006	 	 	 	 	859HW	EUROCO	EC 130 B4   	      	        	  	STRD	358  	* 	  	TURBOM	ARRIEL 2B1   	      	        	  	     	CE	CE21	MS	WEST POINT     	HOSPITAL WING                 		2TN0			33 42N	88 44W												2TN0					3  	1  	0 	0 	1 	0 	0 	1 	0 	0 	0 	0 	0 	0 	0  	0  	20150204			20150210	20150220		N													STARBOARD (RH FLAP DOOR) AFT CABIN DOOR POPPED OPEN INFLIGHT AND IMPACTED THE STARBOARD CARGO DOOR AND SURROUNDING 	MEMPHIS MEDICAL CENTER HOSPITA	  	JPBA	           	  	    	      	                    	52	 	 	 	  	 	 	 	  	CR	M	 	   	 	 	 	 	 	 	                    	                    	                    	                    	                    	5200                	                    	                    	                    	                    	                    	                    	                    	                    	Cruise/Level Flight 	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                              	                              	                              	                              	                              	Skids                         	                    	                    	                    	                    			 
20150106000059I	I	135	   	 	2015	01	06	20150106	1151	9	 	 	 	 	 	 	   	    	 	 	 		    	 	 	TR	  	  	211189	00005	 	 	 	 	550FX	BOMBAR	BD-100-1A10 	      	        	  	STRD		* 	  	HONEYW	AS907-1-1A   	      	        	  	     	EA	EA01	NY	ALBANY         			ALB 			42 44N	73 48W												ALB 					4  	2  	0 	0 	2 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0  	0  	20150204				20200131	09	N						3387 		130  	12590				THE AIRCRAFT WAS PARKED ON THE FBO RAMP. ON DEPARTING, THE AIRCRAFT BEGAN TO TAXI AND TURNED PERPENDICULAR TO THE T	JET SOLUTIONS LLC             	  	J7SA	           	  	    	      	                    	  	 	 	 	  	 	 	 	  	GR	N	 	   	 	 	 	 	 	 	AIRLINE TRANSPORT   	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	Ground/Ramp/Ma      	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                              	                              	                              	                              	                              	Wheeled-Tricycle              	                    	                    	                    	                    			 
20150106000249A	A	091	   	 	2015	01	06	20150106	1726	9	 	 	 	 	 	 	   	    	 	 	 		    	 	 	TR	  	  	211244	00024	 	 	 	 	50NE 	MICHAE	CALIDUS     	      	        	  	EXPT	130  	* 	  	ROTAX 	912          	      	        	  	     	NM	NM07	CO	GLADE PARK     						38 51N	10841W																	2  	1  	0 	1 	1 	0 	1 	0 	0 	0 	0 	0 	0 	0 	0  	2  	20150210				20200131	F3	N						126  		28   	3691 				AIRCRAFT DEPARTED MONTROSE COLORADO AT APPROX 1630, HEADING TOWARD SPANISH FORK UTAH IN A NORTH WEST DIRECTION. ATT	N/A                           	  	    	           	  	    	      	                    	  	 	 	 	  	 	 	 	  	CL	S	 	   	 	 	 	 	 	 	COMM PILOT FLIGHT IN	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	Climb               	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                              	                              	                              	                              	                              	Wheeled-Tricycle              	                    	                    	                    	                    			 
