 ,Time,Time,Place,Place,Place,Place,Place,Place,Place,Environment,Environment,Environment,Environment,Environment,Environment,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Component,Component,Component,Component,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Events,Events,Events,Events,Events,Events,Assessments,Assessments,Report 1,Report 1,Report 2,Report 2,Report 1,
ACN,Date,Local Time Of Day,Locale Reference,State Reference,Relative Position.Angle.Radial,Relative Position.Distance.Nautical Miles,Altitude.AGL.Single Value,Altitude.MSL.Single Value,Latitude / Longitude (UAS),Flight Conditions,Weather Elements / Visibility,Work Environment Factor,Light,Ceiling,RVR.Single Value,ATC / Advisory,Aircraft Operator,Make Model Name,Aircraft Zone,Crew Size,Operating Under FAR Part,Flight Plan,Mission,Nav In Use,Flight Phase,Route In Use,Airspace,Maintenance Status.Maintenance Deferred,Maintenance Status.Records Complete,Maintenance Status.Released For Service,Maintenance Status.Required / Correct Doc On Board,Maintenance Status.Maintenance Type,Maintenance Status.Maintenance Items Involved,Cabin Lighting,Number Of Seats.Number,Passengers On Board.Number,Crew Size Flight Attendant.Number Of Crew,Airspace Authorization Provider (UAS),Operating Under Waivers / Exemptions / Authorizations (UAS),Waivers / Exemptions / Authorizations (UAS),Airworthiness Certification (UAS),Weight Category (UAS),Configuration (UAS),Flight Operated As (UAS),Flight Operated with Visual Observer (UAS),Control Mode (UAS),Flying In / Near / Over (UAS),Passenger Capable (UAS),Type (UAS),Number of UAS Being Controlled (UAS),Aircraft Component,Manufacturer,Aircraft Reference,Problem,ATC / Advisory,Aircraft Operator,Make Model Name,Aircraft Zone,Crew Size,Operating Under FAR Part,Flight Plan,Mission,Nav In Use,Flight Phase,Route In Use,Airspace,Maintenance Status.Maintenance Deferred,Maintenance Status.Records Complete,Maintenance Status.Released For Service,Maintenance Status.Required / Correct Doc On Board,Maintenance Status.Maintenance Type,Maintenance Status.Maintenance Items Involved,Cabin Lighting,Number Of Seats.Number,Passengers On Board.Number,Crew Size Flight Attendant.Number Of Crew,Airspace Authorization Provider (UAS),Operating Under Waivers / Exemptions / Authorizations (UAS),Waivers / Exemptions / Authorizations (UAS),Airworthiness Certification (UAS),Weight Category (UAS),Configuration (UAS),Flight Operated As (UAS),Flight Operated with Visual Observer (UAS),Control Mode (UAS),Flying In / Near / Over (UAS),Passenger Capable (UAS),Type (UAS),Number of UAS Being Controlled (UAS),Location Of Person,Location In Aircraft,Reporter Organization,Function,Qualification,Experience,Cabin Activity,Human Factors,Communication Breakdown,UAS Communication Breakdown,ASRS Report Number.Accession Number,Location Of Person,Location In Aircraft,Reporter Organization,Function,Qualification,Experience,Cabin Activity,Human Factors,Communication Breakdown,UAS Communication Breakdown,ASRS Report Number.Accession Number,Anomaly,Miss Distance,Were Passengers Involved In Event,Detector,When Detected,Result,Contributing Factors / Situations,Primary Problem,Narrative,Callback,Narrative,Callback,Synopsis,

1140055,201401,1201-1800,ZZZ.ARTCC,US,,,,25000,,VMC,,,Daylight,,,Center ZZZ,Air Carrier,B737-700,,2,Part 121,IFR,Passenger,,Climb,,Class A ZZZ,,,,,,,,,,,,,,,,,,,,,,,,Fuel System,,X,Malfunctioning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,First Officer,,,,Troubleshooting; Confusion,,,1140055,Aircraft X,Flight Deck,Air Carrier,Captain,,,,Confusion; Troubleshooting,,,1140117,Aircraft Equipment Problem Critical,,,Automation Aircraft Other Automation; Person Flight Crew,In-flight,Flight Crew Landed in Emergency Condition; Flight Crew Returned To Departure Airport; Flight Crew Inflight Shutdown; Flight Crew FLC complied w / Automation / Advisory; General Maintenance Action; General Declared Emergency,Aircraft,Aircraft,"During climbout; passing through about FL250; we received a Fuel Master Caution with associated fuel imbalance pictured on the main fuel tank gauge display. As I recall; when we first noticed the imbalance after receiving the caution; we had about 7;300 LBS in the left main and 6;100 LBS in the right with the right going down quickly. We started with the Fuel Imbalance Alert Checklist in the QRH. As we worked through the possible causes listed in the checklist; we enlisted the help of a Captain that was jumpseating and riding in the back to help us look for visible signs of a fuel leak. As he was looking for that out the passenger windows; we tried the crossfeed valve and it appeared to work correctly; meanwhile; the right tank was going down at a rate of double or a little faster than double of the left tank. The jumpseating Captain then joined us on the flight deck as we decided an extra opinion and help would be beneficial. It was determined that it would be necessary to continue to the Engine Fuel Leak Checklist. By this time we had climbed to and leveled off at FL350. As we looked ahead at the checklist and saw that it mandated an engine shutdown; we declared an emergency with Center and coordinated our return to the departure airport. We were now heading west back when I ran the Engine Fuel Leak Checklist. That checklist then refers to the Engine Failure/Shutdown Checklist. I read through every item and every note in all the checklists and conferred with both these Captains to ensure that we weren't missing something or misdiagnosing the problem before we shut down that #2 Engine. All three of us agreed that the fuel was going down on the right side at a rapid rate and it warranted continuing with the Shutdown Checklist. At this time; as I recall; we had about 6;900 in the left tank and about 5;400 in the right. The checklist was run and the right engine was shutdown. We made a long slow controlled descent back into the runway with no further incident. We were greeted by the fire trucks; informed Tower that we needed no further assistance; and proceeded to the gate where we were met by several Maintenance personnel; a Chief Pilot and several other people. After our long descent with the right motor shut down; upon arrival at the gate; the fuel gauges were nearly equal again. We had time on our next deadhead flight to review what we'd done. The question comes to mind that what if it was an issue with the fuel crossfeed valve that we somehow overlooked? We feel that we checked it adequately during the event enough to rule it out; but the possibility exists. We feel that if anything we erred to the side of safety in making an air return. We did have questions about why the engine shutdown was mandated through the series of checklists; but can only assume it is to reduce the chance of fire from not knowing where the fuel leak could be. I felt good about our CRM; teamwork; and the added benefit of having an additional Captain helping back up our decisions.","The reporter stated that no mechanical faults were found and in the final analysis Maintenance assumed that for an unknown reason the fuel crossfeed valve did not close completely which allowed the right tank to feed both engines. The reporter stated however that the crew operated the crossfeed valve several times during troubleshooting and it appeared to operate normally with the light either OFF; BRIGHT OR DIM when in the commanded position.","During step climb to cruise; Master Caution illuminated and a fuel imbalance alert was identified: left 7;300 LBS; right 6;100 LBS. I asked deadheading Captain to assist with a visual inspection of the #2 Engine and wing area to determine if there was an external fuel leak. None found. Captain then joined crew in cockpit. First Officer referred to QRH for Fuel Imbalance Alert Checklist; as directed; and we began to address the fuel problem. After going through that checklist; the fuel imbalance increased to: left 6;900 LBS; right 5;400 LBS. A fuel audit showed approximately the correct fuel for our position; however; the bulk of the fuel was coming from the right main tank. The cross feed and fuel pump operations all indicated they were functioning normally.We proceeded with the Engine Fuel Leak Checklist because of the increasing imbalance. We requested return to the departure station; declared an emergency; shutdown #2 Engine; per the QRH; and landed.",,"A B737-700 FUEL MASTER CAUTION alerted when the right tank fuel quantity decreased more quickly than the left tank and after completing the Fuel Leak Checklist the crew shutdown the right engine; declared an emergency and returned to the departure airport. A faulty crossfeed valve was suspected.",
1140107,201401,1801-2400,DEN.Airport,CO,,,0,,,VMC,,,Night,,,,Air Carrier,Large Transport; Low Wing; 2 Turbojet Eng,,2,Part 121,IFR,Passenger,,Taxi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,First Officer,,Flight Crew Last 90 Days 125; Flight Crew Type 6300,,Confusion; Distraction,,,1140107,,,,,,,,,,,,Deviation / Discrepancy - Procedural Published Material / Policy; Ground Event / Encounter Other / Unknown,,,Person Flight Crew,Taxi,General None Reported / Taken,Airport; Human Factors; Environment - Non Weather Related,Airport,"Green LED taxi lights are far too bright at DEN; in this specific case; Taxiway CN by 7W nearing Mike Taxiway. The lights are so bright it floods the cockpit and blinds the Crew making it impossible to see beyond the lights right in front of you. This same thing happens on the runway centerline LEDs at DEN and other cities; far too bright. Reduce brightness or go back to old-fashioned lighting. Green LED taxi lighting [is] extremely bright causing windscreen visibility problem.","The reporter stated that LED intensity did not appear consistent because; while all the lights are very bright; some appear brighter viewed on straight segments; but others are brighter in turns. The LED section on 7E at Mike is dimmer than some other lights when viewed straight on. The reporter did ask ATC about the brightness and was told the LEDs are not adjustable. The reporter did also compare these LED to ABQ's lights which have recently been upgraded and some lights are now adjustable. The DEN lights should be also; they are a safety issue.",,,"An Air Carrier pilot reported the DEN green LED taxiway and white LED runway centerline lights are too bright and create visual interference which prevent pilots from seeing beyond the non dimmable lights.",
1140139,201401,1201-1800,ZZZ.Airport,US,,,,2000,,Mixed,0.5,,Daylight,2000,,TRACON ZZZ,Air Carrier,B737-700,,2,Part 121,,,Localizer/Glideslope/ILS Runway X,Initial Approach,,Class C ZZZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,First Officer,,Flight Crew Last 90 Days 199,,Situational Awareness; Other / Unknown,,,1140139,,,,,,,,,,,,Deviation / Discrepancy - Procedural Published Material / Policy; Inflight Event / Encounter CFTT / CFIT; Inflight Event / Encounter Unstabilized Approach,,,Automation Aircraft Terrain Warning; Person Flight Crew,In-flight,Flight Crew Became Reoriented,Procedure; Human Factors; Weather,Ambiguous,"On ILS; weather lifted enough to visually identify landing environment and runway environment. Pilot flying transitioned visual scan to outside and maneuvered aircraft to ensure safe landing. Received a '[Glideslope] Pull Up' Warning simultaneously as pilot flying was reducing sink rate; repositioning flight path vector; and shallowing descent rate. [We] landed safely and uneventfully. Approach and Tower did a poor job of reporting and updating IMC conditions.",,,,"B737-700 First Officer reports a 'Glideslope Pull-Up' Warning during transition from instruments to visual on an ILS approach. The sink rate is decreased and a normal landing ensues.",
1140217,201401,0601-1200,ZZZ.ARTCC,US,,,,25000,,VMC,,,,,,Center ZZZ,Air Carrier,A320,,2,Part 121,,,,Descent,,Class A ZZZ,,,,,,,,,,,,,,,,,,,,,,,,Fan Reverser,,X,Malfunctioning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,Pilot Not Flying; First Officer,Flight Crew Air Transport Pilot (ATP),,,Troubleshooting,,,1140217,,,,,,,,,,,,Aircraft Equipment Problem Less Severe; Deviation / Discrepancy - Procedural Published Material / Policy,,,Automation Aircraft Other Automation; Person Flight Crew,In-flight,Flight Crew Landed in Emergency Condition; General Declared Emergency,Human Factors; Manuals; Aircraft,Ambiguous,"At the start of our descent we had a Number 2 Reverser fault caution light. We ran QRH; Resets; Normal Checklists and consulted the AOM. The only guidance we found was in the AOM. It dealt with the number 1 or 2 reverser fault. The action was to reduce thrust in the right engine. We called Dispatch and Maintenance and consulted as to the correct course of action. We involved a phone patch with our Fleet Manager. With their concurrence we confirmed and reduced thrust on the Number 2 Engine to idle. As a precaution and to ensure priority handling we declared an emergency with ATC. The AOM guidance included language to land at the nearest suitable airport. By the time we had the situation under control we were only about fifty mile from the destination airport and still about 25;000 FT MSL. We felt the best course of action was to continue our descent and prepare for a straight in landing. It was already programmed and the runway is over 11;000 in length and 200 FT wide. We felt confident that this was the correct course of action. We used the single engine guidance from the AOM and did a flap three landing. The emergency was really a non event with a positive outcome.",,,,"A320 First Officer experiences a reverser fault during descent. After consulting the QRH; AOM and Maintenance Control the crew elects to reduce the engine to idle and continue to destination after declaring an emergency.",
1140250,201401,0001-0600,SEA.Airport,WA,,,,,,VMC,,,Night,,,Center ZSE,Air Carrier,Medium Transport; Low Wing; 2 Turbojet Eng,,2,Part 121,IFR,Passenger,FMS Or FMC,Descent,Other HAWKZ 3 RNAV,Class A ZSE,,,,,,,,,,,,,,,,,,,,,,,,Aero Charts,,X,Design,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,Captain; Pilot Flying,Flight Crew Air Transport Pilot (ATP),,,Distraction; Confusion,,,1140250,,,,,,,,,,,,Deviation - Speed All Types; Deviation / Discrepancy - Procedural Clearance; Deviation / Discrepancy - Procedural Published Material / Policy,,,Person Air Traffic Control,In-flight,Air Traffic Control Issued Advisory / Alert; Air Traffic Control Issued New Clearance; Flight Crew FLC complied w / Automation / Advisory; Flight Crew Returned To Clearance,Airport; Chart Or Publication; Procedure,Chart Or Publication,"We were cleared to descend via the HAWKZ3 RNAV landing north transition [Runway] 34L. Ahead of time I had briefed the arrival and approach. In addition; I carefully checked; against my iPad's Charts; all the fixes in the FMS for altitudes and speed restrictions. My First Officer; as well checked the same against the paper charts. We both missed the box indicating the transition from MACH number to 280 KTS. We were descending at 310 KTS when the SEA Center Controller asked us the speed. After she advised us that we had to be at 280 KTS; I slowed to 280 KTS. We were so surprised that we went back searching in the arrival chart where the 280 was. We were honestly convinced that the controller was making a mistake. It took us a few seconds before we saw the note and realized that she was right.Since the first time I flew into SEA (back in June 2013) I completely missed the general note even if since then I came back several times and I always checked every fix. (The other times we must have accidentally complied with the 280 KTS due to other reasons like weather/speed assigned ahead by ATC etc). By enlarging the electronic chart the note tends to disappear in the left corner.  I would have expected to see a number referring to the note in proximity of both arrival transitions (LMT/LKV) or that same note/box located next to the two transitions or better to the right of BTG VOR where we would have not missed it.I have certainly learned the lesson of looking over at the whole chart (whether it be electronic or paper) to make sure I don't miss an important note like that anymore. A chart design with that important note in a better place would have certainly helped.",,,,"An air carrier Captain and First Officer did not see the SEA HAWKZ 3 RNAV MACH number to 280 KTS speed transition note and were surprised by ATC's request that they slow. The SPEED RESTRICTION note is too far separated from its application.",
1140346,201401,0601-1200,ZZZ.ARTCC,US,,,,38000,,IMC,1,,Daylight,300,,Center ZZZ,Air Carrier,B737-700,,2,Part 121,IFR,Passenger,,Cruise,,Class A ZZZ,,,,,,,,,,,,,,,,,,,,,,,,Fuel Crossfeed,,X,Malfunctioning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,Captain,,,,Workload; Troubleshooting; Time Pressure; Communication Breakdown; Confusion,Party1 Flight Crew; Party2 Maintenance,,1140346,,,,,,,,,,,,Aircraft Equipment Problem Critical; Deviation / Discrepancy - Procedural Published Material / Policy; Inflight Event / Encounter Fuel Issue,,,Automation Aircraft Other Automation; Person Flight Crew,In-flight,Flight Crew Overcame Equipment Problem; Flight Crew Took Evasive Action,Chart Or Publication; Aircraft; Company Policy; Procedure; Manuals,Chart Or Publication,"At 38;000 FT; the First Officer noticed that fuel was only being used from one tank. It was only a 200-LBS imbalance; but it was clearly getting worse. We checked the crossfeed and the light didn't work using the lights test and then looked up where the circuit breaker was. The circuit breaker was tripped (it's right by the shoulder harness). Right as we noticed this; the fuel imbalance indicator turned Amber; we had gone from 200 LBS to 1;000 LBS in the time it took to look up and check the breaker. We used ACARS to ask Dispatch for advice from Maintenance Control; who replied; 'follow QRH' with no additional comment. This is where this report is important: the QRH procedure does not work; it is incorrect. The QRH has two lines of logic; one with the breaker tripped; one without. The old QRH was simpler: 'fuel balance maintain.' The QRH has been changed; probably to deal with the crews that mistakenly performed engine shutdowns for using the fuel leak procedure for this same circuit breaker problem. The difficulty is the new procedure doesn't work in the air. It tells you to check the breaker (good); but then it gives this instruction: Verify that sufficient fuel is available to both engines to complete the flight. There is no way of either a) knowing if the imbalance was going to drain a tank or b) if it didn't; know that control could be maintained with a severely out-of-balance aircraft. Remember; we were at 1;000 LBS of imbalance within just a couple minutes of noticing: we had 50 minutes to go; to land at absolute destination airport minimums. The nearest airport with good weather was more than an hour away. I suspect this QRH procedure was created in the simulator. In the airplane; once it starts getting out of balance; it gets worse very quickly. The wrench in the works is Note 2; 'It is not possible to determine the position of the fuel crossfeed valve.' They took out 'maintain fuel balance'; the old procedure; presumably because there is no way to know if the valve is open enough to be able to safely shut off pumps to one tank at altitude. We did not want to do this; we were at 38;000 FT. However; following the circuit breaker tripped logic; the QRH had a hard [stop]. This is one of the times I felt like I was out of options. The destination was at minimums; (300-1; the lowest for Runway 4); there was nothing below us that was good; our alternate was more than an hour away and I was now over 1;500 LBS of imbalance and getting worse by the minute. Adjusting rudder trim to lift the heavy wing didn't make a difference. There was zero chance that I could make it to destination with more than minimum fuel in the low tank; it was possible it could even run dry (remember; we're already in the Amber 'IMBAL'). If the imbalance got to 4;000 LBS; or 3;000 or whatever; I assumed the autopilot would kick off and the airplane would be difficult to control. It was possible I was going to miss the approach into our destination regardless; since weather was at minimums with freezing drizzle. Shooting an approach to 300 FT with a huge weight imbalance; then diverting; no way. So now what? We agonized over the breaker. Is 'fuel crossfeed' the same as a 'fuel control' circuit breaker? I've been flying Boeings for 20 years and I don't know the answer. We both agreed it wasn't; but either way; I am loathe to touch any breaker that says 'fuel.' Do I crossfeed; and run the chance that the crossfeed is only partially open and I flame out an engine? The QRH certainly does not call for crossfeeding. Do I divert? I can't; my alternate is an hour away and I have no intention of letting the imbalance get more than 500 more pounds; since I don't know how the airplane will handle; it was already flying sideways at 1;500. Even if there was a closer 'nearest suitable'; from 38;000 FT the imbalance would put one tank into 'min gas' and give me a possible controllability problem. This was one of those times when QRH procedures didn't match real life. I had no tools to 'verify if sufficient fuel is available to both engines to complete the flight;' I don't know how to do that. How fast is the imbalance going to progress? I assume it gets faster as the wing gets heavier. I don't know how many minutes I have for it to get to emergency fuel. I don't know where my destination is; is it ZZZ or ZZZ1? Nearest suitable off-line that was above minimums? What if I missed the approach? The QRH doesn't say what to do next. It gives an impossible instruction ('determine something you can't determine with the tools you have') then doesn't tell you what to do next. Divert to nearest suitable? Doesn't say that. Mine was upstate [far distance from destination]; so not an option. Fuel balance: manage? Doesn't say that. Reset the breaker? Doesn't say that either. In the end; we read (out loud) the QRH instructions about resetting circuit breakers. 'An in-flight reset should only be accomplished if; in the judgment of the Captain; regaining use of that system is critical to the safe conduct of flight.' I determined that the safest course of action was to attempt a reset; then the second safest was to attempt to manage imbalance by shutting off fuel pumps; and the third safest to continue on with no action. I reset the breaker (the crossfeed operated normally) I contacted Maintenance Control on the ground and made the Info Only write-up after explaining my decision process; and proceeded on. The QRH procedure needs to be updated to list the options in order of desirability: a) reset breaker; b) risk flameout by turn off fuel pumps to manage fuel or c) immediately land at nearest suitable (which wouldn't have worked in my case due to low weather). There isn't time to do anything else other than these three. Including guidance on how to determine 'sufficient' fuel would help as well.",,,,"A B737-700 crew discovers a fuel imbalance while in cruise at FL380. With the Fuel Crossfeed Circuit breaker tripped and because the QRH does not address all reset possibilities; destination weather was at minimums and arrival fuel would be at minimum safe quantity; the Captain reset the Cross Feed circuit which corrected the problem.",
1140450,201401,0601-1200,EWR.Airport,NJ,,15,,3000,,IMC,1,,Daylight,2000,,TRACON N90,Air Carrier,MD-11,,2,Part 121,IFR,Cargo / Freight / Delivery,,Initial Approach,Vectors,Class B EWR,,,,,,,,,,,,,,,,,,,,,,,,Turbine Engine,,X,Malfunctioning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,Pilot Not Flying; First Officer,,Flight Crew Last 90 Days 140; Flight Crew Total 9225; Flight Crew Type 4825,,,,,1140450,Aircraft X,Flight Deck,Air Carrier,Captain; Pilot Flying,,Flight Crew Last 90 Days 109; Flight Crew Total 9700; Flight Crew Type 830,,Situational Awareness,,,1140455,Aircraft Equipment Problem Critical; Inflight Event / Encounter Weather / Turbulence,,,Automation Aircraft Other Automation; Person Flight Crew,In-flight,General None Reported / Taken,Weather; Human Factors; Aircraft,Aircraft,"While being vectored to final during the dogleg we received a Level 2 'Air System Pressure 3 Lo' alert. I began to secure air system 3 using our QRH. During this time we noticed a 'Confirm Engine Out/Clear' prompt on our MCDU. I asked the Captain if he had split the throttles for some reason and he replied 'no.' I selected 'clear.' Shortly after we then received a Level 2 'Engine 3 RPM Lo' alert as we rolled out on approximately 8 mile final. We then initiated the QRH checklist then upon reaching the FAF the Captain elected to finish configuring. The runway was in sight; aircraft was stable; and the Captain left the throttle in idle (still producing power) and landed uneventfully. After clearing the runway the Captain elected to secure the Number 3 Engine. Taxi was uneventful. There were many factors in play during this approach. Newark was just finishing a strong blizzard; JFK and other area airports (we had heard) were closed so rather than going back into the weather we elected to land. In hindsight; since we had enough fuel we probably should have been vectored back out for another approach; declare an emergency and verify we had run all appropriate checklists.",,"We were being vectored to the ILS when we had an Air System 3 low press alert. The First Officer took out the checklist and secured the Number 3 Air System. We were about 15 NM from the airport. We continued with the approach while beginning to configure for landing. Just before being vectored for the final intercept heading the First Officer asked if I had split the throttles. I said no. He then cleared the confirm engine out that came in the MCDU. The Number 3 Engine had not rolled back enough for us to notice a problem. The autopilot was on and flying the aircraft just fine. As we approached about an 8 NM final we got an Engine 3 low RPM alert. The First Officer initiated the Engine 3 Low RPM Checklist. We were then approaching the outer marker. I told the First Officer to complete the Landing Checklist as we finished configuring for landing. We then finished the Low Rpm Checklist after landing. The weather was well above CAT 1 minimums with good braking action. I decided to land instead of going around because I did not want to go back into the weather when I had the runway in sight. We were very busy and I had the thought to call for an emergency but elected to land. In hindsight I should've declared an emergency just to make sure ATC was in the loop.",,"MD11 flight crew experiences an Air System 3 low pressure alert while being vectored for approach. A few minutes later an Engine 3 low RPM alert is displayed. The Low RPM Checklist is initiated by the First officer; but the Captain elects to complete the Landing Checklist and land before completing the Low RPM Checklist.",
1140476,201401,1201-1800,ZZZ.Airport,US,,,0,,,,Fog,,Night,,,Tower ZZZ,Air Carrier,A321,,2,Part 121,IFR,Passenger,,Landing,,,,,,,,,,,,,,,,,,,,,,,,,,Autoland,,X,Failed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,Pilot Not Flying; First Officer,,,,Situational Awareness; Communication Breakdown,Party1 Flight Crew; Party2 Flight Crew,,1140476,,,,,,,,,,,,Aircraft Equipment Problem Critical; Inflight Event / Encounter Loss Of Aircraft Control,,,Automation Aircraft Other Automation; Person Flight Crew,In-flight,Flight Crew Regained Aircraft Control; Flight Crew Executed Go Around / Missed Approach,Procedure; Aircraft; Human Factors,Ambiguous,"I was the pilot flying on this flight; the third leg of the day. Because of increasing fog; with surface visibilities hovering around 1/4 SM; the captain and I had planned for a CAT III autoland; with the captain taking over pilot flying duties descending through 10;000 MSL. The approach had been thoroughly briefed; and I was fully aware of my responsibilities during the CAT III approach and landing. The approach was stable and uneventful with no turbulence. However; an aircraft was cleared for takeoff when we were approximately 2 NM from the runway. All call-outs were made; 'LAND' was enunciated in green at 400 AGL; and 'FLARE' was enunciated at 40 AGL as expected. Suddenly; approximately one or two seconds before touchdown; the 'AUTOLAND' red enunciator on the glare shield illuminated. I saw the light; but touchdown occurred almost immediately afterwards; so my attention was turned toward my after-landing tasks. However; it became immediately clear that the autopilot was not going to keep the aircraft on the runway; as we almost immediately began to drift towards the right side of the runway. Frankly; in that brief instant I was convinced that we were about to exit the runway; but the Captain announced 'go-around' and advanced the thrust levers to the TOGA setting. The plane became airborne before we exited the runway. The go-around was successful; and the subsequent landing was uneventful. However; because of the previously botched autoland; and because the weather was just barely above CAT I minimums; the Captain landed the plane manually on the second attempt. I cannot prove this; but I am convinced that jet-blast from the preceding departing aircraft caused the autoland to malfunction. We were not cleared to land until approximately 1.8 NM from the runway. The preceding aircraft was cleared for takeoff when we were approximately 2 NM from the runway. The entire approach had been smooth; with no turbulence. At approximately 40 FT; as the autopilot entered the FLARE mode; we encountered a bit of turbulence; presumably from the jet-blast of the departing aircraft. The chain of events that followed happened so quickly that I was essentially useless in alerting the captain to the failure of the autoland. The turbulence quickly led to the 'AUTOLAND' red light; which was immediately followed by touchdown; which was immediately followed by our rapid turn towards the right side of the runway. I credit the captain for quickly recognizing the need to go-around and executing a successful balked landing. I am still new to the Airbus; having completed training approximately seven months ago; and flying only 40 hours or so per month. I am still learning about the airplane every day. When the red 'AUTLAND' light illuminated I was expected to immediately announce a go-around. However; because the approach had been so uneventful; the light was completely unexpected. Though I carefully monitored the autopilot as required; the rapid succession of events that led to a near runway excursion caught me by surprise. Admittedly; the sudden changed of our situation from normal to critical caused me to lose focus. I have never been in a situation quite like this where I went from 'green' to 'red' in an instant. I credit the Captain for his quick reaction; as I was not much help at that point. I have flown a handful of autoland approaches in my short career; but now I have a new respect for the red 'AUTOLAND' light; and the importance of immediately making the Captain aware if it illuminates.",,,,"A321 First Officer experiences an autoland failure annunciation during the flare on a CAT III autoland approach; but does not announce the warning to the Captain and the aircraft veers to the right on touchdown. The Captain initiates a go-around successfully and the next approach is manually flown to landing. The First Officer believes that jet blast from the previous departure caused the autoland failure.",
