make,year,defects_per_tail,rel_rate,bracket
AEROSP,2000,7.421052631578948,1.3310487521013838,high
AEROSP,2001,6.675,1.1972358722358722,high
AEROSP,2002,4.955056179775281,0.8887447202053944,medium
AEROSP,2003,5.575342465753424,1.0,medium
AEROSP,2004,4.7407407407407405,0.8503048503048504,medium
AEROSP,2005,4.371428571428571,0.784064584064584,low
AEROSP,2006,4.737704918032787,0.8497603415636202,medium
AEROSP,2007,10.325581395348838,1.8520084566596198,high
AEROSP,2008,4.565217391304348,0.8188227753445145,low
AEROSP,2009,4.626865671641791,0.8298800836114268,low
AEROSP,2010,7.566666666666666,1.3571662571662573,high
AEROSP,2011,9.573333333333334,1.7170843570843572,high
AEROSP,2012,9.096774193548388,1.6316081477371802,high
AEROSP,2013,6.86,1.2304176904176904,high
AEROSP,2014,9.805555555555555,1.7587360087360089,high
AEROSP,2015,10.766666666666667,1.9311220311220314,high
AEROSP,2016,17.125,3.071560196560197,high
AEROSP,2017,10.392857142857142,1.8640751140751142,high
AEROSP,2018,12.55,2.2509828009828015,high
AEROSP,2019,14.956521739130435,2.6826193782715526,high
AEROSP,2020,4.633333333333334,0.8310401310401312,low
AEROSP,2021,2.0434782608695654,0.366520670868497,low
AEROSP,2022,3.875,0.6950245700245701,low
AEROSP,2023,3.5625,0.6389742014742015,low
AEROSP,2024,2.7419354838709675,0.4917967821193628,low
AEROSP,2025,3.0,0.5380835380835381,low
AEROSP,2026,3.0,0.5380835380835381,low
AIRBUS,2000,3.081272084805654,0.3960011881462518,low
AIRBUS,2001,3.028391167192429,0.3892049995498715,low
AIRBUS,2002,2.9547872340425534,0.37974551522736755,low
AIRBUS,2003,3.788968824940048,0.486953477404448,low
AIRBUS,2004,4.480885311871227,0.5758777084951956,low
AIRBUS,2005,4.972677595628415,0.6390822303059621,low
AIRBUS,2006,5.351097178683386,0.6877162361266552,low
AIRBUS,2007,7.780966767371601,1.0,medium
AIRBUS,2008,7.229916897506925,0.9291797682293893,medium
AIRBUS,2009,6.461103253182461,0.8303728118048513,low
AIRBUS,2010,9.128440366972477,1.1731756014241468,high
AIRBUS,2011,11.285377358490566,1.4503824133800727,high
AIRBUS,2012,10.926052332195678,1.4042024158247988,high
AIRBUS,2013,12.027203482045701,1.545720967795429,high
AIRBUS,2014,8.157472417251755,1.0483880295516719,medium
AIRBUS,2015,7.368893320039881,0.9470408421406331,medium
AIRBUS,2016,7.255941499085923,0.9325244170830675,medium
AIRBUS,2017,9.079326923076923,1.1668636037811926,high
AIRBUS,2018,8.77023901310717,1.1271400168272077,high
AIRBUS,2019,8.417434443656981,1.0817980201321922,medium
AIRBUS,2020,6.482008995502249,0.8330595913458531,low
AIRBUS,2021,8.308724832214764,1.0678267984713985,medium
AIRBUS,2022,7.834305717619603,1.0068550543708363,medium
AIRBUS,2023,7.84726867335563,1.0085210370338626,medium
AIRBUS,2024,8.721958925750394,1.1209351211117766,medium
AIRBUS,2025,8.720164609053498,1.1207045178010901,medium
AIRBUS,2026,4.597411933860532,0.590853562456935,low
AMD,2000,1.8064516129032258,1.1253305129561078,high
AMD,2001,1.8611111111111112,1.1593806921675773,high
AMD,2002,1.8909090909090909,1.1779433681073024,high
AMD,2003,1.7547169811320755,1.093102381688834,medium
AMD,2004,1.6911764705882353,1.053519768563163,medium
AMD,2005,1.76,1.0963934426229507,medium
AMD,2006,1.9074074074074074,1.188221007893139,high
AMD,2007,1.5769230769230769,0.9823455233291298,medium
AMD,2008,1.9387755102040816,1.2077617932418867,high
AMD,2009,1.302325581395349,0.8112847884102173,low
AMD,2010,1.605263157894737,1.0,medium
AMD,2011,1.829268292682927,1.139544182327069,high
AMD,2012,1.9333333333333333,1.2043715846994534,high
AMD,2013,1.59375,0.992827868852459,medium
AMD,2014,1.8043478260869565,1.1240199572344975,high
AMD,2015,1.825,1.1368852459016392,high
AMD,2016,1.5,0.9344262295081966,medium
AMD,2017,1.2307692307692308,0.7667087011349306,low
AMD,2018,1.3333333333333333,0.8306010928961748,low
AMD,2019,1.4375,0.8954918032786885,medium
AMD,2020,1.3333333333333333,0.8306010928961748,low
AMD,2021,1.4230769230769231,0.8865069356872636,medium
AMD,2022,1.3888888888888888,0.8652094717668487,medium
AMD,2023,1.1666666666666667,0.726775956284153,low
AMD,2024,1.0833333333333333,0.6748633879781419,low
AMD,2025,1.0769230769230769,0.6708701134930642,low
AMD,2026,1.6666666666666667,1.0382513661202186,medium
BAC,2000,4.457142857142857,1.0,medium
BAC,2001,4.75,1.0657051282051282,medium
BAC,2002,4.930232558139535,1.1061419200954083,medium
BAC,2003,5.553191489361702,1.2459083469721768,high
