embedding_index,event_id
354,20020406009929I
355,20000308000779I
356,20040426020569I
357,20040206001079I
358,20050509007649I
359,20030725022279I
360,20040527011719I
361,20050828029359I
362,20001110024489I
363,20080301012821I
364,20060220011319I
365,20040715028289A
366,20080307012399I
367,20030116006049I
368,20040724022159I
369,20020614012569I
370,20040306002229I
371,20000221003129I
372,20061201024459I
373,20010531013689I
374,20031025026389I
375,20051123027839I
376,20011208034899I
377,20020725020539I
378,20061117030259I
379,20070605016969I
380,20020612038749I
381,20001119028279I
382,20050207005179I
383,20050808034199A
384,20010410009279I
385,20050918028769A
386,20000112000069I
387,20080628839649I
388,20080209009629I
389,20000202000099I
390,20071225830739A
391,20030410007269A
392,20000215041409A
393,20010902029059I
394,20080113000361A
395,20000927019009I
396,20000227002219I
397,20050921026559I
398,20070716825439I
399,20020127001479I
400,20030803027409A
401,20030215001979I
402,20050808032619I
403,20001219027959I
404,20031101027999A
405,20080824843509I
406,20001019031699I
407,20010617013179I
408,20060305002449I
409,20060922028919I
410,20000911029249I
411,20041019031679I
412,20040920025259I
413,20050325009449I
414,20030406005019A
415,20031110028709I
416,20010522012019I
417,20040202002289I
418,20060322012849I
419,20000626034749I
420,20030604020189I
421,20020323006589I
422,20040126011689I
423,20071229831899I
424,20050814018529A
425,20030104006349I
426,20040326020509I
427,20021208034519I
428,20000627032639I
429,20001018029879I
430,20040713030279I
431,20040301016789A
432,20051128032179A
433,20020210002929I
434,20030524009299I
435,20020610011279I
436,20050510034229A
437,20040417009129I
438,20000216022419I
439,20080325012339I
440,20020913029049I
441,20000812030209I
442,20051210030539I
443,20060206002709I
444,20040624016459I
445,20000503033649I
446,20020402005509I
447,20020614015549I
448,20071101826149I
449,20050607009629A
450,20030223003129I
451,20000110000659I
452,20020309037559A
453,20060728018319I
454,20010909038089I
455,20000128000929I
456,20000315015589I
457,20000212002429I
458,20000628028249I
459,20031005027599I
460,20031007025842A
461,20000419001829I
462,20001222029259I
463,20031124036469I
464,20010812028419I
465,20020930025319I
466,20061024021079I
467,20050831023129I
468,20060908021582A
469,20001005031799I
470,20050831023019I
471,20060728014379A
472,20060212004629I
473,20050829019919A
474,20080405832239I
475,20030207001969I
476,20040830021459A
477,20050409007049I
478,20020418007189I
479,20010820026919I
480,20030414007329I
481,20050829019959A
482,20001016031469I
483,20040303002549I
484,20040201003099A
485,20001216036579I
486,20000523033449I
487,20000904030749I
488,20050709020229I
489,20000914027359I
490,20080727842109I
491,20040409014969I
492,20021110032959I
493,20000112000019I
